goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0630485787987709,30,Sub,Sevilla,Villarreal,1,2,2019-12-15,12191,2019,370635,0,0,0,0,0.0630485787987709,0.0630485787987709,0,191,Chicharito
0,3,0.9870741367340088,90,FW,Osasuna,Sevilla,1,1,2019-12-08,12179,2019,369376,0.05774475634098053,0,1,0,0.9870741367340088,1.0448188781738281,0,191,Chicharito
0,0,0,12,Sub,Sevilla,Atletico Madrid,1,1,2019-11-02,12140,2019,361787,0,0,0,0,0,0,0,191,Chicharito
0,1,0.009438781999051571,90,FW,Valencia,Sevilla,1,1,2019-10-30,12132,2019,360717,0.018133625388145447,0,1,0,0.009438781999051571,0.05003264918923378,0.022460242733359337,191,Chicharito
1,4,0.7476145029067993,84,FW,Sevilla,Getafe,2,0,2019-10-27,12120,2019,360425,0.04412054270505905,0,1,1,0.7476145029067993,0.791735053062439,0,191,Chicharito
0,3,0.7176158428192139,81,FW,Sevilla,Levante,1,0,2019-10-20,12112,2019,358845,0,0,0,0,0.7176158428192139,0.7950279116630554,0.13172902166843414,191,Chicharito
0,1,0.6190220713615417,25,Sub,Barcelona,Sevilla,4,0,2019-10-06,12093,2019,357330,0,0,0,0,0.6190220713615417,0.6190220713615417,0,191,Chicharito
0,0,0,20,Sub,Sevilla,Real Madrid,0,1,2019-09-22,12068,2019,353286,0,0,0,0,0,0,0,191,Chicharito
0,0,0,20,Sub,Alaves,Sevilla,0,1,2019-09-15,12053,2019,349591,0,0,0,0,0,0,0,191,Chicharito
1,1,0.3005317449569702,84,FW,Brighton,West Ham,1,1,2019-08-17,11655,2019,341863,0,0,0,1,0.3005317449569702,0.3005317449569702,0,191,Chicharito
0,2,0.5824531316757202,23,Sub,West Ham,Manchester City,0,5,2019-08-10,11644,2019,341191,0,0,0,0,0.5824531316757202,0.5953267812728882,0.07047868520021439,191,Chicharito
0,0,0,74,FW,Manchester United,West Ham,2,1,2019-04-13,9530,2018,324419,0.029559295624494553,0,1,0,0,0.029559295624494553,0,191,Chicharito
0,0,0,47,FW,Chelsea,West Ham,2,0,2019-04-08,9525,2018,323679,0,0,0,0,0,0,0,191,Chicharito
0,0,0,43,Sub,West Ham,Everton,0,2,2019-03-30,9508,2018,318088,0,0,0,0,0,0,0,191,Chicharito
2,2,0.346747487783432,43,Sub,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316378,0,0,0,2,0.346747487783432,0.11004222929477692,0.11004222929477692,191,Chicharito
0,0,0,90,FW,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314591,0,0,0,0,0,0.08573294430971146,0.08573294430971146,191,Chicharito
0,4,0.6636620759963989,75,FW,West Ham,Newcastle United,2,0,2019-03-02,9478,2018,305385,0,0,0,0,0.6636620759963989,0.6636620759963989,0,191,Chicharito
1,3,1.065461277961731,66,FW,West Ham,Fulham,3,1,2019-02-22,9457,2018,304722,0,0,0,1,1.065461277961731,0.0748942568898201,0,191,Chicharito
0,2,0.12067029625177383,69,FW,Crystal Palace,West Ham,1,1,2019-02-09,9448,2018,304487,0,0,0,0,0.12067029625177383,0.12067029625177383,0,191,Chicharito
0,4,0.30142295360565186,80,FW,West Ham,Liverpool,1,1,2019-02-04,9437,2018,304391,0,0,0,0,0.30142295360565186,0.25515520572662354,0,191,Chicharito
0,0,0,10,Sub,Wolverhampton Wanderers,West Ham,3,0,2019-01-29,9427,2018,303969,0,0,0,0,0,0,0,191,Chicharito
0,1,0.039502475410699844,23,Sub,Bournemouth,West Ham,2,0,2019-01-19,9425,2018,303670,0,0,0,0,0.039502475410699844,0.039502475410699844,0,191,Chicharito
0,3,0.6940875053405762,78,FW,West Ham,Watford,0,2,2018-12-22,9368,2018,278790,0,0,0,0,0.6940875053405762,0.7191463112831116,0.025058763101696968,191,Chicharito
0,1,0.09415119141340256,76,FW,Fulham,West Ham,0,2,2018-12-15,9364,2018,278637,0.4475782513618469,1,1,0,0.09415119141340256,0.5417294502258301,0,191,Chicharito
1,3,1.0404479503631592,78,FW,West Ham,Crystal Palace,3,2,2018-12-08,9347,2018,278205,0,0,0,1,1.0404479503631592,0.642671525478363,0.017054349184036255,191,Chicharito
0,0,0,67,FW,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277955,0,0,0,0,0,0.06311340630054474,0.06311340630054474,191,Chicharito
2,4,1.6644896268844604,90,FW,Newcastle United,West Ham,0,3,2018-12-01,9328,2018,277691,0,0,0,2,1.6644896268844604,1.6644896268844604,0,191,Chicharito
0,0,0,33,Sub,West Ham,Manchester City,0,4,2018-11-24,9317,2018,277377,0.40321430563926697,0,1,0,0,0.40321430563926697,0.40321430563926697,191,Chicharito
0,3,1.0757601261138916,39,Sub,Huddersfield,West Ham,1,1,2018-11-10,9311,2018,277223,0,0,0,0,1.0757601261138916,1.1063594818115234,0.030599312856793404,191,Chicharito
1,2,0.5961563587188721,25,Sub,West Ham,Burnley,4,2,2018-11-03,9298,2018,276850,0.01973864994943142,0,1,1,0.5961563587188721,0.6158949732780457,0.01973864994943142,191,Chicharito
0,0,0,63,FW,Leicester,West Ham,1,1,2018-10-27,9293,2018,276694,0,0,0,0,0,0,0,191,Chicharito
0,0,0,30,Sub,West Ham,Tottenham,0,1,2018-10-20,9279,2018,276324,0,0,0,0,0,0,0,191,Chicharito
0,0,0,14,Sub,West Ham,Wolverhampton Wanderers,0,1,2018-09-01,9228,2018,259751,0.35678228735923767,0,1,0,0,0.35678228735923767,0,191,Chicharito
0,1,0.11859093606472015,28,Sub,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259237,0,0,0,0,0.11859093606472015,0.11859093606472015,0,191,Chicharito
0,4,0.07322853803634644,69,FW,West Ham,Bournemouth,1,2,2018-08-18,9208,2018,259195,0,0,0,0,0.07322853803634644,0.07322853803634644,0,191,Chicharito
0,0,0,26,Sub,Liverpool,West Ham,4,0,2018-08-12,9205,2018,258790,0,0,0,0,0,0,0,191,Chicharito
0,0,0,20,Sub,West Ham,Manchester City,1,4,2018-04-29,7478,2017,236502,0,0,0,0,0,0,0,191,Chicharito
0,2,0.16726824641227722,25,Sub,Arsenal,West Ham,4,1,2018-04-22,7459,2017,234816,0.1070690006017685,0,2,0,0.16726824641227722,0.049090683460235596,0,191,Chicharito
0,0,0,13,Sub,West Ham,Stoke,1,1,2018-04-16,7458,2017,233190,0,0,0,0,0,0,0,191,Chicharito
1,1,0.0830567330121994,19,Sub,Chelsea,West Ham,1,1,2018-04-08,7442,2017,230345,0.03737013041973114,0,1,1,0.0830567330121994,0.12042686343193054,0,191,Chicharito
0,0,0,15,Sub,West Ham,Burnley,0,3,2018-03-10,7418,2017,222332,0.07943754643201828,0,1,0,0,0.11629201471805573,0.11629201471805573,191,Chicharito
0,0,0,90,FW,Swansea,West Ham,4,1,2018-03-03,7406,2017,220990,0.05389866605401039,0,1,0,0,0.05389866605401039,0,191,Chicharito
0,0,0,5,Sub,Liverpool,West Ham,4,1,2018-02-24,7395,2017,219175,0,0,0,0,0,0,0,191,Chicharito
1,1,0.44040584564208984,89,FW,West Ham,Watford,2,0,2018-02-10,7388,2017,215306,0,0,0,1,0.44040584564208984,0.44040584564208984,0,191,Chicharito
1,1,0.12746021151542664,90,FW,Brighton,West Ham,3,1,2018-02-03,7371,2017,214857,0,0,0,1,0.12746021151542664,0.3187769651412964,0.3187769651412964,191,Chicharito
0,1,0.13578549027442932,90,FW,West Ham,Crystal Palace,1,1,2018-01-30,7360,2017,215390,0.06765273213386536,0,1,0,0.13578549027442932,0.20343822240829468,0,191,Chicharito
1,1,0.5008645057678223,25,Sub,West Ham,Bournemouth,1,1,2018-01-20,7358,2017,209235,0.0736023336648941,0,1,1,0.5008645057678223,0.5744668245315552,0,191,Chicharito
0,0,0,65,FW,Tottenham,West Ham,1,1,2018-01-04,7326,2017,206707,0,0,0,0,0,0,0,191,Chicharito
0,0,0,15,Sub,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206529,0.029660025611519814,0,1,0,0,0.029660025611519814,0,191,Chicharito
0,1,0.39883244037628174,25,Sub,Bournemouth,West Ham,3,3,2017-12-26,7309,2017,205604,0.3548649549484253,0,1,0,0.39883244037628174,0.753697395324707,0.3548649549484253,191,Chicharito
