goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.012238803319633007,66,DR,Fulham,Newcastle United,0,4,2019-05-12,9573,2018,332286,0,0,0,0,0.012238803319633007,0.07859014719724655,0.06635134667158127,6833,Cyrus Christie
0,1,0.03411692753434181,90,DC,Wolverhampton Wanderers,Fulham,1,0,2019-05-04,9557,2018,330221,0,0,0,0,0.03411692753434181,0.4455977976322174,0.4455977976322174,6833,Cyrus Christie
0,0,0,63,Sub,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328335,0.01810700073838234,1,1,0,0,0.25298652052879333,0.2348795235157013,6833,Cyrus Christie
0,0,0,7,Sub,Bournemouth,Fulham,0,1,2019-04-20,9545,2018,326085,0,0,0,0,0,0,0,6833,Cyrus Christie
0,0,0,22,Sub,Fulham,Everton,2,0,2019-04-13,9533,2018,324242,0,0,0,0,0,0,0,6833,Cyrus Christie
0,0,0,90,DMR,Watford,Fulham,4,1,2019-04-02,9518,2018,321621,0,0,0,0,0,0.1557411402463913,0.1557411402463913,6833,Cyrus Christie
0,0,0,90,DR,Fulham,Manchester City,0,2,2019-03-30,9512,2018,317610,0.04974563792347908,0,1,0,0,0.06902915984392166,0.06902915984392166,6833,Cyrus Christie
0,0,0,16,Sub,Fulham,Liverpool,1,2,2019-03-17,9502,2018,316988,0,0,0,0,0,0,0,6833,Cyrus Christie
0,0,0,35,Sub,Fulham,Manchester United,0,3,2019-02-09,9447,2018,304447,0.0892089307308197,0,1,0,0,0.0892089307308197,0,6833,Cyrus Christie
0,0,0,63,DMR,Crystal Palace,Fulham,2,0,2019-02-02,9442,2018,304288,0,0,0,0,0,0.3691538870334625,0.3691538870334625,6833,Cyrus Christie
0,1,0.038698453456163406,90,DMR,Fulham,Brighton,4,2,2019-01-29,9429,2018,303893,0,0,0,0,0.038698453456163406,0.3947252631187439,0.3560267984867096,6833,Cyrus Christie
0,0,0,90,DMR,Fulham,Tottenham,1,2,2019-01-20,9424,2018,303838,0.14208273589611053,0,1,0,0,0.14208273589611053,0,6833,Cyrus Christie
0,1,0.020897140726447105,90,DMR,Burnley,Fulham,2,1,2019-01-12,9415,2018,303417,0.021243074908852577,0,1,0,0.020897140726447105,0.16604207456111908,0.16604207456111908,6833,Cyrus Christie
0,0,0,57,DMR,Arsenal,Fulham,4,1,2019-01-01,9406,2018,303089,0,0,0,0,0,0,0,6833,Cyrus Christie
0,1,0.05752228945493698,90,MR,Fulham,Huddersfield,1,0,2018-12-29,9393,2018,291428,0.148749440908432,0,2,0,0.05752228945493698,0.5694447159767151,0.4221685528755188,6833,Cyrus Christie
0,1,0.07415590435266495,90,DMR,Fulham,Wolverhampton Wanderers,1,1,2018-12-26,9383,2018,279005,0.04954119771718979,0,1,0,0.07415590435266495,0.22192195057868958,0.17238076031208038,6833,Cyrus Christie
0,0,0,90,DMR,Newcastle United,Fulham,0,0,2018-12-22,9369,2018,278826,0,0,0,0,0,0,0,6833,Cyrus Christie
0,0,0,41,Sub,Fulham,West Ham,0,2,2018-12-15,9364,2018,278626,0,0,0,0,0,0,0,6833,Cyrus Christie
0,1,0.020908964797854424,84,DR,Fulham,Leicester,1,1,2018-12-05,9342,2018,278030,0,0,0,0,0.020908964797854424,0.12669306993484497,0.1057841032743454,6833,Cyrus Christie
0,2,0.03887738659977913,90,DR,Chelsea,Fulham,2,0,2018-12-02,9334,2018,277849,0,0,0,0,0.03887738659977913,0.07400112599134445,0.035123735666275024,6833,Cyrus Christie
0,1,0.039647165685892105,90,DR,Fulham,Southampton,3,2,2018-11-24,9320,2018,277449,0,0,0,0,0.039647165685892105,0.26092180609703064,0.22127462923526764,6833,Cyrus Christie
0,0,0,90,DR,Liverpool,Fulham,2,0,2018-11-11,9313,2018,277269,0.02633303590118885,0,1,0,0,0.03660688176751137,0.010273845866322517,6833,Cyrus Christie
0,0,0,42,Sub,Huddersfield,Fulham,1,0,2018-11-05,9306,2018,277085,0,0,0,0,0,0.05213817209005356,0.05213817209005356,6833,Cyrus Christie
0,1,0.03327265381813049,90,DMR,Fulham,Arsenal,1,5,2018-10-07,9274,2018,276180,0.47545045614242554,0,5,0,0.03327265381813049,0.5262429714202881,0.4295831322669983,6833,Cyrus Christie
0,0,0,83,Sub,Everton,Fulham,3,0,2018-09-29,9262,2018,260452,0,0,0,0,0,0.40254807472229004,0.40254807472229004,6833,Cyrus Christie
0,0,0,90,DR,Manchester City,Fulham,3,0,2018-09-15,9239,2018,259893,0.13720951974391937,0,2,0,0,0.13720951974391937,0.1129639521241188,6833,Cyrus Christie
0,0,0,3,Sub,Tottenham,Fulham,3,1,2018-08-18,9209,2018,259183,0,0,0,0,0,0,0,6833,Cyrus Christie
0,1,0.014737116172909737,90,DR,Fulham,Crystal Palace,0,2,2018-08-11,9201,2018,258711,0.03998571261763573,0,1,0,0.014737116172909737,0.2408817559480667,0.22614464163780212,6833,Cyrus Christie
