goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,15,Sub,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332395,0,0,0,0,0,0,0,6830,Danny Ward
0,3,0.15395446121692657,64,FW,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330435,0,0,0,0,0.15395446121692657,0.09828013926744461,0.018650490790605545,6830,Danny Ward
0,3,0.22869166731834412,20,Sub,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328349,0.10544459521770477,0,2,0,0.22869166731834412,0.15022031962871552,0,6830,Danny Ward
0,1,0.040165744721889496,8,Sub,Cardiff,Everton,0,3,2019-02-26,9469,2018,304999,0,0,0,0,0.040165744721889496,0.040165744721889496,0.040165744721889496,6830,Danny Ward
0,0,0,1,Sub,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303776,0,0,0,0,0,0,0,6830,Danny Ward
0,0,0,4,Sub,Everton,Cardiff,1,0,2018-11-24,9321,2018,277501,0,0,0,0,0,0,0,6830,Danny Ward
0,0,0,8,Sub,Cardiff,Leicester,0,1,2018-11-03,9302,2018,276934,0,0,0,0,0,0,0,6830,Danny Ward
0,0,0,7,Sub,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276061,0,0,0,0,0,0,0,6830,Danny Ward
0,0,0,17,Sub,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260384,0.050314389169216156,0,2,0,0,0.07908076047897339,0.028766365721821785,6830,Danny Ward
0,1,0.01853257790207863,65,FW,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260135,0,0,0,0,0.01853257790207863,0.01853257790207863,0,6830,Danny Ward
0,0,0,80,FW,Chelsea,Cardiff,4,1,2018-09-15,9241,2018,259820,0.051942937076091766,0,1,0,0,0.051942937076091766,0,6830,Danny Ward
1,2,0.07530312240123749,86,FW,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259555,0.057702064514160156,0,1,1,0.07530312240123749,0.08455297350883484,0,6830,Danny Ward
0,1,0.09615622460842133,26,Sub,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259322,0.0196540430188179,0,1,0,0.09615622460842133,0.25544679164886475,0.13963653147220612,6830,Danny Ward
0,0,0,25,Sub,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258709,0,0,0,0,0,0,0,6830,Danny Ward
