goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324036,0,0,0,0,0,0,0,6037,Danny Williams
0,0,0,10,Sub,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317940,0.031034724786877632,0,1,0,0,0.031034724786877632,0.031034724786877632,6037,Danny Williams
0,0,0,73,DMC,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278326,0,0,0,0,0,0.03739817067980766,0.03739817067980766,6037,Danny Williams
0,0,0,9,Sub,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277763,0,0,0,0,0,0,0,6037,Danny Williams
0,1,0.015552564524114132,1,Sub,Wolverhampton Wanderers,Huddersfield,0,2,2018-11-25,9325,2018,277613,0,0,0,0,0.015552564524114132,0.015552564524114132,0,6037,Danny Williams
0,0,0,18,Sub,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222386,0,0,0,0,0,0.0888533890247345,0.0888533890247345,6037,Danny Williams
0,1,0.009293459355831146,90,DMC,Tottenham,Huddersfield,2,0,2018-03-03,7407,2017,221013,0,0,0,0,0.009293459355831146,0.009293459355831146,0,6037,Danny Williams
0,4,0.07496968656778336,90,DMC,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219197,0.054363150149583817,0,1,0,0.07496968656778336,0.1852753609418869,0.14568449556827545,6037,Danny Williams
0,1,0.03506818041205406,90,DMC,Leicester,Huddersfield,3,0,2018-01-01,7334,2017,206455,0,0,0,0,0.03506818041205406,0.04877202957868576,0.013703850097954273,6037,Danny Williams
0,0,0,7,Sub,Huddersfield,Burnley,0,0,2017-12-30,7322,2017,206089,0,0,0,0,0,0,0,6037,Danny Williams
0,0,0,90,DMC,Southampton,Huddersfield,1,1,2017-12-23,7307,2017,203161,0,0,0,0,0,0.5994707345962524,0.5994707345962524,6037,Danny Williams
0,0,0,21,Sub,Watford,Huddersfield,1,4,2017-12-16,7296,2017,202749,0.055590782314538956,0,1,0,0,0.33169272541999817,0.2761019468307495,6037,Danny Williams
0,1,0.015015076845884323,90,MC,Huddersfield,Chelsea,1,3,2017-12-12,7280,2017,202675,0.0768614262342453,0,1,0,0.015015076845884323,0.13182160258293152,0.0399450957775116,6037,Danny Williams
0,0,0,1,Sub,Huddersfield,Brighton,2,0,2017-12-09,7274,2017,198830,0,0,0,0,0,0,0,6037,Danny Williams
0,0,0,90,DMC,Everton,Huddersfield,2,0,2017-12-02,7260,2017,179799,0,0,0,0,0,0.012328282929956913,0.012328282929956913,6037,Danny Williams
0,0,0,15,Sub,Arsenal,Huddersfield,5,0,2017-11-29,7254,2017,178680,0,0,0,0,0,0,0,6037,Danny Williams
0,1,0.039564408361911774,90,MC,Huddersfield,Manchester City,1,2,2017-11-26,7245,2017,179263,0,0,0,0,0.039564408361911774,0.039564408361911774,0,6037,Danny Williams
0,0,0,51,DMC,Bournemouth,Huddersfield,4,0,2017-11-18,7237,2017,179663,0,0,0,0,0,0.12632311880588531,0.12632311880588531,6037,Danny Williams
0,0,0,27,Sub,Huddersfield,West Bromwich Albion,1,0,2017-11-04,7221,2017,178199,0,0,0,0,0,0,0,6037,Danny Williams
0,0,0,71,MC,Liverpool,Huddersfield,3,0,2017-10-28,7217,2017,177878,0,0,0,0,0,0,0,6037,Danny Williams
0,0,0,90,DMC,Huddersfield,Manchester United,2,1,2017-10-21,7201,2017,177204,0.0491335429251194,0,1,0,0,0.0491335429251194,0,6037,Danny Williams
0,0,0,28,Sub,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178520,0,0,0,0,0,0,0,6037,Danny Williams
0,3,0.08242098987102509,90,DMC,Huddersfield,Leicester,1,1,2017-09-16,7161,2017,176349,0,0,0,0,0.08242098987102509,0.22922727465629578,0.1468062847852707,6037,Danny Williams
0,1,0.046676214784383774,28,Sub,Huddersfield,Southampton,0,0,2017-08-26,7144,2017,176327,0,0,0,0,0.046676214784383774,0.020446766167879105,0.020446766167879105,6037,Danny Williams
0,0,0,31,Sub,Crystal Palace,Huddersfield,0,3,2017-08-12,7124,2017,175900,0,0,0,0,0,0,0,6037,Danny Williams
