goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,2,Sub,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328044,0,0,0,0,0,0,0,248,Elias Kachunga
0,2,0.10545419901609421,90,MR,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326037,0,0,0,0,0.10545419901609421,0.15324726700782776,0.04779307171702385,248,Elias Kachunga
0,0,0,90,MR,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324029,0,0,0,0,0,0.06200302764773369,0.06200302764773369,248,Elias Kachunga
0,1,0.07913991808891296,10,Sub,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317938,0,0,0,0,0.07913991808891296,0.07913991808891296,0,248,Elias Kachunga
0,1,0.09304314106702805,78,FW,Huddersfield,Bournemouth,0,2,2019-03-09,9492,2018,314493,0,0,0,0,0.09304314106702805,0.09304314106702805,0,248,Elias Kachunga
0,0,0,26,Sub,Brighton,Huddersfield,1,0,2019-03-02,9485,2018,305345,0,0,0,0,0,0,0,248,Elias Kachunga
0,0,0,5,Sub,Huddersfield,Wolverhampton Wanderers,1,0,2019-02-26,9468,2018,304972,0.04325822740793228,0,1,0,0,0.04325822740793228,0,248,Elias Kachunga
0,0,0,90,FW,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304844,0,0,0,0,0,0.013512648642063141,0.013512648642063141,248,Elias Kachunga
0,0,0,84,FW,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304584,0,0,0,0,0,0,0,248,Elias Kachunga
0,0,0,90,FW,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304237,0,0,0,0,0,0,0,248,Elias Kachunga
0,2,0.3504912555217743,83,FWR,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303924,0,0,0,0,0.3504912555217743,0.41480281949043274,0.16220669448375702,248,Elias Kachunga
0,0,0,90,MR,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303812,0.0906272903084755,0,2,0,0,0.15686102211475372,0.06623373180627823,248,Elias Kachunga
0,3,0.12372711300849915,90,AMC,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303448,0,0,0,0,0.12372711300849915,0.12372711300849915,0,248,Elias Kachunga
0,1,0.009427591226994991,90,AMR,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303213,0.09034423530101776,0,1,0,0.009427591226994991,0.09034423530101776,0.09034423530101776,248,Elias Kachunga
0,0,0,24,Sub,Fulham,Huddersfield,1,0,2018-12-29,9393,2018,291450,0.015699302777647972,0,1,0,0,0,0,248,Elias Kachunga
0,1,0.03333801031112671,58,AMR,Manchester United,Huddersfield,3,1,2018-12-26,9380,2018,279078,0,0,0,0,0.03333801031112671,0.03333801031112671,0,248,Elias Kachunga
0,1,0.08890148252248764,23,Sub,Huddersfield,Southampton,1,3,2018-12-22,9371,2018,278873,0,0,0,0,0.08890148252248764,0.02321857586503029,0.02321857586503029,248,Elias Kachunga
0,1,0.03857281431555748,59,MR,Leicester,Huddersfield,3,1,2018-09-22,9250,2018,260228,0,0,0,0,0.03857281431555748,0.07035785168409348,0.031785037368535995,248,Elias Kachunga
0,0,0,71,FWR,Huddersfield,Crystal Palace,0,1,2018-09-15,9240,2018,259860,0,0,0,0,0,0.30708885192871094,0.30708885192871094,248,Elias Kachunga
0,1,0.05424090102314949,28,Sub,Everton,Huddersfield,1,1,2018-09-01,9229,2018,259654,0,0,0,0,0.05424090102314949,0,0,248,Elias Kachunga
0,0,0,57,MR,Newcastle United,Huddersfield,1,0,2018-03-31,7436,2017,226908,0,0,0,0,0,0,0,248,Elias Kachunga
0,0,0,17,Sub,Huddersfield,Crystal Palace,0,2,2018-03-17,7421,2017,223967,0,0,0,0,0,0,0,248,Elias Kachunga
1,1,0.9663257598876953,18,FW,Watford,Huddersfield,1,4,2017-12-16,7296,2017,202748,0,0,0,1,0.9663257598876953,0,0,248,Elias Kachunga
