goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Barcelona,Villarreal,0,2,2022-05-22,17507,2021,538244,0,0,0,0,0,0.07248950004577637,0.07248950004577637,572,Etienne Capoue
0,1,0.12639273703098297,90,MC,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536597,0,0,0,0,0.12639273703098297,0.14994163811206818,0.14994163811206818,572,Etienne Capoue
0,1,0.04119820520281792,83,MC,Rayo Vallecano,Villarreal,1,5,2022-05-12,17494,2021,534997,0,0,0,0,0.04119820520281792,0.04119820520281792,0,572,Etienne Capoue
0,0,0,90,MC,Villarreal,Sevilla,1,1,2022-05-08,17485,2021,533607,0,0,0,0,0,0.7359030842781067,0.7359030842781067,572,Etienne Capoue
0,1,0.052937380969524384,31,Sub,Alaves,Villarreal,2,1,2022-04-30,17466,2021,530221,0,0,0,0,0.052937380969524384,0.0453617125749588,0.0453617125749588,572,Etienne Capoue
0,0,0,90,MC,Villarreal,Valencia,2,0,2022-04-19,17465,2021,527591,0.2875707745552063,0,1,0,0,1.004411220550537,0.7168404459953308,572,Etienne Capoue
0,0,0,22,Sub,Getafe,Villarreal,1,2,2022-04-16,17450,2021,526722,0,0,0,0,0,0,0,572,Etienne Capoue
0,1,0.018244508653879166,65,MC,Levante,Villarreal,2,0,2022-04-02,17433,2021,522881,0,0,0,0,0.018244508653879166,0.2661662697792053,0.24792176485061646,572,Etienne Capoue
0,0,0,44,Sub,Cadiz,Villarreal,1,0,2022-03-20,17419,2021,522018,0,0,0,0,0,0,0,572,Etienne Capoue
0,2,0.03782826289534569,90,MC,Osasuna,Villarreal,1,0,2022-03-05,17402,2021,517300,0,0,0,0,0.03782826289534569,0.08821471780538559,0.0503864511847496,572,Etienne Capoue
0,1,0.04937626048922539,64,MC,Villarreal,Espanyol,5,1,2022-02-27,17395,2021,516460,0.569070041179657,1,1,0,0.04937626048922539,0.6008768677711487,0.6008768677711487,572,Etienne Capoue
1,1,0.039161406457424164,90,MC,Real Betis,Villarreal,0,2,2022-02-06,17358,2021,511899,0,0,0,1,0.039161406457424164,0.039161406457424164,0,572,Etienne Capoue
0,0,0,90,MC,Elche,Villarreal,1,0,2022-01-16,17345,2021,508961,0,0,0,0,0,0.09408573061227798,0.09408573061227798,572,Etienne Capoue
0,0,0,82,MC,Villarreal,Atletico Madrid,2,2,2022-01-09,17335,2021,507617,0,0,0,0,0,0.4259147644042969,0.4259147644042969,572,Etienne Capoue
0,0,0,90,MC,Villarreal,Alaves,5,2,2021-12-21,17175,2021,504387,0,0,0,0,0,1.8199946880340576,1.8199946880340576,572,Etienne Capoue
0,1,0.03856399655342102,90,MC,Real Sociedad,Villarreal,1,3,2021-12-18,17312,2021,503740,0.050845250487327576,0,1,0,0.03856399655342102,0.2067524939775467,0.16818849742412567,572,Etienne Capoue
0,0,0,24,Sub,Villarreal,Rayo Vallecano,2,0,2021-12-12,17305,2021,502165,0,0,0,0,0,0,0,572,Etienne Capoue
0,0,0,90,MC,Sevilla,Villarreal,1,0,2021-12-04,17292,2021,499661,0,0,0,0,0,0.2715190351009369,0.2715190351009369,572,Etienne Capoue
0,0,0,90,MC,Villarreal,Barcelona,1,3,2021-11-27,17285,2021,497697,0.06423291563987732,0,1,0,0,0.39764389395713806,0.39764389395713806,572,Etienne Capoue
0,1,0.07936342805624008,90,DMC,Villarreal,Getafe,1,0,2021-11-07,17265,2021,494443,0,0,0,0,0.07936342805624008,0.8879396915435791,0.8879396915435791,572,Etienne Capoue
0,0,0,63,MC,Valencia,Villarreal,2,0,2021-10-30,17247,2021,492521,0,0,0,0,0,0.18856631219387054,0.18856631219387054,572,Etienne Capoue
0,2,0.05877602845430374,90,MC,Athletic Club,Villarreal,2,1,2021-10-23,17226,2021,490286,0,0,0,0,0.05877602845430374,0.313420832157135,0.2912495732307434,572,Etienne Capoue
0,0,0,49,MC,Villarreal,Osasuna,1,2,2021-10-17,17225,2021,489154,0,0,0,0,0,0.08213416486978531,0.08213416486978531,572,Etienne Capoue
0,0,0,90,DMC,Villarreal,Real Betis,2,0,2021-10-03,17209,2021,487589,0,0,0,0,0,0.11891724169254303,0.11891724169254303,572,Etienne Capoue
