goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,GK,Real Valladolid,Mallorca,3,0,2019-11-03,12142,2019,362011,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Tottenham,Fulham,3,1,2018-08-18,9209,2018,259171,0,0,0,0,0,0.543460488319397,0.543460488319397,2587,Fabri
0,0,0,90,GK,Fulham,Crystal Palace,0,2,2018-08-11,9201,2018,258710,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Barcelona,Deportivo La Coruna,2,2,2015-05-23,5496,2014,41281,0,0,0,0,0,0.024824878200888634,0.024824878200888634,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Levante,2,0,2015-05-17,5487,2014,40709,0,0,0,0,0,0.17134007811546326,0.17134007811546326,2587,Fabri
0,0,0,90,GK,Athletic Club,Deportivo La Coruna,1,1,2015-05-09,5479,2014,41838,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Villarreal,1,1,2015-05-02,5469,2014,41406,0,0,0,0,0,0.03929031640291214,0.03929031640291214,2587,Fabri
0,0,0,90,GK,Elche,Deportivo La Coruna,4,0,2015-04-29,5561,2014,40807,0,0,0,0,0,0.09568452835083008,0.09568452835083008,2587,Fabri
0,0,0,90,GK,Malaga,Deportivo La Coruna,1,1,2015-04-26,5550,2014,40279,0,0,0,0,0,0.037792056798934937,0.037792056798934937,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Atletico Madrid,1,2,2015-04-18,5537,2014,44015,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Real Sociedad,Deportivo La Coruna,2,2,2015-04-12,5532,2014,43779,0,0,0,0,0,0.06471166014671326,0.06471166014671326,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Cordoba,1,1,2015-04-08,5519,2014,43488,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Getafe,Deportivo La Coruna,2,1,2015-04-05,5512,2014,44532,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Espanyol,0,0,2015-03-22,5597,2014,45661,0,0,0,0,0,0.05308491364121437,0.05308491364121437,2587,Fabri
0,0,0,90,GK,Valencia,Deportivo La Coruna,2,0,2015-03-13,5581,2014,45259,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Sevilla,3,4,2015-03-07,5572,2014,44406,0,0,0,0,0,0.2412073314189911,0.2412073314189911,2587,Fabri
0,0,0,90,GK,Almeria,Deportivo La Coruna,0,0,2015-02-28,5641,2014,44924,0,0,0,0,0,0.06010178476572037,0.06010178476572037,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Celta Vigo,0,2,2015-02-21,5632,2014,46468,0,0,0,0,0,0.07127100974321365,0.07127100974321365,2587,Fabri
0,0,0,90,GK,Real Madrid,Deportivo La Coruna,2,0,2015-02-14,5620,2014,46175,0,0,0,0,0,0.030521711334586143,0.030521711334586143,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Eibar,2,0,2015-02-06,5608,2014,45885,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Rayo Vallecano,Deportivo La Coruna,1,2,2015-01-30,5682,2014,43196,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Granada,2,2,2015-01-25,5677,2014,42353,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Barcelona,0,4,2015-01-18,5669,2014,41992,0,0,0,0,0,0.057774871587753296,0.057774871587753296,2587,Fabri
0,0,0,90,GK,Levante,Deportivo La Coruna,0,0,2015-01-09,5652,2014,42673,0.017248671501874924,0,1,0,0,0.041210200637578964,0.02396152727305889,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Athletic Club,1,0,2015-01-03,5645,2014,42935,0,0,0,0,0,0.037151485681533813,0.037151485681533813,2587,Fabri
0,0,0,90,GK,Villarreal,Deportivo La Coruna,3,0,2014-12-21,5712,2014,39532,0,0,0,0,0,0.019001787528395653,0.019001787528395653,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Elche,1,0,2014-12-15,5706,2014,38598,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Malaga,0,1,2014-12-06,5690,2014,37735,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Atletico Madrid,Deportivo La Coruna,2,0,2014-11-30,5750,2014,39859,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Real Sociedad,0,0,2014-11-22,5739,2014,39044,0,0,0,0,0,0.12225545197725296,0.12225545197725296,2587,Fabri
0,0,0,90,GK,Cordoba,Deportivo La Coruna,0,0,2014-11-07,5725,2014,38223,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Getafe,1,2,2014-10-31,5784,2014,37427,0,0,0,0,0,0.027374373748898506,0.027374373748898506,2587,Fabri
0,0,0,90,GK,Espanyol,Deportivo La Coruna,0,0,2014-10-26,5781,2014,39778,0,0,0,0,0,0,0,2587,Fabri
0,0,0,90,GK,Deportivo La Coruna,Valencia,3,0,2014-10-19,5770,2014,38988,0,0,0,0,0,0.15225808322429657,0.15225808322429657,2587,Fabri
