goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.03772050514817238,75,AMR,Fulham,Newcastle United,0,4,2019-05-12,9573,2018,332292,0.11168916523456573,0,2,0,0.03772050514817238,0.1576809138059616,0.10772161185741425,3328,Floyd Ayité
0,0,0,7,Sub,Wolverhampton Wanderers,Fulham,1,0,2019-05-04,9557,2018,330229,0.03411692753434181,0,1,0,0,0.03411692753434181,0,3328,Floyd Ayité
0,0,0,1,Sub,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328336,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,1,Sub,Bournemouth,Fulham,0,1,2019-04-20,9545,2018,326087,0.07225780189037323,0,2,0,0,0.0316140353679657,0.0316140353679657,3328,Floyd Ayité
0,1,0.01928352192044258,65,MR,Fulham,Manchester City,0,2,2019-03-30,9512,2018,317615,0.026895221322774887,0,1,0,0.01928352192044258,0.04617874324321747,0.01928352192044258,3328,Floyd Ayité
0,1,0.10603906959295273,90,FWR,Fulham,Liverpool,1,2,2019-03-17,9502,2018,316984,0.014424407854676247,0,1,0,0.10603906959295273,0.14963313937187195,0.029169663786888123,3328,Floyd Ayité
1,1,0.054008450359106064,43,Sub,Leicester,Fulham,3,1,2019-03-09,9491,2018,314481,0.009365304373204708,0,1,1,0.054008450359106064,0.15102960169315338,0.09702114760875702,3328,Floyd Ayité
0,0,0,17,Sub,Fulham,Chelsea,1,2,2019-03-03,9482,2018,305443,0.2301243096590042,0,1,0,0,0.2301243096590042,0,3328,Floyd Ayité
0,0,0,1,Sub,Crystal Palace,Fulham,2,0,2019-02-02,9442,2018,304297,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,5,Sub,Newcastle United,Fulham,0,0,2018-12-22,9369,2018,278834,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,43,Sub,Chelsea,Fulham,2,0,2018-12-02,9334,2018,277861,0,0,0,0,0,0.018995575606822968,0.018995575606822968,3328,Floyd Ayité
0,0,0,3,Sub,Fulham,Southampton,3,2,2018-11-24,9320,2018,277461,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,27,Sub,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276421,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,1,Sub,Everton,Fulham,3,0,2018-09-29,9262,2018,260453,0,0,0,0,0,0,0,3328,Floyd Ayité
0,0,0,43,Sub,Fulham,Watford,1,1,2018-09-22,9247,2018,260193,0,0,0,0,0,0.04598560556769371,0.04598560556769371,3328,Floyd Ayité
0,2,0.13720951974391937,19,Sub,Manchester City,Fulham,3,0,2018-09-15,9239,2018,259904,0,0,0,0,0.13720951974391937,0.1728370189666748,0.035627495497465134,3328,Floyd Ayité
0,2,0.48924851417541504,90,FW,Rennes,SC Bastia,1,2,2016-05-14,2247,2015,76733,0.021865762770175934,0,2,0,0.48924851417541504,0.9050341248512268,0.4073801338672638,3328,Floyd Ayité
0,2,0.32307523488998413,90,FW,SC Bastia,Angers,1,0,2016-05-07,2236,2015,75940,0,0,0,0,0.32307523488998413,0.32307523488998413,0.01945926994085312,3328,Floyd Ayité
0,2,0.31562501192092896,90,FW,GFC Ajaccio,SC Bastia,3,2,2016-04-24,2215,2015,76316,0.2869478464126587,0,2,0,0.31562501192092896,0.6377406716346741,0.3221156895160675,3328,Floyd Ayité
0,6,0.2727578580379486,90,AML,SC Bastia,Saint-Etienne,0,1,2016-04-16,2201,2015,75800,0.02590065263211727,0,1,0,0.2727578580379486,0.2871644198894501,0.014406561851501465,3328,Floyd Ayité
0,1,0.02140773832798004,90,FW,Toulouse,SC Bastia,4,0,2016-04-09,2195,2015,76510,0,0,0,0,0.02140773832798004,0.02140773832798004,0,3328,Floyd Ayité
0,4,0.32433176040649414,90,FW,Bordeaux,SC Bastia,1,1,2016-03-20,2176,2015,74321,0.038162387907505035,0,2,0,0.32433176040649414,0.18433089554309845,0,3328,Floyd Ayité
0,3,0.5767671465873718,90,FW,SC Bastia,Lille,1,2,2016-03-12,2164,2015,74170,0,0,0,0,0.5767671465873718,0.5439520478248596,0.0948038175702095,3328,Floyd Ayité
0,0,0,29,Sub,SC Bastia,Nantes,0,0,2016-03-09,2157,2015,77807,0.02447088621556759,0,1,0,0,0.02447088621556759,0,3328,Floyd Ayité
