goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355979,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,43,Sub,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354634,0.11898884922266006,0,2,0,0,0.13067753612995148,0.011688685975968838,6105,Gaëtan Bong
0,0,0,8,Sub,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352461,0,0,0,0,0,0.025975173339247704,0.025975173339247704,6105,Gaëtan Bong
0,0,0,1,Sub,Brighton,Burnley,1,1,2019-09-14,11685,2019,348993,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,90,DL,Wolverhampton Wanderers,Brighton,0,0,2019-04-20,9537,2018,325995,0,0,0,0,0,0.02289704978466034,0.02289704978466034,6105,Gaëtan Bong
0,0,0,90,DL,Chelsea,Brighton,3,0,2019-04-03,9462,2018,321950,0,0,0,0,0,0.28621527552604675,0.28621527552604675,6105,Gaëtan Bong
0,1,0.011604217812418938,90,DL,Leicester,Brighton,2,1,2019-02-26,9467,2018,304950,0,0,0,0,0.011604217812418938,0.046856168657541275,0.046856168657541275,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Burnley,1,3,2019-02-09,9449,2018,304607,0.07687555998563766,0,2,0,0,0.1942501813173294,0.18335311114788055,6105,Gaëtan Bong
0,1,0.05787641927599907,90,DL,Brighton,Watford,0,0,2019-02-02,9446,2018,304165,0.06186525896191597,0,1,0,0.05787641927599907,0.35328155755996704,0.2335398942232132,6105,Gaëtan Bong
0,0,0,90,DL,Fulham,Brighton,4,2,2019-01-29,9429,2018,303907,0,0,0,0,0,0.10285292565822601,0.10285292565822601,6105,Gaëtan Bong
0,0,0,90,DL,Manchester United,Brighton,2,1,2019-01-19,9421,2018,303691,0,0,0,0,0,0.3594588041305542,0.3594588041305542,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Liverpool,0,1,2019-01-12,9416,2018,303377,0.13723792135715485,0,3,0,0,0.10491320490837097,0.07074711471796036,6105,Gaëtan Bong
0,0,0,15,Sub,West Ham,Brighton,2,2,2019-01-02,9398,2018,303151,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,12,Sub,Bournemouth,Brighton,2,0,2018-12-22,9375,2018,278942,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,90,DL,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277106,0.1252211481332779,0,1,0,0,0.2017730325460434,0.2017730325460434,6105,Gaëtan Bong
0,0,0,90,DL,Everton,Brighton,3,1,2018-11-03,9301,2018,276912,0,0,0,0,0,0.009629997424781322,0.009629997424781322,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Wolverhampton Wanderers,1,0,2018-10-27,9290,2018,276591,0,0,0,0,0,0.08638085424900055,0.08638085424900055,6105,Gaëtan Bong
0,0,0,90,DL,Newcastle United,Brighton,0,1,2018-10-20,9280,2018,276357,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,West Ham,1,0,2018-10-05,9267,2018,275984,0,0,0,0,0,0.0999726951122284,0.0999726951122284,6105,Gaëtan Bong
0,0,0,90,DL,Manchester City,Brighton,2,0,2018-09-29,9260,2018,260501,0.06313242018222809,0,1,0,0,0.15153315663337708,0.15153315663337708,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Tottenham,1,2,2018-09-22,9254,2018,260075,0,0,0,0,0,0.5322521328926086,0.5322521328926086,6105,Gaëtan Bong
0,0,0,90,DL,Southampton,Brighton,2,2,2018-09-17,9246,2018,259951,0.013336499221622944,0,1,0,0,0.18599262833595276,0.1726561337709427,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Fulham,2,2,2018-09-01,9233,2018,259493,0,0,0,0,0,0,0,6105,Gaëtan Bong
0,0,0,90,DL,Liverpool,Brighton,1,0,2018-08-25,9223,2018,259342,0,0,0,0,0,0.012532315216958523,0.012532315216958523,6105,Gaëtan Bong
0,0,0,90,DL,Brighton,Manchester United,3,2,2018-08-19,9215,2018,258937,0,0,0,0,0,0.6542065739631653,0.6542065739631653,6105,Gaëtan Bong
0,0,0,65,Sub,Watford,Brighton,2,0,2018-08-11,9199,2018,258902,0,0,0,0,0,0.30382195115089417,0.30382195115089417,6105,Gaëtan Bong
0,0,0,90,DL,Liverpool,Brighton,4,0,2018-05-13,7495,2017,240248,0,0,0,0,0,0,0,6105,Gaëtan Bong
