goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.056358423084020615,1,Sub,Tottenham,Aston Villa,3,1,2019-08-10,11649,2019,341355,0,0,0,0,0.056358423084020615,0.056358423084020615,0,1729,Georges-Kévin Nkoudou
0,1,0.09936819225549698,6,Sub,Monaco,Nantes,1,0,2019-02-16,10889,2018,313304,0,0,0,0,0.09936819225549698,0.09936819225549698,0,1729,Georges-Kévin Nkoudou
0,0,0,1,Sub,Montpellier,Monaco,2,2,2019-02-10,10876,2018,313038,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,11,Sub,Monaco,Toulouse,2,1,2019-02-02,10865,2018,314080,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,3,Sub,Fulham,Tottenham,1,2,2019-01-20,9424,2018,303859,0.6077455282211304,1,1,0,0,0.6077455282211304,0,1729,Georges-Kévin Nkoudou
0,0,0,15,Sub,Arsenal,Burnley,5,0,2018-05-06,7487,2017,238374,0,0,0,0,0,0.022101301699876785,0.022101301699876785,1729,Georges-Kévin Nkoudou
0,0,0,16,Sub,Burnley,Brighton,0,0,2018-04-28,7469,2017,235721,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,71,ML,Watford,Burnley,1,2,2018-04-07,7447,2017,230480,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,2,0.06060589849948883,70,ML,West Bromwich Albion,Burnley,1,2,2018-03-31,7438,2017,226966,0.049931883811950684,0,1,0,0.06060589849948883,0.11053778231143951,0,1729,Georges-Kévin Nkoudou
0,0,0,4,Sub,Swansea,Burnley,1,0,2018-02-10,7386,2017,215269,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,1,0.027054108679294586,6,Sub,Newcastle United,Burnley,1,1,2018-01-31,7364,2017,215485,0,0,0,0,0.027054108679294586,0,0,1729,Georges-Kévin Nkoudou
0,0,0,8,Sub,Burnley,Manchester United,0,1,2018-01-20,7351,2017,209180,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,26,Sub,Crystal Palace,Burnley,1,0,2018-01-13,7341,2017,207679,0,0,0,0,0,0.021846920251846313,0.021846920251846313,1729,Georges-Kévin Nkoudou
0,0,0,1,Sub,Tottenham,Bournemouth,1,0,2017-10-14,7197,2017,179845,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,1,Sub,Leicester,Tottenham,1,6,2017-05-18,3475,2016,134235,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,1,Sub,Tottenham,Manchester United,2,1,2017-05-14,3507,2016,133887,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
0,0,0,10,Sub,Swansea,Tottenham,1,3,2017-04-05,3444,2016,132476,0,0,0,0,0,0.20042213797569275,0.20042213797569275,1729,Georges-Kévin Nkoudou
0,0,0,6,Sub,Manchester United,Tottenham,1,0,2016-12-11,3122,2016,130161,0,0,0,0,0,0,0,1729,Georges-Kévin Nkoudou
