goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,2,0.6146249771118164,81,FW,Juventus,Roma,1,3,2020-08-01,13467,2019,412092,0.08532281219959259,0,1,1,0.6146249771118164,0.11608238518238068,0,1293,Gonzalo Higuaín
0,3,0.26683977246284485,90,FW,Cagliari,Juventus,2,0,2020-07-29,13449,2019,411982,0.05942174047231674,0,3,0,0.26683977246284485,0.3749036490917206,0.20566339790821075,1293,Gonzalo Higuaín
0,2,0.4817219078540802,51,Sub,Juventus,Sampdoria,2,0,2020-07-26,13442,2019,411661,0.06952320039272308,0,1,0,0.4817219078540802,0.5771943926811218,0.13969296216964722,1293,Gonzalo Higuaín
1,1,0.3410554826259613,62,FW,Sassuolo,Juventus,3,3,2020-07-15,13413,2019,408956,0,0,0,1,0.3410554826259613,0.4788323938846588,0.1377769261598587,1293,Gonzalo Higuaín
0,0,0,19,Sub,Juventus,Atalanta,2,2,2020-07-11,13403,2019,407633,0,0,0,0,0,0,0,1293,Gonzalo Higuaín
0,2,0.15949413180351257,71,FW,AC Milan,Juventus,4,2,2020-07-07,13394,2019,406418,0,0,0,0,0.15949413180351257,0.2205498218536377,0.06105567887425423,1293,Gonzalo Higuaín
0,1,0.1164993941783905,5,Sub,Juventus,Torino,4,1,2020-07-04,13388,2019,405227,0.2132520079612732,0,3,0,0.1164993941783905,0.3890455961227417,0.0592942014336586,1293,Gonzalo Higuaín
0,1,0.04364069551229477,15,Sub,Genoa,Juventus,1,3,2020-06-30,13372,2019,404188,0,0,0,0,0.04364069551229477,0.04364069551229477,0,1293,Gonzalo Higuaín
1,3,0.5672347545623779,12,Sub,Juventus,Lecce,4,0,2020-06-26,13361,2019,402855,0,0,0,1,0.5672347545623779,0.5672347545623779,0,1293,Gonzalo Higuaín
0,1,0.07596637308597565,80,FW,Juventus,Inter,2,0,2020-03-08,13340,2019,397500,0.06694269180297852,0,1,0,0.07596637308597565,0.4127321243286133,0.33676576614379883,1293,Gonzalo Higuaín
0,6,0.5849899053573608,90,FW,Juventus,Brescia,2,0,2020-02-16,13322,2019,394092,0.6331623196601868,0,3,0,0.5849899053573608,1.302883267402649,0.20121099054813385,1293,Gonzalo Higuaín
0,2,0.14984428882598877,59,FW,Verona,Juventus,2,1,2020-02-08,13318,2019,392938,0,0,0,0,0.14984428882598877,0.5338178873062134,0.45754534006118774,1293,Gonzalo Higuaín
0,2,0.21878676116466522,69,FW,Juventus,Fiorentina,3,0,2020-02-02,13302,2019,391563,0,0,0,0,0.21878676116466522,0.21878676116466522,0,1293,Gonzalo Higuaín
0,3,0.23212987184524536,90,FW,Napoli,Juventus,2,1,2020-01-26,13292,2019,390885,0,0,0,0,0.23212987184524536,0.21964609622955322,0.045555464923381805,1293,Gonzalo Higuaín
0,1,0.05551014840602875,28,Sub,Juventus,Parma Calcio 1913,2,1,2020-01-19,13283,2019,389788,0.07589695602655411,0,2,0,0.05551014840602875,0.13140711188316345,0,1293,Gonzalo Higuaín
0,1,0.25078436732292175,17,Sub,Roma,Juventus,1,2,2020-01-12,13275,2019,388940,0,0,0,0,0.25078436732292175,0.25078436732292175,0,1293,Gonzalo Higuaín
1,2,0.6295741200447083,19,Sub,Juventus,Cagliari,4,0,2020-01-06,13263,2019,388346,0,0,0,1,0.6295741200447083,0.6295741200447083,0,1293,Gonzalo Higuaín
0,1,0.03680191561579704,72,FW,Sampdoria,Juventus,1,2,2019-12-18,13255,2019,370951,0,0,0,0,0.03680191561579704,0.06856832653284073,0.031766410917043686,1293,Gonzalo Higuaín
0,5,0.34249866008758545,80,FW,Juventus,Udinese,3,1,2019-12-15,13245,2019,370381,0.6156503558158875,1,4,0,0.34249866008758545,0.8925904631614685,0.45817264914512634,1293,Gonzalo Higuaín
0,0,0,9,Sub,Lazio,Juventus,3,1,2019-12-07,13232,2019,368741,0,0,0,0,0,0,0,1293,Gonzalo Higuaín
0,3,0.860600471496582,79,FW,Juventus,Sassuolo,2,2,2019-12-01,13225,2019,366684,0.5975480079650879,0,3,0,0.860600471496582,1.4845794439315796,0.026430927217006683,1293,Gonzalo Higuaín
2,8,0.9373587369918823,90,FW,Atalanta,Juventus,1,3,2019-11-23,13209,2019,364511,0.05163782835006714,1,1,2,0.9373587369918823,0.9889965653419495,0,1293,Gonzalo Higuaín
0,4,0.35531505942344666,90,FW,Juventus,AC Milan,1,0,2019-11-10,13202,2019,364164,0.4714823365211487,1,4,0,0.35531505942344666,0.8504922986030579,0.12294721603393555,1293,Gonzalo Higuaín
0,2,0.1331949234008789,28,Sub,Torino,Juventus,0,1,2019-11-02,13198,2019,361967,0.5423988103866577,1,1,0,0.1331949234008789,0.10919442772865295,0,1293,Gonzalo Higuaín
