goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.015600644052028656,65,AML,Marseille,Amiens,2,2,2020-03-06,12985,2019,396597,0.07431646436452866,0,2,0,0.015600644052028656,0.06396884471178055,0,5662,Isaac Mbenza
0,2,0.07835619896650314,15,Sub,Amiens,Metz,0,1,2020-02-29,12970,2019,395920,0.06822220981121063,0,1,0,0.07835619896650314,0.14657840132713318,0,5662,Isaac Mbenza
0,1,0.08017128705978394,6,Sub,Amiens,Paris Saint Germain,4,4,2020-02-15,12949,2019,393706,0,0,0,0,0.08017128705978394,0,0,5662,Isaac Mbenza
0,0,0,90,FWL,Southampton,Huddersfield,1,1,2019-05-12,9569,2018,332421,0.016732817515730858,0,1,0,0,0.016732817515730858,0,5662,Isaac Mbenza
1,1,0.3387373983860016,90,FWR,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330793,0,0,0,1,0.3387373983860016,0.3387373983860016,0,5662,Isaac Mbenza
0,1,0.05918833613395691,88,MR,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328039,0,0,0,0,0.05918833613395691,0.05918833613395691,0,5662,Isaac Mbenza
0,2,0.031673602759838104,82,ML,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326040,0.04716457426548004,0,1,0,0.031673602759838104,0.25117096304893494,0.18842175602912903,5662,Isaac Mbenza
0,0,0,43,Sub,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322581,0.5610699653625488,0,1,0,0,0.5610699653625488,0,5662,Isaac Mbenza
0,0,0,26,FWL,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304238,0,0,0,0,0,0.057670313864946365,0.057670313864946365,5662,Isaac Mbenza
0,0,0,90,ML,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303816,0.01853286474943161,0,1,0,0,0.01853286474943161,0,5662,Isaac Mbenza
0,0,0,14,Sub,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303452,0,0,0,0,0,0.014593848958611488,0.014593848958611488,5662,Isaac Mbenza
0,1,0.03191601112484932,90,AML,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303215,0.2932029664516449,1,2,0,0.03191601112484932,0.31023696064949036,0.27832093834877014,5662,Isaac Mbenza
0,2,0.10100393742322922,63,AML,Manchester United,Huddersfield,3,1,2018-12-26,9380,2018,279080,0,0,0,0,0.10100393742322922,0.1630672812461853,0.062063347548246384,5662,Isaac Mbenza
0,2,0.07060015201568604,83,FW,Huddersfield,Southampton,1,3,2018-12-22,9371,2018,278871,0,0,0,0,0.07060015201568604,0.10143589228391647,0.030835742130875587,5662,Isaac Mbenza
0,0,0,11,Sub,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278569,0,0,0,0,0,0,0,5662,Isaac Mbenza
0,0,0,13,Sub,Bournemouth,Huddersfield,2,1,2018-12-04,9338,2018,279162,0,0,0,0,0,0,0,5662,Isaac Mbenza
