goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.5105029940605164,22,Sub,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316393,0.35572320222854614,0,1,0,0.5105029940605164,0.8662261962890625,0,514,Jason Puncheon
0,0,0,23,AMC,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304842,0,0,0,0,0,0,0,514,Jason Puncheon
0,2,0.038881804794073105,67,AMC,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304583,0.3667539656162262,0,1,0,0.038881804794073105,0.12581360340118408,0.12581360340118408,514,Jason Puncheon
0,0,0,90,MC,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303923,0.021138019859790802,0,1,0,0,0.18334472179412842,0.16220669448375702,514,Jason Puncheon
0,0,0,90,MC,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303814,0,0,0,0,0,0,0,514,Jason Puncheon
0,3,0.0652836412191391,90,MC,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303447,0.09946970641613007,0,2,0,0.0652836412191391,0.18956296145915985,0.024809610098600388,514,Jason Puncheon
0,0,0,1,Sub,Manchester City,Crystal Palace,2,3,2018-12-22,9370,2018,278861,0,0,0,0,0,0,0,514,Jason Puncheon
0,0,0,1,Sub,Crystal Palace,Leicester,1,0,2018-12-15,9365,2018,278599,0,0,0,0,0,0,0,514,Jason Puncheon
0,0,0,3,Sub,West Ham,Crystal Palace,3,2,2018-12-08,9347,2018,278223,0,0,0,0,0,0,0,514,Jason Puncheon
0,0,0,1,Sub,Crystal Palace,Burnley,2,0,2018-12-01,9333,2018,277792,0,0,0,0,0,0,0,514,Jason Puncheon
0,0,0,1,Sub,Crystal Palace,Arsenal,2,2,2018-10-28,9294,2018,276711,0,0,0,0,0,0,0,514,Jason Puncheon
0,1,0.05088070034980774,8,Sub,Crystal Palace,Manchester City,0,0,2017-12-31,7321,2017,206337,0,0,0,0,0.05088070034980774,0.05088070034980774,0,514,Jason Puncheon
0,0,0,3,Sub,Crystal Palace,Everton,2,2,2017-11-18,7234,2017,178639,0,0,0,0,0,0.02411692962050438,0.02411692962050438,514,Jason Puncheon
0,1,0.08935854583978653,13,Sub,Crystal Palace,Chelsea,2,1,2017-10-14,7191,2017,178367,0,0,0,0,0.08935854583978653,0.08935854583978653,0,514,Jason Puncheon
0,0,0,70,MC,Manchester United,Crystal Palace,4,0,2017-09-30,7180,2017,178124,0,0,0,0,0,0.04183994606137276,0.04183994606137276,514,Jason Puncheon
0,0,0,31,Sub,Manchester City,Crystal Palace,5,0,2017-09-23,7173,2017,177526,0,0,0,0,0,0,0,514,Jason Puncheon
0,2,0.9727132320404053,90,ML,Crystal Palace,Southampton,0,1,2017-09-16,7160,2017,176296,0.15024618804454803,0,2,0,0.9727132320404053,1.1229594945907593,0,514,Jason Puncheon
0,2,0.08413644880056381,90,MC,Burnley,Crystal Palace,1,0,2017-09-10,7156,2017,176887,0.022805318236351013,0,1,0,0.08413644880056381,0.547293484210968,0.48775970935821533,514,Jason Puncheon
0,1,0.013106065802276134,90,MC,Crystal Palace,Swansea,0,2,2017-08-26,7141,2017,177067,0.12427963316440582,0,1,0,0.013106065802276134,0.24392905831336975,0.23082299530506134,514,Jason Puncheon
0,1,0.10264725238084793,75,AMC,Liverpool,Crystal Palace,1,0,2017-08-19,7134,2017,176199,0.1334858238697052,0,1,0,0.10264725238084793,0.10264725238084793,0,514,Jason Puncheon
0,2,0.06529597193002701,90,MC,Crystal Palace,Huddersfield,0,3,2017-08-12,7124,2017,175881,0,0,0,0,0.06529597193002701,0,0,514,Jason Puncheon
0,0,0,90,MC,Manchester United,Crystal Palace,2,0,2017-05-21,3516,2016,125322,0,0,0,0,0,0,0,514,Jason Puncheon
0,2,0.0860387459397316,90,DMC,Crystal Palace,Hull,4,0,2017-05-14,3501,2016,135235,0.6783784031867981,1,3,0,0.0860387459397316,0.38533133268356323,0.35211867094039917,514,Jason Puncheon
0,1,0.03198051080107689,90,MC,Manchester City,Crystal Palace,5,0,2017-05-06,3497,2016,135081,0,0,0,0,0.03198051080107689,0.148121178150177,0.11614066362380981,514,Jason Puncheon
0,0,0,90,MC,Crystal Palace,Burnley,0,2,2017-04-29,3480,2016,134354,0.08784572780132294,0,3,0,0,0.1426987648010254,0.12466655671596527,514,Jason Puncheon
0,0,0,90,MC,Crystal Palace,Tottenham,0,1,2017-04-26,3415,2016,132486,0.013379647396504879,0,1,0,0,0.045262716710567474,0.045262716710567474,514,Jason Puncheon
0,1,0.015883581712841988,90,MC,Liverpool,Crystal Palace,1,2,2017-04-23,3476,2016,134260,0.5169301629066467,1,2,0,0.015883581712841988,0.05086946114897728,0,514,Jason Puncheon
0,1,0.02573736011981964,90,AMC,Crystal Palace,Leicester,2,2,2017-04-15,3468,2016,134135,0,0,0,0,0.02573736011981964,0.6117315888404846,0.5859942436218262,514,Jason Puncheon
0,1,0.02381368912756443,90,AMC,Crystal Palace,Arsenal,3,0,2017-04-10,3459,2016,133143,0,0,0,0,0.02381368912756443,0.10176575183868408,0.10176575183868408,514,Jason Puncheon
0,2,0.05725133419036865,90,AMC,Southampton,Crystal Palace,3,1,2017-04-05,3447,2016,132833,0.017792370170354843,0,1,0,0.05725133419036865,0.8347275257110596,0.8169351816177368,514,Jason Puncheon
0,1,0.02828199788928032,90,AMC,Chelsea,Crystal Palace,1,2,2017-04-01,3432,2016,132529,0.4678393006324768,0,1,0,0.02828199788928032,0.5379313230514526,0.5096493363380432,514,Jason Puncheon
0,0,0,90,AMC,Crystal Palace,Watford,1,0,2017-03-18,3428,2016,133171,0,0,0,0,0,0,0,514,Jason Puncheon
0,1,0.10022369772195816,90,AMC,West Bromwich Albion,Crystal Palace,0,2,2017-03-04,3408,2016,133568,0.08329921960830688,0,2,0,0.10022369772195816,0.29934585094451904,0.1158229410648346,514,Jason Puncheon
0,4,0.16635814309120178,90,MC,Crystal Palace,Middlesbrough,1,0,2017-02-25,3392,2016,131520,0.016784071922302246,0,1,0,0.16635814309120178,0.2085675150156021,0.0906258225440979,514,Jason Puncheon
0,1,0.033363666385412216,78,AMC,Stoke,Crystal Palace,1,0,2017-02-11,3383,2016,131063,0.05225853994488716,0,2,0,0.033363666385412216,0.037500813603401184,0.037500813603401184,514,Jason Puncheon
0,2,0.04887624830007553,90,ML,Crystal Palace,Sunderland,0,4,2017-02-04,3371,2016,129400,0.0996316596865654,0,3,0,0.04887624830007553,0.5885746479034424,0.49417591094970703,514,Jason Puncheon
0,1,0.03679670765995979,90,ML,Bournemouth,Crystal Palace,0,2,2017-01-31,3361,2016,132147,0,0,0,0,0.03679670765995979,0.056564439088106155,0.056564439088106155,514,Jason Puncheon
0,2,0.061569202691316605,90,MC,Crystal Palace,Everton,0,1,2017-01-21,3353,2016,131546,0.09826821088790894,0,2,0,0.061569202691316605,0,0,514,Jason Puncheon
0,1,0.02795303985476494,90,AML,West Ham,Crystal Palace,3,0,2017-01-14,3346,2016,131201,0.057823531329631805,0,1,0,0.02795303985476494,0.08577657490968704,0.057823531329631805,514,Jason Puncheon
0,2,0.04702962934970856,90,DMC,Crystal Palace,Swansea,1,2,2017-01-04,3337,2016,131211,0,0,0,0,0.04702962934970856,0.04702962934970856,0,514,Jason Puncheon
0,0,0,90,DMC,Arsenal,Crystal Palace,2,0,2017-01-01,3329,2016,130017,0.06116284057497978,0,2,0,0,0.09773556888103485,0.04900868609547615,514,Jason Puncheon
