goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,GK,Burnley,Everton,1,5,2018-12-26,9385,2018,279192,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Arsenal,Burnley,3,1,2018-12-22,9376,2018,278767,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Tottenham,Burnley,1,0,2018-12-15,9359,2018,278544,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Burnley,Brighton,1,0,2018-12-08,9354,2018,278280,0,0,0,0,0,0.13962611556053162,0.13962611556053162,609,Joe Hart
0,0,0,90,GK,Burnley,Liverpool,1,3,2018-12-05,9343,2018,278057,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Crystal Palace,Burnley,2,0,2018-12-01,9333,2018,277793,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Burnley,Newcastle United,1,2,2018-11-26,9326,2018,277614,0.024071337655186653,0,1,0,0,0.024071337655186653,0,609,Joe Hart
0,0,0,90,GK,Leicester,Burnley,0,0,2018-11-10,9310,2018,277184,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,West Ham,Burnley,4,2,2018-11-03,9298,2018,276852,0,0,0,0,0,0.02185172587633133,0.02185172587633133,609,Joe Hart
0,0,0,90,GK,Burnley,Chelsea,0,4,2018-10-28,9295,2018,276726,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Manchester City,Burnley,5,0,2018-10-20,9281,2018,276381,0,0,0,0,0,0.03642299026250839,0.03642299026250839,609,Joe Hart
0,0,0,90,GK,Burnley,Huddersfield,1,1,2018-10-06,9272,2018,276120,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260386,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Burnley,Bournemouth,4,0,2018-09-22,9253,2018,260098,0,0,0,0,0,0.039872653782367706,0.039872653782367706,609,Joe Hart
0,0,0,90,GK,Wolverhampton Wanderers,Burnley,1,0,2018-09-16,9244,2018,260030,0,0,0,0,0,0.021624254062771797,0.021624254062771797,609,Joe Hart
0,0,0,90,GK,Burnley,Manchester United,0,2,2018-09-02,9232,2018,259517,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Fulham,Burnley,4,2,2018-08-25,9220,2018,259282,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Burnley,Watford,1,3,2018-08-19,9214,2018,258961,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Southampton,Burnley,0,0,2018-08-12,9204,2018,258863,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Arsenal,West Ham,4,1,2018-04-22,7459,2017,234804,0.04328325018286705,0,1,0,0,0.04328325018286705,0,609,Joe Hart
0,0,0,90,GK,West Ham,Stoke,1,1,2018-04-16,7458,2017,233178,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Chelsea,West Ham,1,1,2018-04-08,7442,2017,230332,0,0,0,0,0,0.03737013041973114,0.03737013041973114,609,Joe Hart
0,0,0,90,GK,West Ham,Southampton,3,0,2018-03-31,7434,2017,226833,0,0,0,0,0,0.36792340874671936,0.36792340874671936,609,Joe Hart
0,0,0,90,GK,West Ham,Burnley,0,3,2018-03-10,7418,2017,222321,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Everton,West Ham,4,0,2017-11-29,7256,2017,179215,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,West Ham,Leicester,1,1,2017-11-24,7247,2017,178573,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Watford,West Ham,2,0,2017-11-19,7230,2017,178944,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179476,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,Crystal Palace,West Ham,2,2,2017-10-28,7213,2017,177759,0,0,0,0,0,0,0,609,Joe Hart
0,0,0,90,GK,West Ham,Brighton,0,3,2017-10-20,7208,2017,177446,0,0,0,0,0,0.09778714925050735,0.09778714925050735,609,Joe Hart
0,0,0,90,GK,Burnley,West Ham,1,1,2017-10-14,7190,2017,178340,0.5508653521537781,1,1,0,0,0.5734876990318298,0.022622374817728996,609,Joe Hart
0,0,0,90,GK,West Ham,Swansea,1,0,2017-09-30,7183,2017,178270,0,0,0,0,0,0,0,609,Joe Hart
