goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,81,MC,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326788,0.6814918518066406,0,1,0,0,0.22622717916965485,0.22622717916965485,6825,Joe Ralls
0,1,0.04376630485057831,90,DMC,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325360,0.0994444340467453,0,2,0,0.04376630485057831,0.07017548382282257,0.026409175246953964,6825,Joe Ralls
0,1,0.01684235967695713,90,MC,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321898,0,0,0,0,0.01684235967695713,0,0,6825,Joe Ralls
0,0,0,9,Sub,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318509,0,0,0,0,0,0,0,6825,Joe Ralls
0,0,0,18,Sub,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314579,0,0,0,0,0,0,0,6825,Joe Ralls
0,3,0.06962547451257706,90,MC,Wolverhampton Wanderers,Cardiff,2,0,2019-03-02,9477,2018,305257,0.06820403784513474,0,3,0,0.06962547451257706,0.0924845039844513,0.05169717222452164,6825,Joe Ralls
0,1,0.029346853494644165,69,MC,Cardiff,Watford,1,5,2019-02-22,9463,2018,304746,0.10195460170507431,0,4,0,0.029346853494644165,0.41766566038131714,0.29896080493927,6825,Joe Ralls
0,0,0,90,MC,Southampton,Cardiff,1,2,2019-02-09,9453,2018,304539,0.034384727478027344,0,1,0,0,0,0,6825,Joe Ralls
0,0,0,90,MC,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304306,0.1662752628326416,0,2,0,0,1.193172812461853,1.0848016738891602,6825,Joe Ralls
0,3,0.05693843960762024,90,MC,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303883,0.15980792045593262,0,6,0,0.05693843960762024,0.20762114226818085,0.055303242057561874,6825,Joe Ralls
0,0,0,90,MC,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303772,0.014202779158949852,0,1,0,0,0.06717817485332489,0.06717817485332489,6825,Joe Ralls
0,0,0,23,Sub,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303438,0,0,0,0,0,0,0,6825,Joe Ralls
0,0,0,30,Sub,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303112,0,0,0,0,0,0.017351685091853142,0.017351685091853142,6825,Joe Ralls
0,1,0.015957491472363472,90,MC,Crystal Palace,Cardiff,0,0,2018-12-26,9384,2018,279132,0,0,0,0,0.015957491472363472,0.037422455847263336,0.021464964374899864,6825,Joe Ralls
0,0,0,4,Sub,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278957,0,0,0,0,0,0,0,6825,Joe Ralls
0,0,0,1,Sub,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278265,0,0,0,0,0,0,0,6825,Joe Ralls
0,2,0.7774004936218262,67,MC,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277967,0,0,0,0,0.016231663525104523,0.11849116533994675,0.10225950181484222,6825,Joe Ralls
0,2,0.05286233499646187,90,MC,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277647,0.14594551920890808,0,2,0,0.05286233499646187,0.05286233499646187,0,6825,Joe Ralls
0,0,0,90,MC,Everton,Cardiff,1,0,2018-11-24,9321,2018,277497,0.6438474059104919,0,2,0,0,0,0,6825,Joe Ralls
0,2,0.03749842569231987,79,MC,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277096,0,0,0,0,0.03749842569231987,0.06955923140048981,0.05124089494347572,6825,Joe Ralls
0,0,0,59,DMC,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276055,0,0,0,0,0,0.051937639713287354,0.051937639713287354,6825,Joe Ralls
0,1,0.05767105519771576,81,MC,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260380,0.030993910506367683,0,2,0,0.05767105519771576,0.1582038253545761,0.1427251398563385,6825,Joe Ralls
0,0,0,90,MC,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260132,0,0,0,0,0,0,0,6825,Joe Ralls
0,1,0.014355179853737354,90,MC,Chelsea,Cardiff,4,1,2018-09-15,9241,2018,259817,0.12232110649347305,0,1,0,0.014355179853737354,0.04974766820669174,0.03539248928427696,6825,Joe Ralls
0,1,0.10790489614009857,90,MC,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259552,0,0,0,0,0.10790489614009857,0.040970563888549805,0.040970563888549805,6825,Joe Ralls
0,2,0.041461262851953506,90,DMC,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259315,0.4345683753490448,0,1,0,0.041461262851953506,0.18109779059886932,0.13963653147220612,6825,Joe Ralls
0,1,0.02758840098977089,90,MC,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258996,0.8085878491401672,0,4,0,0.02758840098977089,0.4454844892024994,0.05503891035914421,6825,Joe Ralls
0,1,0.02054578810930252,90,MC,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258703,0.0842491090297699,0,1,0,0.02054578810930252,0.22245030105113983,0.11765540391206741,6825,Joe Ralls
