goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,MC,Southampton,Huddersfield,1,1,2019-05-12,9569,2018,332418,0,0,0,0,0,0.016732817515730858,0.016732817515730858,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330792,0,0,0,0,0,0.10050968080759048,0.10050968080759048,6301,Jonathan Hogg
0,0,0,90,MC,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328041,0,0,0,0,0,0.02597137913107872,0.02597137913107872,6301,Jonathan Hogg
0,2,0.057349514216184616,40,MC,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326039,0,0,0,0,0.057349514216184616,0.11306070536375046,0.11306070536375046,6301,Jonathan Hogg
0,0,0,90,MC,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324031,0.2812286615371704,0,1,0,0,0.44515159726142883,0.16392293572425842,6301,Jonathan Hogg
0,0,0,82,MC,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322577,0,0,0,0,0,0.06490543484687805,0.06490543484687805,6301,Jonathan Hogg
0,0,0,90,DMC,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317933,0.16556234657764435,0,2,0,0,0.06560222804546356,0.06560222804546356,6301,Jonathan Hogg
0,0,0,40,MC,Brighton,Huddersfield,1,0,2019-03-02,9485,2018,305340,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,2,0.06569723039865494,90,MC,Huddersfield,Wolverhampton Wanderers,1,0,2019-02-26,9468,2018,304967,0.019733477383852005,0,1,0,0.06569723039865494,0.08543070405721664,0,6301,Jonathan Hogg
0,0,0,90,DMC,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304839,0,0,0,0,0,0.013512648642063141,0.013512648642063141,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304580,0.016572536900639534,0,1,0,0,0.3299594819545746,0.3133869469165802,6301,Jonathan Hogg
0,0,0,57,MC,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303922,0,0,0,0,0,0.012124694883823395,0.012124694883823395,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303815,0,0,0,0,0,0.02145743928849697,0.02145743928849697,6301,Jonathan Hogg
0,0,0,90,MC,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303446,0.0102157611399889,0,1,0,0,0.10467483103275299,0.09445907175540924,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303212,0,0,0,0,0,0.07833729684352875,0.07833729684352875,6301,Jonathan Hogg
0,0,0,90,MC,Fulham,Huddersfield,1,0,2018-12-29,9393,2018,291446,0,0,0,0,0,0.05059770494699478,0.05059770494699478,6301,Jonathan Hogg
0,0,0,79,MC,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278566,0,0,0,0,0,0.025622550398111343,0.025622550398111343,6301,Jonathan Hogg
0,0,0,55,DMC,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278327,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,DMC,Bournemouth,Huddersfield,2,1,2018-12-04,9338,2018,279157,0.024235336109995842,0,1,0,0,0.4944208264350891,0.4944208264350891,6301,Jonathan Hogg
0,0,0,81,MC,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277759,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,MC,Wolverhampton Wanderers,Huddersfield,0,2,2018-11-25,9325,2018,277608,0.05276911333203316,0,2,0,0,0.03839858993887901,0,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,West Ham,1,1,2018-11-10,9311,2018,277206,0.05783610790967941,1,1,0,0,0.13373345136642456,0.07589734345674515,6301,Jonathan Hogg
0,1,0.025060728192329407,90,MC,Huddersfield,Fulham,1,0,2018-11-05,9306,2018,277066,0.014946520328521729,0,1,0,0.025060728192329407,0.014946520328521729,0,6301,Jonathan Hogg
0,0,0,90,MC,Watford,Huddersfield,3,0,2018-10-27,9291,2018,276635,0.03380545601248741,0,2,0,0,0.1106949895620346,0.1106949895620346,6301,Jonathan Hogg
0,1,0.017115449532866478,90,MC,Huddersfield,Liverpool,0,1,2018-10-20,9284,2018,276459,0.025891784578561783,0,1,0,0.017115449532866478,0.14350645244121552,0.1004992127418518,6301,Jonathan Hogg
0,2,0.08983131498098373,90,DMC,Burnley,Huddersfield,1,1,2018-10-06,9272,2018,276140,0.023306844756007195,0,1,0,0.08983131498098373,0.1473150998353958,0.12400825321674347,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,Tottenham,0,2,2018-09-29,9261,2018,260463,0,0,0,0,0,0.08462153375148773,0.08462153375148773,6301,Jonathan Hogg
0,0,0,68,DMC,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259302,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,Chelsea,0,3,2018-08-11,9200,2018,258746,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,1,0.0185952577739954,88,MC,Huddersfield,Arsenal,0,1,2018-05-13,7494,2017,240210,0,0,0,0,0.0185952577739954,0.4488418698310852,0.43024662137031555,6301,Jonathan Hogg
0,0,0,90,MC,Chelsea,Huddersfield,1,1,2018-05-09,7460,2017,238780,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,MC,Manchester City,Huddersfield,0,0,2018-05-06,7480,2017,237924,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,63,DMC,Huddersfield,Everton,0,2,2018-04-28,7471,2017,235772,0,0,0,0,0,0.018730061128735542,0.018730061128735542,6301,Jonathan Hogg
0,1,0.0143253393471241,90,DMC,Huddersfield,Watford,1,0,2018-04-14,7451,2017,232071,0.02525622583925724,0,1,0,0.0143253393471241,0.0143253393471241,0,6301,Jonathan Hogg
0,1,0.1024608388543129,81,MC,Brighton,Huddersfield,1,1,2018-04-07,7441,2017,230312,0.031477369368076324,0,1,0,0.1024608388543129,0.19591432809829712,0.0619761198759079,6301,Jonathan Hogg
0,0,0,90,MC,Newcastle United,Huddersfield,1,0,2018-03-31,7436,2017,226910,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,1,0.01028804574161768,90,DMC,Huddersfield,Crystal Palace,0,2,2018-03-17,7421,2017,223962,0.020833434537053108,0,1,0,0.01028804574161768,0.031121479347348213,0,6301,Jonathan Hogg
0,3,0.10705191642045975,90,DMC,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222379,0.1277523636817932,0,2,0,0.10705191642045975,0.5539488792419434,0.41920778155326843,6301,Jonathan Hogg
0,0,0,85,DMC,Tottenham,Huddersfield,2,0,2018-03-03,7407,2017,221014,0,0,0,0,0,0.03983452916145325,0.03983452916145325,6301,Jonathan Hogg
0,0,0,90,DMC,West Bromwich Albion,Huddersfield,1,2,2018-02-24,7394,2017,219198,0,0,0,0,0,0.2760718762874603,0.2760718762874603,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,Bournemouth,4,1,2018-02-11,7381,2017,215108,0,0,0,0,0,0.045717138797044754,0.045717138797044754,6301,Jonathan Hogg
0,0,0,90,DMC,Manchester United,Huddersfield,2,0,2018-02-03,7376,2017,214985,0,0,0,0,0,0.03419855982065201,0.03419855982065201,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,Liverpool,0,3,2018-01-30,7359,2017,215333,0,0,0,0,0,0.08743508905172348,0.08743508905172348,6301,Jonathan Hogg
0,2,0.03299277648329735,80,DMC,Stoke,Huddersfield,2,0,2018-01-20,7356,2017,209271,0,0,0,0,0.03299277648329735,0.09058824926614761,0.09058824926614761,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,West Ham,1,4,2018-01-13,7342,2017,207686,0,0,0,0,0,0.014710609801113605,0.014710609801113605,6301,Jonathan Hogg
0,1,0.015463261865079403,90,DMC,Huddersfield,Burnley,0,0,2017-12-30,7322,2017,206084,0,0,0,0,0.015463261865079403,0.020823802798986435,0.020823802798986435,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,Stoke,1,1,2017-12-26,7312,2017,205641,0.08560638874769211,0,1,0,0,1.4941226243972778,1.40851628780365,6301,Jonathan Hogg
0,0,0,66,MC,Watford,Huddersfield,1,4,2017-12-16,7296,2017,202745,0,0,0,0,0,0.6881431937217712,0.6881431937217712,6301,Jonathan Hogg
0,0,0,47,MC,Huddersfield,Chelsea,1,3,2017-12-12,7280,2017,202676,0,0,0,0,0,0.017034169286489487,0.017034169286489487,6301,Jonathan Hogg
0,1,0.020294945687055588,90,DMC,Huddersfield,Brighton,2,0,2017-12-09,7274,2017,198824,0.18867534399032593,0,2,0,0.020294945687055588,0.20128342509269714,0.1003681942820549,6301,Jonathan Hogg
0,0,0,79,MC,Arsenal,Huddersfield,5,0,2017-11-29,7254,2017,178675,0.10658980160951614,0,1,0,0,0.21612009406089783,0.10953029245138168,6301,Jonathan Hogg
0,0,0,87,MC,Huddersfield,Manchester City,1,2,2017-11-26,7245,2017,179264,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,MC,Huddersfield,West Bromwich Albion,1,0,2017-11-04,7221,2017,178194,0,0,0,0,0,0.04106250777840614,0.04106250777840614,6301,Jonathan Hogg
0,0,0,90,MC,Liverpool,Huddersfield,3,0,2017-10-28,7217,2017,177879,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,90,DMC,Huddersfield,Manchester United,2,1,2017-10-21,7201,2017,177205,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,48,DMC,Swansea,Huddersfield,2,0,2017-10-14,7196,2017,178513,0,0,0,0,0,0.048058852553367615,0.048058852553367615,6301,Jonathan Hogg
0,0,0,83,DMC,Huddersfield,Tottenham,0,4,2017-09-30,7179,2017,178053,0,0,0,0,0,0,0,6301,Jonathan Hogg
0,0,0,82,DMC,Burnley,Huddersfield,0,0,2017-09-23,7174,2017,176940,0,0,0,0,0,0.1826777160167694,0.1826777160167694,6301,Jonathan Hogg
0,0,0,6,Sub,Huddersfield,Leicester,1,1,2017-09-16,7161,2017,176356,0,0,0,0,0,0.10460402816534042,0.10460402816534042,6301,Jonathan Hogg
