goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.07036271691322327,90,ML,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332391,0.6461158990859985,1,2,0,0.07036271691322327,0.7118837237358093,0.021119901910424232,6828,Josh Murphy
0,3,0.13975520431995392,84,ML,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330433,0.1336914449930191,0,2,0,0.13975520431995392,0.24339112639427185,0.10363592207431793,6828,Josh Murphy
0,0,0,5,Sub,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326793,0,0,0,0,0,0,0,6828,Josh Murphy
0,2,0.045812301337718964,90,AMR,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324276,0,0,0,0,0.045812301337718964,0.045812301337718964,0,6828,Josh Murphy
0,0,0,62,MR,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321896,0,0,0,0,0,0,0,6828,Josh Murphy
0,1,0.03328682854771614,90,AMR,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318503,0.021998025476932526,0,1,0,0.03328682854771614,0.055284854024648666,0,6828,Josh Murphy
0,1,0.020596900954842567,90,AMR,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314574,1.3694416284561157,1,3,0,0.020596900954842567,1.3900386095046997,0,6828,Josh Murphy
0,0,0,21,Sub,Cardiff,Everton,0,3,2019-02-26,9469,2018,305000,0,0,0,0,0,0.040165744721889496,0.040165744721889496,6828,Josh Murphy
0,1,0.022843854501843452,58,FWL,Cardiff,Watford,1,5,2019-02-22,9463,2018,304749,0,0,0,0,0.022843854501843452,0.0609578900039196,0.0381140373647213,6828,Josh Murphy
0,2,0.5630943775177002,70,ML,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304307,0,0,0,0,0.5630943775177002,0.5630943775177002,0,6828,Josh Murphy
0,0,0,5,Sub,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303778,0,0,0,0,0,0,0,6828,Josh Murphy
0,0,0,47,ML,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303108,0,0,0,0,0,0,0,6828,Josh Murphy
0,3,0.16376738250255585,80,ML,Leicester,Cardiff,0,1,2018-12-29,9392,2018,291419,0.01615491323173046,0,1,0,0.16376738250255585,0.2288556545972824,0.04893336072564125,6828,Josh Murphy
0,2,0.08601562678813934,90,ML,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278954,0.10176878422498703,0,1,0,0.08601562678813934,0.1427367925643921,0,6828,Josh Murphy
0,1,0.030769942328333855,49,ML,Watford,Cardiff,3,2,2018-12-15,9358,2018,278525,0,0,0,0,0.030769942328333855,0.030769942328333855,0,6828,Josh Murphy
0,1,0.07284729182720184,86,ML,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278261,0,0,0,0,0.07284729182720184,0.21011537313461304,0.1372680813074112,6828,Josh Murphy
1,1,0.7683955430984497,23,Sub,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277971,0,0,0,1,0.7683955430984497,0,0,6828,Josh Murphy
0,2,0.042765021324157715,68,FW,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277649,0.029338471591472626,0,1,0,0.042765021324157715,0.042765021324157715,0,6828,Josh Murphy
0,1,0.0867912545800209,22,Sub,Everton,Cardiff,1,0,2018-11-24,9321,2018,277502,0,0,0,0,0.0867912545800209,0.0867912545800209,0,6828,Josh Murphy
0,3,0.09553541988134384,75,ML,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277097,0,0,0,0,0.09553541988134384,0.09553541988134384,0,6828,Josh Murphy
0,0,0,88,ML,Cardiff,Leicester,0,1,2018-11-03,9302,2018,276930,0,0,0,0,0,0.020260736346244812,0.020260736346244812,6828,Josh Murphy
0,0,0,75,ML,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276554,0,0,0,0,0,0,0,6828,Josh Murphy
1,5,0.23464561998844147,87,ML,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276403,0,0,0,1,0.23464561998844147,0.26952096819877625,0.034875351935625076,6828,Josh Murphy
0,3,0.5577735900878906,90,ML,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276059,0,0,0,0,0.5577735900878906,0.5577735900878906,0,6828,Josh Murphy
1,6,0.36905282735824585,90,ML,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260381,0.028766365721821785,0,1,1,0.36905282735824585,0.37458717823028564,0.16040678322315216,6828,Josh Murphy
0,0,0,13,Sub,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260137,0,0,0,0,0,0,0,6828,Josh Murphy
0,3,0.12155463546514511,90,ML,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259319,0.010058526881039143,0,1,0,0.12155463546514511,0.2277693897485733,0.1062147468328476,6828,Josh Murphy
0,1,0.03173627331852913,81,FWL,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258999,0.09348063915967941,0,1,0,0.03173627331852913,0.149025559425354,0.05554492399096489,6828,Josh Murphy
0,2,0.1811245083808899,25,Sub,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258707,1.0737680196762085,0,2,0,0.1811245083808899,0.168182834982872,0,6828,Josh Murphy
