goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.04001327231526375,90,DR,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536592,0,0,0,0,0.04001327231526375,0.06987545639276505,0.029862185940146446,6306,Juan Foyth
1,1,0.8248398303985596,76,DR,Rayo Vallecano,Villarreal,1,5,2022-05-12,17494,2021,534993,0,0,0,1,0.8248398303985596,0.4259023666381836,0.4259023666381836,6306,Juan Foyth
0,1,0.07140050083398819,83,DR,Villarreal,Sevilla,1,1,2022-05-08,17485,2021,533602,0.031814079731702805,0,1,0,0.07140050083398819,0.38177892565727234,0.34996482729911804,6306,Juan Foyth
0,0,0,43,Sub,Alaves,Villarreal,2,1,2022-04-30,17466,2021,530219,0,0,0,0,0,0.15846173465251923,0.15846173465251923,6306,Juan Foyth
0,0,0,82,DR,Villarreal,Valencia,2,0,2022-04-19,17465,2021,527586,0.2853556275367737,1,1,0,0,0.2853556275367737,0.2853556275367737,6306,Juan Foyth
0,0,0,8,Sub,Villarreal,Athletic Club,1,1,2022-04-09,17444,2021,524822,0,0,0,0,0,0,0,6306,Juan Foyth
0,1,0.055133577436208725,79,DR,Levante,Villarreal,2,0,2022-04-02,17433,2021,522876,0,0,0,0,0.055133577436208725,0.055133577436208725,0,6306,Juan Foyth
0,0,0,22,Sub,Granada,Villarreal,1,4,2022-02-19,17380,2021,513989,0,0,0,0,0,0.9577909708023071,0.9577909708023071,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Real Madrid,0,0,2022-02-12,17375,2021,512729,0.024876032024621964,0,1,0,0,0.054469551891088486,0.054469551891088486,6306,Juan Foyth
0,0,0,67,DR,Real Betis,Villarreal,0,2,2022-02-06,17358,2021,511894,0,0,0,0,0,0,0,6306,Juan Foyth
0,0,0,77,DR,Elche,Villarreal,1,0,2022-01-16,17345,2021,508956,0,0,0,0,0,0,0,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Atletico Madrid,2,2,2022-01-09,17335,2021,507612,0,0,0,0,0,0.137292742729187,0.137292742729187,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Alaves,5,2,2021-12-21,17175,2021,504382,0,0,0,0,0,0.8912816047668457,0.8912816047668457,6306,Juan Foyth
0,1,0.017314868047833443,90,DR,Real Sociedad,Villarreal,1,3,2021-12-18,17312,2021,503735,0,0,0,0,0.017314868047833443,0.3598240911960602,0.3425092101097107,6306,Juan Foyth
0,0,0,90,DR,Sevilla,Villarreal,1,0,2021-12-04,17292,2021,499656,0.06822573393583298,0,1,0,0,0.26854005455970764,0.20031431317329407,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Barcelona,1,3,2021-11-27,17285,2021,497692,0,0,0,0,0,0.05207879841327667,0.05207879841327667,6306,Juan Foyth
0,1,0.011657859198749065,85,DR,Celta Vigo,Villarreal,1,1,2021-11-20,17268,2021,495414,0.4541979730129242,0,3,0,0.011657859198749065,0.5493569374084473,0.17409180104732513,6306,Juan Foyth
0,0,0,66,DR,Athletic Club,Villarreal,2,1,2021-10-23,17226,2021,490281,0,0,0,0,0,0.2912495732307434,0.2912495732307434,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Osasuna,1,2,2021-10-17,17225,2021,489150,0.02082187868654728,0,1,0,0,0.3640836179256439,0.3640836179256439,6306,Juan Foyth
0,0,0,90,DR,Villarreal,Real Betis,2,0,2021-10-03,17209,2021,487585,0,0,0,0,0,0.2771065831184387,0.2771065831184387,6306,Juan Foyth
0,0,0,86,DR,Real Madrid,Villarreal,0,0,2021-09-25,17202,2021,485132,0.4805642068386078,0,3,0,0,0.06927955895662308,0.042810600250959396,6306,Juan Foyth
