goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.01728139817714691,69,MC,Southampton,Huddersfield,1,1,2019-05-12,9569,2018,332417,0,0,0,0,0.01728139817714691,0.01728139817714691,0,7219,Juninho Bacuna
0,3,0.12460534274578094,90,MC,Huddersfield,Manchester United,1,1,2019-05-05,9561,2018,330791,0.17277735471725464,0,2,0,0.12460534274578094,0.25847959518432617,0,7219,Juninho Bacuna
0,1,0.012567110359668732,90,MC,Liverpool,Huddersfield,5,0,2019-04-26,9551,2018,328040,0.05451897904276848,0,1,0,0.012567110359668732,0.02272087149322033,0.010153762064874172,7219,Juninho Bacuna
0,1,0.0386274978518486,90,MC,Huddersfield,Watford,1,2,2019-04-20,9541,2018,326038,0,0,0,0,0.0386274978518486,0.20344744622707367,0.16481994092464447,7219,Juninho Bacuna
0,1,0.03795153275132179,90,MC,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324030,0.5865578055381775,0,3,0,0.03795153275132179,0.2557659447193146,0.06200302764773369,7219,Juninho Bacuna
0,0,0,8,Sub,Huddersfield,Leicester,1,4,2019-04-06,9523,2018,322583,0.09541302919387817,0,1,0,0,0.09541302919387817,0,7219,Juninho Bacuna
0,0,0,80,DMC,Crystal Palace,Huddersfield,2,0,2019-03-30,9513,2018,317932,0.04467954486608505,0,2,0,0,0.04467954486608505,0,7219,Juninho Bacuna
1,4,0.38717085123062134,68,DMC,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316386,0,0,0,1,0.38717085123062134,0.1106192097067833,0,7219,Juninho Bacuna
0,1,0.01734529249370098,90,DR,Huddersfield,Bournemouth,0,2,2019-03-09,9492,2018,314484,0.02614854834973812,0,1,0,0.01734529249370098,0.06681277602910995,0.023318937048316002,7219,Juninho Bacuna
0,1,0.011680247262120247,90,DR,Brighton,Huddersfield,1,0,2019-03-02,9485,2018,305334,0,0,0,0,0.011680247262120247,0.011680247262120247,0,7219,Juninho Bacuna
0,0,0,41,Sub,Huddersfield,Wolverhampton Wanderers,1,0,2019-02-26,9468,2018,304973,0.23609448969364166,0,1,0,0,0.25082287192344666,0.25082287192344666,7219,Juninho Bacuna
0,0,0,71,MC,Newcastle United,Huddersfield,2,0,2019-02-23,9458,2018,304841,0,0,0,0,0,0,0,7219,Juninho Bacuna
0,5,0.13469214737415314,90,MC,Huddersfield,Arsenal,1,2,2019-02-09,9456,2018,304582,0.037811461836099625,0,1,0,0.13469214737415314,0.3840257227420807,0.21152210235595703,7219,Juninho Bacuna
0,0,0,90,MC,Chelsea,Huddersfield,5,0,2019-02-02,9443,2018,304235,0,0,0,0,0,0,0,7219,Juninho Bacuna
0,0,0,90,MC,Huddersfield,Everton,0,1,2019-01-29,9428,2018,303921,0.02561342343688011,0,1,0,0,0.20584268867969513,0.20584268867969513,7219,Juninho Bacuna
0,0,0,67,MC,Huddersfield,Manchester City,0,3,2019-01-20,9423,2018,303813,0,0,0,0,0,0.0906272903084755,0.0906272903084755,7219,Juninho Bacuna
0,0,0,67,MC,Huddersfield,Southampton,1,3,2018-12-22,9371,2018,278868,0.04105200991034508,0,2,0,0,0.012891668826341629,0.012891668826341629,7219,Juninho Bacuna
0,1,0.013078676536679268,90,MC,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278565,0.03818606585264206,0,2,0,0.013078676536679268,0.07326620817184448,0.03456498309969902,7219,Juninho Bacuna
0,0,0,35,Sub,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278333,0.03739817067980766,0,1,0,0,0.03739817067980766,0.03739817067980766,7219,Juninho Bacuna
0,0,0,1,Sub,Huddersfield,Fulham,1,0,2018-11-05,9306,2018,277073,0,0,0,0,0,0,0,7219,Juninho Bacuna
0,0,0,11,Sub,Watford,Huddersfield,3,0,2018-10-27,9291,2018,276641,0,0,0,0,0,0,0,7219,Juninho Bacuna
