goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,9,Sub,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332394,0,0,0,0,0,0,0,4395,Junior Hoilett
0,2,0.32450783252716064,6,Sub,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330436,0.014528410509228706,0,1,0,0.32450783252716064,0.3015018403530121,0,4395,Junior Hoilett
0,1,0.3529182970523834,90,AMR,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328345,0.4138732850551605,0,3,0,0.3529182970523834,0.595375120639801,0.012499486096203327,4395,Junior Hoilett
0,3,0.12671837210655212,85,MR,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326786,0,0,0,0,0.12671837210655212,0.12671837210655212,0,4395,Junior Hoilett
0,1,0.022304851561784744,90,AML,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325363,0.1742042452096939,1,4,0,0.022304851561784744,0.11072424799203873,0,4395,Junior Hoilett
0,4,0.5542991757392883,75,AML,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324278,0.0450059249997139,0,2,0,0.5542991757392883,0.5729529857635498,0,4395,Junior Hoilett
0,0,0,90,ML,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321899,0.06707638502120972,0,1,0,0,0,0,4395,Junior Hoilett
0,1,0.021998025476932526,90,AML,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318505,0.09420550614595413,0,2,0,0.021998025476932526,0.08022765070199966,0,4395,Junior Hoilett
1,1,0.3713032007217407,90,AML,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314576,0.2562195956707001,0,2,1,0.3713032007217407,0.8531088829040527,0.22558613121509552,4395,Junior Hoilett
0,0,0,69,ML,Cardiff,Everton,0,3,2019-02-26,9469,2018,304996,0,0,0,0,0,0,0,4395,Junior Hoilett
0,1,0.051597461104393005,32,Sub,Cardiff,Watford,1,5,2019-02-22,9463,2018,304750,0.014307942241430283,0,1,0,0.051597461104393005,0,0,4395,Junior Hoilett
0,1,0.041349031031131744,20,Sub,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304309,0,0,0,0,0.041349031031131744,0.041349031031131744,0,4395,Junior Hoilett
0,4,0.11581167578697205,90,ML,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303773,0.014222103171050549,0,1,0,0.11581167578697205,0.13736015558242798,0.052956074476242065,4395,Junior Hoilett
0,0,0,90,ML,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303436,0.01283178385347128,0,2,0,0,0.01283178385347128,0,4395,Junior Hoilett
0,2,0.09426100552082062,43,Sub,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303110,0,0,0,0,0.09426100552082062,0.09426100552082062,0,4395,Junior Hoilett
0,2,0.04893336072564125,85,MR,Leicester,Cardiff,0,1,2018-12-29,9392,2018,291416,0,0,0,0,0.04893336072564125,0.04893336072564125,0,4395,Junior Hoilett
0,2,0.13388152420520782,90,ML,Crystal Palace,Cardiff,0,0,2018-12-26,9384,2018,279133,0,0,0,0,0.13388152420520782,0.14983901381492615,0.015957491472363472,4395,Junior Hoilett
0,0,0,77,MR,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278951,0,0,0,0,0,0,0,4395,Junior Hoilett
1,2,0.0974816232919693,90,MR,Watford,Cardiff,3,2,2018-12-15,9358,2018,278522,0.01364029012620449,0,1,1,0.0974816232919693,0.11112191528081894,0,4395,Junior Hoilett
0,1,0.07910360395908356,22,Sub,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278263,0,0,0,0,0.07910360395908356,0.07910360395908356,0,4395,Junior Hoilett
0,0,0,67,ML,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277968,0.012568737380206585,0,1,0,0,0.11482823640108109,0.11482823640108109,4395,Junior Hoilett
1,3,0.051888152956962585,90,ML,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277648,0.015949511900544167,0,1,1,0.051888152956962585,0.05639436095952988,0.02681550942361355,4395,Junior Hoilett
0,0,0,15,Sub,Everton,Cardiff,1,0,2018-11-24,9321,2018,277500,0,0,0,0,0,0,0,4395,Junior Hoilett
0,2,0.06586089730262756,15,Sub,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277099,0.12939782440662384,0,1,0,0.06586089730262756,0.15668390691280365,0,4395,Junior Hoilett
0,0,0,22,Sub,Cardiff,Leicester,0,1,2018-11-03,9302,2018,276933,0,0,0,0,0,0.0431235171854496,0.0431235171854496,4395,Junior Hoilett
0,1,0.026595035567879677,90,MR,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276551,0,0,0,0,0.026595035567879677,0.026595035567879677,0,4395,Junior Hoilett
0,1,0.3745071291923523,79,MR,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276056,0,0,0,0,0.3745071291923523,0.3745071291923523,0,4395,Junior Hoilett
0,0,0,77,MR,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260130,0,0,0,0,0,0,0,4395,Junior Hoilett
0,0,0,90,ML,Chelsea,Cardiff,4,1,2018-09-15,9241,2018,259818,0.0263931043446064,0,1,0,0,0,0,4395,Junior Hoilett
0,3,0.07931831479072571,90,ML,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259553,0,0,0,0,0.07931831479072571,0.14395342767238617,0.08914580941200256,4395,Junior Hoilett
0,2,0.13287512958049774,86,FWR,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258997,0,0,0,0,0.13287512958049774,0.4848232567310333,0.3519481420516968,4395,Junior Hoilett
0,0,0,90,ML,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258705,0.033564772456884384,0,1,0,0,0.35009706020355225,0.31653231382369995,4395,Junior Hoilett
0,0,0,50,ML,Queens Park Rangers,Newcastle United,2,1,2015-05-16,4420,2014,23346,0,0,0,0,0,0,0,4395,Junior Hoilett
0,2,0.14035597443580627,36,Sub,Manchester City,Queens Park Rangers,6,0,2015-05-10,4416,2014,24520,0,0,0,0,0.14035597443580627,0.03914448246359825,0.01806066930294037,4395,Junior Hoilett
