goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,8,Sub,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325367,0,0,0,0,0,0.06201022490859032,0.06201022490859032,7120,Kadeem Harris
0,0,0,8,Sub,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303887,0.01238275971263647,0,1,0,0,0.03777720406651497,0.025394445285201073,7120,Kadeem Harris
0,1,0.10443833470344543,10,Sub,Leicester,Cardiff,0,1,2018-12-29,9392,2018,291423,0,0,0,0,0.10443833470344543,0.10443833470344543,0,7120,Kadeem Harris
0,2,0.3773709237575531,90,MR,Crystal Palace,Cardiff,0,0,2018-12-26,9384,2018,279130,0.4036635458469391,0,1,0,0.3773709237575531,0.8005185127258301,0.01948404870927334,7120,Kadeem Harris
0,0,0,13,Sub,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278958,0,0,0,0,0,0,0,7120,Kadeem Harris
0,0,0,4,Sub,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278264,0,0,0,0,0,0,0,7120,Kadeem Harris
0,0,0,14,Sub,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277970,0,0,0,0,0,0,0,7120,Kadeem Harris
0,0,0,12,Sub,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277652,0,0,0,0,0,0,0,7120,Kadeem Harris
0,0,0,68,MR,Everton,Cardiff,1,0,2018-11-24,9321,2018,277495,0.0330355279147625,0,1,0,0,0.0330355279147625,0,7120,Kadeem Harris
0,1,0.013763428665697575,90,MR,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277094,0.06218808516860008,0,3,0,0.013763428665697575,0.1570844054222107,0.10952511429786682,7120,Kadeem Harris
0,0,0,15,Sub,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276559,0,0,0,0,0,0,0,7120,Kadeem Harris
1,1,0.3930147588253021,3,Sub,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276407,0,0,0,1,0.3930147588253021,0.3930147588253021,0,7120,Kadeem Harris
0,0,0,11,Sub,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276063,0,0,0,0,0,0,0,7120,Kadeem Harris
