goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.03466740623116493,75,FW,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332393,0.014788231812417507,0,1,0,0.03466740623116493,0.049455638974905014,0,6928,Kenneth Zohore
0,1,0.28939566016197205,26,Sub,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330437,0,0,0,0,0.28939566016197205,0.35064154863357544,0.0612458772957325,6928,Kenneth Zohore
0,0,0,21,Sub,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326791,0,0,0,0,0,0,0,6928,Kenneth Zohore
0,0,0,3,Sub,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325365,0,0,0,0,0,0,0,6928,Kenneth Zohore
0,0,0,80,FW,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324279,0.5393880009651184,0,3,0,0,0.5393880009651184,0,6928,Kenneth Zohore
0,0,0,4,Sub,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318507,0,0,0,0,0,0,0,6928,Kenneth Zohore
0,1,0.0552118644118309,90,FW,Wolverhampton Wanderers,Cardiff,2,0,2019-03-02,9477,2018,305259,0.019470714032649994,0,1,0,0.0552118644118309,0.1476963609457016,0.1282256543636322,6928,Kenneth Zohore
0,2,0.13341441750526428,82,FW,Cardiff,Everton,0,3,2019-02-26,9469,2018,304998,0,0,0,0,0.13341441750526428,0.13341441750526428,0,6928,Kenneth Zohore
0,0,0,17,Sub,Cardiff,Watford,1,5,2019-02-22,9463,2018,304751,0.009149189107120037,0,1,0,0,0.009149189107120037,0,6928,Kenneth Zohore
1,1,0.12564921379089355,27,Sub,Southampton,Cardiff,1,2,2019-02-09,9453,2018,304544,0,0,0,1,0.12564921379089355,0.12564921379089355,0,6928,Kenneth Zohore
0,1,0.10837103426456451,6,Sub,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304310,0,0,0,0,0.10837103426456451,0.10837103426456451,0,6928,Kenneth Zohore
0,1,0.028660183772444725,16,Sub,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303886,0.025394445285201073,1,1,0,0.028660183772444725,0.09187135100364685,0.03781672194600105,6928,Kenneth Zohore
0,2,0.1599739044904709,26,Sub,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278956,0.04665478318929672,0,1,0,0.1599739044904709,0.2066286951303482,0,6928,Kenneth Zohore
0,0,0,6,Sub,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276557,0,0,0,0,0,0,0,6928,Kenneth Zohore
0,2,0.19103427231311798,73,FW,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260383,0,0,0,0,0.19103427231311798,0.19103427231311798,0,6928,Kenneth Zohore
0,0,0,25,Sub,Cardiff,Manchester City,0,5,2018-09-22,9252,2018,260136,0,0,0,0,0,0,0,6928,Kenneth Zohore
0,0,0,4,Sub,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259556,0.0894690752029419,0,1,0,0,0,0,6928,Kenneth Zohore
0,0,0,64,FW,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259320,0.13352130353450775,0,2,0,0,0.04963750019669533,0,6928,Kenneth Zohore
0,4,0.4906642436981201,90,FW,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258998,0.02758840098977089,0,1,0,0.4906642436981201,0.4840357303619385,0,6928,Kenneth Zohore
