goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Watford,Fulham,4,1,2019-04-02,9518,2018,321629,0,0,0,0,0,0,0,6836,Kevin McDonald
0,0,0,1,Sub,Fulham,Manchester City,0,2,2019-03-30,9512,2018,317622,0,0,0,0,0,0,0,6836,Kevin McDonald
0,0,0,83,MC,Leicester,Fulham,3,1,2019-03-09,9491,2018,314476,0,0,0,0,0,0.09960797429084778,0.09960797429084778,6836,Kevin McDonald
0,0,0,64,DMC,Fulham,Chelsea,1,2,2019-03-03,9482,2018,305436,0,0,0,0,0,0,0,6836,Kevin McDonald
0,0,0,70,MC,Southampton,Fulham,2,0,2019-02-27,9472,2018,305091,0,0,0,0,0,0.4941920042037964,0.4941920042037964,6836,Kevin McDonald
0,0,0,7,Sub,Fulham,Wolverhampton Wanderers,1,1,2018-12-26,9383,2018,279013,0,0,0,0,0,0,0,6836,Kevin McDonald
0,0,0,19,Sub,Huddersfield,Fulham,1,0,2018-11-05,9306,2018,277087,0,0,0,0,0,0,0,6836,Kevin McDonald
0,0,0,74,DMC,Fulham,Bournemouth,0,3,2018-10-27,9289,2018,276565,0.0649111270904541,0,2,0,0,0.12441471219062805,0.07509195059537888,6836,Kevin McDonald
0,1,0.05031376704573631,90,MC,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276415,0.01638687402009964,0,1,0,0.05031376704573631,0.06670064479112625,0,6836,Kevin McDonald
0,0,0,27,Sub,Fulham,Arsenal,1,5,2018-10-07,9274,2018,276189,0,0,0,0,0,0.03327265381813049,0.03327265381813049,6836,Kevin McDonald
0,0,0,47,MC,Fulham,Watford,1,1,2018-09-22,9247,2018,260186,0,0,0,0,0,0.11212152242660522,0.11212152242660522,6836,Kevin McDonald
0,0,0,90,MC,Manchester City,Fulham,3,0,2018-09-15,9239,2018,259898,0,0,0,0,0,0.20669421553611755,0.20669421553611755,6836,Kevin McDonald
0,1,0.017865991219878197,90,MC,Brighton,Fulham,2,2,2018-09-01,9233,2018,259509,0,0,0,0,0.017865991219878197,0.5050536394119263,0.4871876537799835,6836,Kevin McDonald
0,1,0.02735866978764534,90,MC,Fulham,Burnley,4,2,2018-08-25,9220,2018,259274,0.016937101259827614,0,1,0,0.02735866978764534,0.1856319010257721,0.1856319010257721,6836,Kevin McDonald
0,1,0.013830234296619892,90,MC,Fulham,Crystal Palace,0,2,2018-08-11,9201,2018,258716,0,0,0,0,0.013830234296619892,0.1470334380865097,0.13320320844650269,6836,Kevin McDonald
