goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,8,Sub,Eibar,Mallorca,1,2,2020-03-07,12287,2019,396656,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,45,Sub,Leicester,Newcastle United,5,0,2019-09-29,11710,2019,355525,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,16,Sub,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352449,0.04251881316304207,0,1,0,0,0.04251881316304207,0,723,Ki Sung-yueng
0,0,0,76,MC,Norwich,Newcastle United,3,1,2019-08-17,11657,2019,341917,0.012597769498825073,0,1,0,0,0,0,723,Ki Sung-yueng
0,1,0.01106496062129736,90,MC,Newcastle United,Liverpool,2,3,2019-05-04,9559,2018,330573,0,0,0,0,0.01106496062129736,0.01106496062129736,0,723,Ki Sung-yueng
0,0,0,14,Sub,Brighton,Newcastle United,1,1,2019-04-27,9556,2018,328461,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,1,0.019925259053707123,90,MC,Newcastle United,Southampton,3,1,2019-04-20,9539,2018,326208,0.08299069851636887,0,1,0,0.019925259053707123,0.019925259053707123,0,723,Ki Sung-yueng
0,0,0,84,MC,Leicester,Newcastle United,0,1,2019-04-12,9532,2018,323893,0.015193011611700058,0,1,0,0,0.07951574772596359,0.07951574772596359,723,Ki Sung-yueng
0,2,0.027945933863520622,78,MC,Newcastle United,Crystal Palace,0,1,2019-04-06,9521,2018,322550,0,0,0,0,0.027945933863520622,0.14263972640037537,0.1146937906742096,723,Ki Sung-yueng
0,1,0.019153015688061714,22,Sub,Arsenal,Newcastle United,2,0,2019-04-01,9507,2018,321490,0,0,0,0,0.019153015688061714,0.019153015688061714,0,723,Ki Sung-yueng
0,0,0,81,MC,Newcastle United,Everton,3,2,2019-03-09,9488,2018,314546,0,0,0,0,0,0.07128006964921951,0.07128006964921951,723,Ki Sung-yueng
0,1,0.015866292640566826,90,MC,Newcastle United,Fulham,0,0,2018-12-22,9369,2018,278817,0,0,0,0,0.015866292640566826,0.015866292640566826,0,723,Ki Sung-yueng
0,0,0,74,MC,Huddersfield,Newcastle United,0,1,2018-12-15,9363,2018,278580,0.27683761715888977,0,1,0,0,0,0,723,Ki Sung-yueng
0,0,0,90,MC,Newcastle United,Wolverhampton Wanderers,1,2,2018-12-09,9348,2018,278399,0.07563542574644089,0,3,0,0,0.08528491109609604,0.08528491109609604,723,Ki Sung-yueng
0,0,0,90,MC,Everton,Newcastle United,1,1,2018-12-05,9345,2018,278107,0.15863928198814392,0,2,0,0,0.07351716607809067,0.07351716607809067,723,Ki Sung-yueng
0,0,0,90,MC,Newcastle United,West Ham,0,3,2018-12-01,9328,2018,277674,0.016051549464464188,0,1,0,0,0.18865811824798584,0.17260657250881195,723,Ki Sung-yueng
0,0,0,90,MC,Burnley,Newcastle United,1,2,2018-11-26,9326,2018,277635,0.031190019100904465,0,2,0,0,0.5273252129554749,0.5273252129554749,723,Ki Sung-yueng
0,0,0,90,MC,Newcastle United,Bournemouth,2,1,2018-11-10,9309,2018,277149,0.0818295106291771,0,3,0,0,1.4498509168624878,1.4498509168624878,723,Ki Sung-yueng
0,1,0.04194881021976471,38,Sub,Newcastle United,Watford,1,0,2018-11-03,9299,2018,276879,0.314159095287323,1,1,0,0.04194881021976471,0,0,723,Ki Sung-yueng
0,0,0,11,Sub,Southampton,Newcastle United,0,0,2018-10-27,9292,2018,276669,0,0,0,0,0,0.01675548031926155,0.01675548031926155,723,Ki Sung-yueng
0,0,0,90,MC,Manchester City,Newcastle United,2,1,2018-09-01,9234,2018,259706,0.02501392737030983,0,1,0,0,0.49917110800743103,0.4741571843624115,723,Ki Sung-yueng
0,1,0.016275951638817787,90,MC,Newcastle United,Chelsea,1,2,2018-08-26,9225,2018,259388,0,0,0,0,0.016275951638817787,0.016275951638817787,0,723,Ki Sung-yueng
0,1,0.024792399257421494,90,MC,Swansea,Southampton,0,1,2018-05-08,7426,2017,238629,0.1084490716457367,0,2,0,0.024792399257421494,0.1739981770515442,0.040756706148386,723,Ki Sung-yueng
0,1,0.013621373102068901,79,MC,Bournemouth,Swansea,1,0,2018-05-05,7488,2017,237616,0.019835475832223892,0,1,0,0.013621373102068901,0.6873053908348083,0.6674699187278748,723,Ki Sung-yueng
0,0,0,90,MC,Swansea,Chelsea,0,1,2018-04-28,7476,2017,235913,0,0,0,0,0,0.05419420450925827,0.05419420450925827,723,Ki Sung-yueng
0,0,0,66,MC,Manchester City,Swansea,5,0,2018-04-22,7465,2017,235063,0.10130273550748825,0,1,0,0,0,0,723,Ki Sung-yueng
0,3,0.06387003511190414,67,MC,Swansea,Everton,1,1,2018-04-14,7456,2017,232100,0,0,0,0,0.06387003511190414,0.06387003511190414,0.01850452460348606,723,Ki Sung-yueng
0,0,0,2,Sub,West Bromwich Albion,Swansea,1,1,2018-04-07,7448,2017,230510,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,48,MC,Manchester United,Swansea,2,0,2018-03-31,7435,2017,226883,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,90,MC,Huddersfield,Swansea,0,0,2018-03-10,7413,2017,222395,0,0,0,0,0,0,0,723,Ki Sung-yueng
1,2,0.04687909781932831,90,MC,Swansea,West Ham,4,1,2018-03-03,7406,2017,220975,0.4063403606414795,1,1,1,0.04687909781932831,0.04687909781932831,0,723,Ki Sung-yueng
0,2,0.06160756200551987,90,MC,Brighton,Swansea,4,1,2018-02-24,7391,2017,219228,0,0,0,0,0.06160756200551987,0.1288505345582962,0.06724298000335693,723,Ki Sung-yueng
1,4,0.20030182600021362,90,MC,Swansea,Burnley,1,0,2018-02-10,7386,2017,215250,0.2581600546836853,0,3,1,0.20030182600021362,0.38144150376319885,0.023005414754152298,723,Ki Sung-yueng
0,0,0,90,MC,Leicester,Swansea,1,1,2018-02-03,7374,2017,214932,0.4622929096221924,1,1,0,0,0.1076497957110405,0.1076497957110405,723,Ki Sung-yueng
0,1,0.011078967712819576,90,MC,Swansea,Arsenal,3,1,2018-01-30,7361,2017,215361,0,0,0,0,0.011078967712819576,0.011078967712819576,0,723,Ki Sung-yueng
0,0,0,90,MC,Swansea,Liverpool,1,0,2018-01-22,7357,2017,210199,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,1,0.038052480667829514,90,DMC,Newcastle United,Swansea,1,1,2018-01-13,7345,2017,207724,0.011062747798860073,0,1,0,0.038052480667829514,0.08292914927005768,0.044876668602228165,723,Ki Sung-yueng
0,1,0.3155672550201416,90,MC,Swansea,Manchester City,0,4,2017-12-13,7281,2017,205395,0.05302045866847038,0,1,0,0.3155672550201416,0.3155672550201416,0,723,Ki Sung-yueng
0,0,0,90,MC,Swansea,West Bromwich Albion,1,0,2017-12-09,7271,2017,198965,0.22303499281406403,0,5,0,0,0.3521577715873718,0.3022935390472412,723,Ki Sung-yueng
0,1,0.025387415662407875,90,DMC,Stoke,Swansea,2,1,2017-12-02,7263,2017,178701,0,0,0,0,0.025387415662407875,0.12470479309558868,0.12470479309558868,723,Ki Sung-yueng
0,0,0,90,MC,Chelsea,Swansea,1,0,2017-11-29,7255,2017,179142,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,90,MC,Swansea,Bournemouth,0,0,2017-11-25,7240,2017,179678,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,19,Sub,Burnley,Swansea,2,0,2017-11-18,7233,2017,178572,0.050490446388721466,0,1,0,0,0.050490446388721466,0,723,Ki Sung-yueng
0,0,0,90,MC,Swansea,Brighton,0,1,2017-11-04,7225,2017,179318,0,0,0,0,0,0,0,723,Ki Sung-yueng
0,0,0,90,MC,Arsenal,Swansea,2,1,2017-10-28,7209,2017,177494,0,0,0,0,0,0,0,723,Ki Sung-yueng
