goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Bordeaux,Lille,2,3,2021-12-22,18002,2021,504978,0,0,0,0,0,0.7007806301116943,0.7007806301116943,494,Laurent Koscielny
0,0,0,90,DC,Troyes,Bordeaux,1,2,2021-12-12,17997,2021,502352,0,0,0,0,0,0,0,494,Laurent Koscielny
0,0,0,90,DC,Bordeaux,Paris Saint Germain,2,3,2021-11-06,17942,2021,494319,0,0,0,0,0,0.5200351476669312,0.5200351476669312,494,Laurent Koscielny
0,0,0,48,DC,Bordeaux,Reims,3,2,2021-10-31,17933,2021,493027,0,0,0,0,0,0,0,494,Laurent Koscielny
0,0,0,90,DC,Lorient,Bordeaux,1,1,2021-10-24,17924,2021,490579,0,0,0,0,0,0,0,494,Laurent Koscielny
0,0,0,90,DC,Bordeaux,Nantes,1,1,2021-10-17,17912,2021,488851,0,0,0,0,0,0.021564308553934097,0.021564308553934097,494,Laurent Koscielny
0,0,0,90,DC,Bordeaux,Lens,2,3,2021-09-12,17865,2021,480864,0.12605367600917816,0,1,0,0,0.24341094493865967,0.1173572689294815,494,Laurent Koscielny
0,0,0,90,DC,Nice,Bordeaux,4,0,2021-08-28,17853,2021,479043,0,0,0,0,0,0.18754959106445312,0.18754959106445312,494,Laurent Koscielny
0,0,0,80,DC,Bordeaux,Angers,1,1,2021-08-22,17847,2021,477649,0,0,0,0,0,0.11460069566965103,0.11460069566965103,494,Laurent Koscielny
0,0,0,90,DC,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476430,0.03130999580025673,1,1,0,0,0.05417633056640625,0.02286633290350437,494,Laurent Koscielny
0,0,0,90,DC,Bordeaux,Clermont Foot,0,2,2021-08-08,17828,2021,474870,0,0,0,0,0,0.009837714955210686,0.009837714955210686,494,Laurent Koscielny
0,0,0,90,DC,Reims,Bordeaux,1,2,2021-05-23,16132,2020,473978,0,0,0,0,0,0.2516973316669464,0.2516973316669464,494,Laurent Koscielny
