goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,42,Sub,West Ham,Fulham,3,1,2019-02-22,9457,2018,304738,0.013624735176563263,0,1,0,0,0.013624735176563263,0,4406,Lazar Markovic
0,2,0.08920203149318695,66,MR,Hull,Sunderland,0,2,2017-05-06,3494,2016,134902,0.074922114610672,0,1,0,0.08920203149318695,0.2126728743314743,0.06218922883272171,4406,Lazar Markovic
0,0,0,90,AMR,Southampton,Hull,0,0,2017-04-29,3484,2016,134477,0,0,0,0,0,0.05312640592455864,0.05312640592455864,4406,Lazar Markovic
1,3,1.2056540250778198,84,AMR,Hull,Watford,2,0,2017-04-22,3474,2016,134189,0,0,0,1,1.2056540250778198,1.1878597736358643,0,4406,Lazar Markovic
0,2,0.09792008250951767,88,MR,Stoke,Hull,3,1,2017-04-15,3463,2016,134833,0.057420406490564346,0,2,0,0.09792008250951767,0.8130531907081604,0.7151330709457397,4406,Lazar Markovic
0,0,0,90,MR,Manchester City,Hull,3,1,2017-04-08,3457,2016,133375,0,0,0,0,0,0.015765169635415077,0.015765169635415077,4406,Lazar Markovic
1,1,0.6286343336105347,90,MR,Hull,Middlesbrough,4,2,2017-04-05,3442,2016,133523,0.07616060972213745,0,1,1,0.6286343336105347,0.7047949433326721,0,4406,Lazar Markovic
0,0,0,90,AMC,Hull,West Ham,2,1,2017-04-01,3433,2016,132599,0.04315664991736412,0,1,0,0,0.1269599348306656,0.1269599348306656,4406,Lazar Markovic
0,1,0.05825299024581909,87,MR,Everton,Hull,4,0,2017-03-18,3427,2016,133292,0.0698377937078476,0,1,0,0.05825299024581909,0.1280907839536667,0,4406,Lazar Markovic
0,0,0,80,MR,Hull,Swansea,2,1,2017-03-11,3417,2016,132652,0.03269583359360695,0,1,0,0,0.12225676327943802,0.08956092596054077,4406,Lazar Markovic
0,0,0,79,MR,Leicester,Hull,3,1,2017-03-04,3400,2016,132171,0,0,0,0,0,0,0,4406,Lazar Markovic
0,1,0.046902574598789215,90,MR,Arsenal,Hull,2,0,2017-02-11,3380,2016,130399,0.09177202731370926,0,1,0,0.046902574598789215,0.13867460191249847,0,4406,Lazar Markovic
0,2,0.09410317242145538,90,MR,Manchester United,Hull,0,0,2017-02-01,3368,2016,132333,0,0,0,0,0.09410317242145538,0.09410317242145538,0,4406,Lazar Markovic
0,0,0,5,Sub,Liverpool,Queens Park Rangers,2,1,2015-05-02,4400,2014,24340,0,0,0,0,0,0.011690916493535042,0.011690916493535042,4406,Lazar Markovic
0,0,0,12,Sub,Hull,Liverpool,1,0,2015-04-28,4478,2014,23666,0,0,0,0,0,0.07411986589431763,0.07411986589431763,4406,Lazar Markovic
0,0,0,47,AMC,Arsenal,Liverpool,4,1,2015-04-04,4440,2014,23775,0.10441500693559647,0,3,0,0,0.12257998436689377,0.018164977431297302,4406,Lazar Markovic
0,0,0,77,MR,Liverpool,Manchester City,2,1,2015-03-01,4480,2014,26360,0.11819734424352646,0,1,0,0,0.2111915647983551,0.2111915647983551,4406,Lazar Markovic
0,0,0,47,ML,Southampton,Liverpool,0,2,2015-02-22,4544,2014,27307,0.01473307702690363,1,1,0,0,0.01473307702690363,0,4406,Lazar Markovic
1,2,0.1737717092037201,81,AMC,Liverpool,Tottenham,3,2,2015-02-10,4528,2014,26063,0.10995329916477203,0,1,1,0.1737717092037201,0.43201810121536255,0.14829309284687042,4406,Lazar Markovic
0,3,0.5777542591094971,69,MR,Liverpool,West Ham,2,0,2015-01-31,4582,2014,26387,0.025793705135583878,0,1,0,0.5777542591094971,0.6529990434646606,0.0494510643184185,4406,Lazar Markovic
0,0,0,90,MR,Aston Villa,Liverpool,0,2,2015-01-17,4571,2014,21281,0.06465493142604828,0,1,0,0,1.037438154220581,0.9727832078933716,4406,Lazar Markovic
1,3,0.6436033844947815,90,MR,Sunderland,Liverpool,0,1,2015-01-10,4561,2014,20954,0.026228278875350952,0,1,1,0.6436033844947815,0.7944079637527466,0.14865770936012268,4406,Lazar Markovic
0,1,0.05154266208410263,15,Sub,Liverpool,Leicester,2,2,2015-01-01,4559,2014,22445,0,0,0,0,0.05154266208410263,0.05154266208410263,0,4406,Lazar Markovic
0,0,0,12,Sub,Liverpool,Swansea,4,1,2014-12-29,4648,2014,21359,0.1508263200521469,0,2,0,0,0.1508263200521469,0,4406,Lazar Markovic
0,1,0.02999093569815159,90,ML,Burnley,Liverpool,0,1,2014-12-26,4630,2014,22702,0,0,0,0,0.02999093569815159,0.16693736612796783,0.1369464248418808,4406,Lazar Markovic
0,2,0.17983122169971466,75,ML,Liverpool,Arsenal,2,2,2014-12-21,4627,2014,21730,0.1769476681947708,0,4,0,0.17983122169971466,0.4191102385520935,0.11684349179267883,4406,Lazar Markovic
0,0,0,20,Sub,Manchester United,Liverpool,3,0,2014-12-14,4616,2014,21100,0.34169912338256836,0,1,0,0,0.34169912338256836,0,4406,Lazar Markovic
0,1,0.10148216038942337,11,Sub,Liverpool,Sunderland,0,0,2014-12-06,4604,2014,22856,0.09166714549064636,0,1,0,0.10148216038942337,0.19314931333065033,0,4406,Lazar Markovic
0,1,0.02519352361559868,62,AMR,Liverpool,Everton,1,1,2014-09-27,4739,2014,18525,0,0,0,0,0.02519352361559868,0.045701853930950165,0.045701853930950165,4406,Lazar Markovic
0,2,0.09720925241708755,72,AMR,Liverpool,Aston Villa,0,1,2014-09-13,4726,2014,17972,0.030438685789704323,0,1,0,0.09720925241708755,0.20926272869110107,0.11205346882343292,4406,Lazar Markovic
0,0,0,28,Sub,Tottenham,Liverpool,0,3,2014-08-31,4777,2014,17826,0.08370969444513321,0,1,0,0,0.16006505489349365,0.07635536044836044,4406,Lazar Markovic
0,0,0,29,Sub,Manchester City,Liverpool,3,1,2014-08-25,4768,2014,17465,0.12268123030662537,0,1,0,0,0.20831851661205292,0.08563729375600815,4406,Lazar Markovic
