goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DC,Brighton,Arsenal,1,1,2018-12-26,9386,2018,279223,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Bournemouth,Brighton,2,0,2018-12-22,9375,2018,278933,0,0,0,0,0,0.4209747314453125,0.4209747314453125,394,Leon Balogun
0,0,0,90,DC,Brighton,Chelsea,1,2,2018-12-16,9366,2018,278672,0,0,0,0,0,0.03758464753627777,0.03758464753627777,394,Leon Balogun
0,0,0,90,DC,Burnley,Brighton,1,0,2018-12-08,9354,2018,278295,0,0,0,0,0,0.27285805344581604,0.27285805344581604,394,Leon Balogun
1,1,0.08249640464782715,60,Sub,Brighton,Crystal Palace,3,1,2018-12-04,9337,2018,277930,0,0,0,1,0.08249640464782715,0,0,394,Leon Balogun
0,0,0,8,Sub,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277777,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Liverpool,Brighton,1,0,2018-08-25,9223,2018,259341,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,71,Sub,Brighton,Manchester United,3,2,2018-08-19,9215,2018,258946,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Freiburg,2,0,2018-04-16,8526,2017,233153,0.01208172645419836,0,1,0,0,0.11342958360910416,0.11342958360910416,394,Leon Balogun
0,0,0,90,DC,FC Cologne,Mainz 05,1,1,2018-04-07,8513,2017,230999,0,0,0,0,0,0.03582846000790596,0.03582846000790596,394,Leon Balogun
0,0,0,90,DC,Eintracht Frankfurt,Mainz 05,3,0,2018-03-17,8495,2017,223861,0,0,0,0,0,0.11402982473373413,0.11402982473373413,394,Leon Balogun
0,0,0,61,DC,Hamburger SV,Mainz 05,0,0,2018-03-03,8482,2017,220873,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Wolfsburg,1,1,2018-02-23,8473,2017,218851,0,0,0,0,0,0.10835191607475281,0.10835191607475281,394,Leon Balogun
0,0,0,90,DC,Hertha Berlin,Mainz 05,0,2,2018-02-16,8458,2017,217749,0,0,0,0,0,0.05704322084784508,0.05704322084784508,394,Leon Balogun
0,0,0,90,DC,Hoffenheim,Mainz 05,4,2,2018-02-10,8454,2017,216383,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,46,DC,Werder Bremen,Mainz 05,2,2,2017-12-16,8409,2017,203767,0,0,0,0,0,0.05020670220255852,0.05020670220255852,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Borussia Dortmund,0,2,2017-12-12,8401,2017,204116,0,0,0,0,0,0.05304389446973801,0.05304389446973801,394,Leon Balogun
0,0,0,90,DC,RasenBallsport Leipzig,Mainz 05,2,2,2017-12-09,8386,2017,199582,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,79,DC,Schalke 04,Mainz 05,2,0,2017-10-20,8335,2017,186932,0,0,0,0,0,0.010714652016758919,0.010714652016758919,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Hoffenheim,2,3,2017-09-20,8303,2017,185860,0,0,0,0,0,0,0,394,Leon Balogun
0,1,0.006593723781406879,90,DC,Bayern Munich,Mainz 05,4,0,2017-09-16,8289,2017,185094,0,0,0,0,0.006593723781406879,0.0650220587849617,0.0584283322095871,394,Leon Balogun
0,1,0.03327220305800438,90,DC,Mainz 05,Bayer Leverkusen,3,1,2017-09-09,8278,2017,185025,0,0,0,0,0.03327220305800438,0.4501049816608429,0.4501049816608429,394,Leon Balogun
0,0,0,17,DR,FC Cologne,Mainz 05,2,0,2017-05-20,3878,2016,142376,0,0,0,0,0,0,0,394,Leon Balogun
0,1,0.08333656191825867,90,DC,Mainz 05,Eintracht Frankfurt,4,2,2017-05-13,3868,2016,148284,0,0,0,0,0.08333656191825867,0.1550161987543106,0.1550161987543106,394,Leon Balogun
0,0,0,90,DC,Hamburger SV,Mainz 05,0,0,2017-05-07,3864,2016,150413,0,0,0,0,0,0.13870853185653687,0.13870853185653687,394,Leon Balogun
0,0,0,37,Sub,Bayern Munich,Mainz 05,2,2,2017-04-22,3839,2016,148586,0,0,0,0,0,0,0,394,Leon Balogun
0,1,0.06443246454000473,8,Sub,Mainz 05,Hertha Berlin,1,0,2017-04-15,3835,2016,147931,0,0,0,0,0.06443246454000473,0,0,394,Leon Balogun
0,0,0,48,DR,Ingolstadt,Mainz 05,2,1,2017-04-02,3810,2016,148518,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Bayern Munich,1,3,2016-12-02,3192,2016,145260,0,0,0,0,0,0.23610055446624756,0.23610055446624756,394,Leon Balogun
0,0,0,90,DC,Hertha Berlin,Mainz 05,2,1,2016-11-27,2832,2016,145965,0,0,0,0,0,0.06537512689828873,0.06537512689828873,394,Leon Balogun
0,0,0,1,Sub,Mainz 05,Freiburg,4,2,2016-11-19,2817,2016,144688,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,RasenBallsport Leipzig,Mainz 05,3,1,2016-11-06,2813,2016,144470,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,1,Sub,Mainz 05,Ingolstadt,2,0,2016-10-29,3300,2016,144603,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Schalke 04,Mainz 05,3,0,2016-10-23,1398,2016,144026,0,0,0,0,0,0.28713488578796387,0.28713488578796387,394,Leon Balogun
0,0,0,8,DC,Mainz 05,Bayer Leverkusen,2,3,2016-09-24,1365,2016,143256,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Werder Bremen,Mainz 05,1,2,2016-09-21,1359,2016,143104,0.05609169602394104,0,2,0,0,0.15296657383441925,0.11751292645931244,394,Leon Balogun
0,0,0,90,DC,Augsburg,Mainz 05,1,3,2016-09-18,1352,2016,142880,0,0,0,0,0,0.1283344328403473,0.1283344328403473,394,Leon Balogun
0,1,0.02908819541335106,90,DC,Mainz 05,Hoffenheim,4,4,2016-09-11,1344,2016,142336,0,0,0,0,0.02908819541335106,0.03404209017753601,0.03404209017753601,394,Leon Balogun
0,0,0,90,DC,Borussia Dortmund,Mainz 05,2,1,2016-08-27,1332,2016,142127,0,0,0,0,0,0,0,394,Leon Balogun
0,0,0,90,DC,Eintracht Frankfurt,Mainz 05,2,1,2016-04-24,1299,2015,92372,0,0,0,0,0,0.0392116978764534,0.0392116978764534,394,Leon Balogun
1,1,0.0568276010453701,90,DC,Mainz 05,FC Cologne,2,3,2016-04-17,1290,2015,92162,0.052806828171014786,0,1,1,0.0568276010453701,0.17179201543331146,0.17179201543331146,394,Leon Balogun
0,1,0.023666387423872948,90,DC,Wolfsburg,Mainz 05,1,1,2016-04-09,1279,2015,91759,0.12163916975259781,0,1,0,0.023666387423872948,0.20545314252376556,0.20545314252376556,394,Leon Balogun
0,1,0.006857346277683973,90,DC,Borussia Dortmund,Mainz 05,2,0,2016-03-13,1254,2015,91013,0,0,0,0,0.006857346277683973,0,0,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Darmstadt,0,0,2016-03-06,1244,2015,90944,0,0,0,0,0,0.0816747322678566,0.0816747322678566,394,Leon Balogun
0,0,0,90,DC,Bayern Munich,Mainz 05,1,2,2016-03-02,1233,2015,90491,0,0,0,0,0,0.5854864716529846,0.5854864716529846,394,Leon Balogun
0,1,0.06209862232208252,90,DC,Mainz 05,Bayer Leverkusen,3,1,2016-02-28,1226,2015,90449,0,0,0,0,0.06209862232208252,0,0,394,Leon Balogun
0,1,0.022179104387760162,90,DC,Hoffenheim,Mainz 05,3,2,2016-02-20,1213,2015,90188,0,0,0,0,0.022179104387760162,0.30772125720977783,0.30772125720977783,394,Leon Balogun
0,0,0,90,DC,Mainz 05,Schalke 04,2,1,2016-02-12,1201,2015,89925,0,0,0,0,0,0.36476027965545654,0.36476027965545654,394,Leon Balogun
0,3,0.19556653499603271,90,DC,Hannover 96,Mainz 05,0,1,2016-02-06,1195,2015,89636,0,0,0,0,0.19556653499603271,0.1235954686999321,0.1235954686999321,394,Leon Balogun
0,1,0.04802483692765236,90,DC,Mainz 05,Borussia M.Gladbach,1,0,2016-01-29,1183,2015,89429,0.03681441396474838,0,1,0,0.04802483692765236,0.030452346429228783,0.030452346429228783,394,Leon Balogun
0,0,0,90,DC,Ingolstadt,Mainz 05,1,0,2016-01-23,1179,2015,89221,0,0,0,0,0,0,0,394,Leon Balogun
0,1,0.03389750048518181,90,DC,Mainz 05,Wolfsburg,2,0,2015-11-07,1122,2015,87687,0,0,0,0,0.03389750048518181,0.2520870268344879,0.2520870268344879,394,Leon Balogun
0,0,0,62,DR,Augsburg,Mainz 05,3,3,2015-10-31,1114,2015,87368,0,0,0,0,0,0.12294421344995499,0.12294421344995499,394,Leon Balogun
0,1,0.012910844758152962,90,DR,Mainz 05,Werder Bremen,1,3,2015-10-24,1103,2015,87159,0.05706869065761566,0,2,0,0.012910844758152962,0.7805758118629456,0.7235071063041687,394,Leon Balogun
0,0,0,6,Sub,Darmstadt,Mainz 05,2,3,2015-10-02,1084,2015,86741,0,0,0,0,0,0.09613585472106934,0.09613585472106934,394,Leon Balogun
0,0,0,9,Sub,Mainz 05,Bayern Munich,0,3,2015-09-26,1076,2015,86477,0,0,0,0,0,0,0,394,Leon Balogun
0,1,0.09663152694702148,90,DR,Schalke 04,Mainz 05,2,1,2015-09-13,1056,2015,85532,0,0,0,0,0.09663152694702148,0.21129044890403748,0.21129044890403748,394,Leon Balogun
0,0,0,73,DR,Mainz 05,Hannover 96,3,0,2015-08-29,1043,2015,85434,0,0,0,0,0,0.8905439972877502,0.8905439972877502,394,Leon Balogun
0,0,0,7,Sub,Borussia M.Gladbach,Mainz 05,1,2,2015-08-23,1038,2015,85041,0.37419402599334717,0,1,0,0,0.6694208383560181,0.2952268123626709,394,Leon Balogun
