goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363804,0,0,0,0,0,0,0,550,Marcos Rojo
0,0,0,90,DC,Manchester United,Liverpool,1,1,2019-10-20,11729,2019,358670,0,0,0,0,0,0.01747880131006241,0.01747880131006241,550,Marcos Rojo
0,1,0.13206884264945984,28,Sub,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357164,0,0,0,0,0.13206884264945984,0.014940571039915085,0.014940571039915085,550,Marcos Rojo
0,1,0.08099976181983948,17,Sub,Manchester United,Chelsea,1,1,2019-04-28,9550,2018,329168,0,0,0,0,0.08099976181983948,0,0,550,Marcos Rojo
0,2,0.027476295828819275,76,DL,Manchester United,West Ham,2,1,2019-04-13,9530,2018,324399,0,0,0,0,0.027476295828819275,0.06272728741168976,0.04553598165512085,550,Marcos Rojo
0,0,0,10,Sub,Manchester United,Watford,2,1,2019-03-30,9509,2018,317842,0,0,0,0,0,0.058917075395584106,0.058917075395584106,550,Marcos Rojo
0,0,0,30,Sub,Manchester United,Fulham,4,1,2018-12-08,9349,2018,278235,0,0,0,0,0,0.14222773909568787,0.14222773909568787,550,Marcos Rojo
0,3,0.12689612805843353,75,DC,Manchester United,Arsenal,2,2,2018-12-05,9344,2018,278113,0,0,0,0,0.12689612805843353,0.47762933373451233,0.46169039607048035,550,Marcos Rojo
0,1,0.020712511613965034,90,DC,Manchester United,Watford,1,0,2018-05-13,7496,2017,240260,0,0,0,0,0.020712511613965034,0.3445826470851898,0.3445826470851898,550,Marcos Rojo
0,0,0,77,DC,Brighton,Manchester United,1,0,2018-05-04,7484,2017,237027,0,0,0,0,0,0.030337605625391006,0.030337605625391006,550,Marcos Rojo
0,0,0,90,DC,Manchester United,Huddersfield,2,0,2018-02-03,7376,2017,214968,0,0,0,0,0,0.26142585277557373,0.26142585277557373,550,Marcos Rojo
0,3,0.03731435164809227,90,DC,Everton,Manchester United,0,2,2018-01-01,7333,2017,206506,0.01818746328353882,0,1,0,0.03731435164809227,0.12380334734916687,0.08384986221790314,550,Marcos Rojo
0,1,0.01316207554191351,49,DC,Manchester United,Burnley,2,2,2017-12-26,7314,2017,205665,0,0,0,0,0.01316207554191351,0.11099925637245178,0.0978371798992157,550,Marcos Rojo
0,0,0,23,Sub,West Bromwich Albion,Manchester United,1,2,2017-12-17,7295,2017,202802,0.05473501235246658,0,1,0,0,0.05473501235246658,0.05473501235246658,550,Marcos Rojo
0,0,0,50,DC,Manchester United,Manchester City,1,2,2017-12-10,7276,2017,198876,0,0,0,0,0,0,0,550,Marcos Rojo
0,0,0,90,DC,Arsenal,Manchester United,1,3,2017-12-02,7266,2017,179463,0,0,0,0,0,1.3418899774551392,1.3418899774551392,550,Marcos Rojo
0,0,0,90,DC,Watford,Manchester United,2,4,2017-11-28,7251,2017,178972,0,0,0,0,0,0,0,550,Marcos Rojo
0,0,0,90,DC,Manchester United,Chelsea,2,0,2017-04-16,3460,2016,134649,0,0,0,0,0,0,0,550,Marcos Rojo
0,0,0,90,DC,Sunderland,Manchester United,0,3,2017-04-09,3452,2016,133700,0,0,0,0,0,0.13143831491470337,0.13143831491470337,550,Marcos Rojo
0,1,0.10532188415527344,90,DC,Manchester United,Everton,1,1,2017-04-04,3446,2016,132621,0,0,0,0,0.10532188415527344,0.12784314155578613,0.022521262988448143,550,Marcos Rojo
0,0,0,90,DC,Manchester United,West Bromwich Albion,0,0,2017-04-01,3436,2016,132868,0,0,0,0,0,0.08320243656635284,0.08320243656635284,550,Marcos Rojo
0,0,0,20,Sub,Middlesbrough,Manchester United,1,3,2017-03-19,3425,2016,133515,0,0,0,0,0,0,0,550,Marcos Rojo
1,3,0.5571672320365906,90,DC,Manchester United,Bournemouth,1,1,2017-03-04,3402,2016,132894,0,0,0,1,0.5571672320365906,0.12555383145809174,0.10875444114208221,550,Marcos Rojo
0,1,0.028876354917883873,48,DL,Leicester,Manchester United,0,3,2017-02-05,3379,2016,129742,0,0,0,0,0.028876354917883873,0.4022414982318878,0.3733651638031006,550,Marcos Rojo
0,2,0.06988599896430969,90,DC,Manchester United,Hull,0,0,2017-02-01,3368,2016,132315,0,0,0,0,0.06988599896430969,0.5500207543373108,0.506041407585144,550,Marcos Rojo
0,0,0,90,DC,Manchester United,Liverpool,1,1,2017-01-15,3349,2016,130630,0,0,0,0,0,0.07093485444784164,0.07093485444784164,550,Marcos Rojo
0,0,0,90,DC,West Ham,Manchester United,0,2,2017-01-02,3335,2016,130095,0.04583609104156494,0,1,0,0,0.8186207413673401,0.7727846503257751,550,Marcos Rojo
0,0,0,24,Sub,Manchester United,Middlesbrough,2,1,2016-12-31,3159,2016,130666,0,0,0,0,0,0.07840562611818314,0.07840562611818314,550,Marcos Rojo
0,1,0.01566598378121853,90,DC,Manchester United,Sunderland,3,1,2016-12-26,3147,2016,129561,0,0,0,0,0.01566598378121853,0.2721906900405884,0.2721906900405884,550,Marcos Rojo
0,0,0,90,DC,West Bromwich Albion,Manchester United,0,2,2016-12-17,3140,2016,128881,0,0,0,0,0,0.23302631080150604,0.23302631080150604,550,Marcos Rojo
0,1,0.0406544953584671,90,DC,Crystal Palace,Manchester United,1,2,2016-12-15,3130,2016,131029,0,0,0,0,0.0406544953584671,0.14801044762134552,0.14801044762134552,550,Marcos Rojo
0,0,0,90,DC,Manchester United,Tottenham,1,0,2016-12-11,3122,2016,130137,0,0,0,0,0,0,0,550,Marcos Rojo
0,0,0,90,DC,Everton,Manchester United,1,1,2016-12-04,3113,2016,128498,0,0,0,0,0,0.017541753128170967,0.017541753128170967,550,Marcos Rojo
0,0,0,90,DC,Manchester United,West Ham,1,1,2016-11-27,2716,2016,128125,0,0,0,0,0,0.5077173709869385,0.5077173709869385,550,Marcos Rojo
0,1,0.07743111997842789,90,DC,Manchester United,Arsenal,1,1,2016-11-19,2697,2016,128372,0.021615197882056236,0,1,0,0.07743111997842789,0.021615197882056236,0,550,Marcos Rojo
0,0,0,90,DC,Swansea,Manchester United,1,3,2016-11-06,2695,2016,128167,0,0,0,0,0,0.6775717735290527,0.6775717735290527,550,Marcos Rojo
0,2,0.023815220221877098,90,DC,Manchester United,Burnley,0,0,2016-10-29,2682,2016,127626,0.08015868812799454,0,2,0,0.023815220221877098,0.32409757375717163,0.30028235912323,550,Marcos Rojo
0,2,0.10848649591207504,36,Sub,Chelsea,Manchester United,4,0,2016-10-23,550,2016,127152,0.12632322311401367,0,1,0,0.10848649591207504,0.19059644639492035,0.05201326310634613,550,Marcos Rojo
0,0,0,90,DL,West Ham,Manchester United,3,2,2016-05-10,447,2015,62740,0.01771141216158867,0,1,0,0,0.01771141216158867,0.01771141216158867,550,Marcos Rojo
0,1,0.030589519068598747,90,DC,Norwich,Manchester United,0,1,2016-05-07,437,2015,62654,0,0,0,0,0.030589519068598747,0,0,550,Marcos Rojo
0,1,0.01872272975742817,90,DL,Manchester United,Leicester,1,1,2016-05-01,434,2015,63137,0,0,0,0,0.01872272975742817,0.32637473940849304,0.30765199661254883,550,Marcos Rojo
