goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.07640215754508972,90,FW,Bologna,Sassuolo,1,3,2022-05-15,17116,2021,535946,0.4404570162296295,0,2,0,0.07640215754508972,0.8660333752632141,0.34917423129081726,865,Marko Arnautovic
1,5,0.8347015380859375,90,FW,Venezia,Bologna,4,3,2022-05-08,17115,2021,533537,0,0,0,1,0.8347015380859375,0.29557618498802185,0.03830983489751816,865,Marko Arnautovic
0,6,0.8721271753311157,90,FW,Roma,Bologna,0,0,2022-05-01,17102,2021,531464,0,0,0,0,0.8721271753311157,1.1416218280792236,0.2694946229457855,865,Marko Arnautovic
1,2,0.34416598081588745,90,FW,Bologna,Inter,2,1,2022-04-27,16947,2021,529933,0.0863579586148262,0,2,1,0.34416598081588745,0.43052393198013306,0,865,Marko Arnautovic
1,3,0.8102986216545105,65,FW,Juventus,Bologna,1,1,2022-04-16,17079,2021,526596,0.0736583024263382,0,2,1,0.8102986216545105,0.8887179493904114,0.7025434374809265,865,Marko Arnautovic
2,6,1.704776644706726,90,FW,Bologna,Sampdoria,2,0,2022-04-11,17066,2021,525825,0.4886264204978943,0,5,2,1.704776644706726,2.2971091270446777,0.5118793249130249,865,Marko Arnautovic
0,1,0.02494441159069538,90,FW,AC Milan,Bologna,0,0,2022-04-04,17061,2021,523937,0.05942057818174362,0,3,0,0.02494441159069538,0.6287779808044434,0.5444130301475525,865,Marko Arnautovic
0,3,0.4031224846839905,90,FW,Bologna,Atalanta,0,1,2022-03-20,17046,2021,522244,0.6273457407951355,0,2,0,0.4031224846839905,1.030468225479126,0.5893808603286743,865,Marko Arnautovic
0,2,0.08938197046518326,90,FW,Fiorentina,Bologna,1,0,2022-03-13,17037,2021,519765,0,0,0,0,0.08938197046518326,0.02462807670235634,0,865,Marko Arnautovic
1,5,0.5588852763175964,90,FW,Salernitana,Bologna,1,1,2022-02-26,17022,2021,515833,0.018448270857334137,0,1,1,0.5588852763175964,0.5553145408630371,0.018448270857334137,865,Marko Arnautovic
2,5,1.0335509777069092,90,FW,Bologna,Spezia,2,1,2022-02-21,17006,2021,515294,0.12489066272974014,0,3,2,1.0335509777069092,1.2646766901016235,0.14011065661907196,865,Marko Arnautovic
0,3,0.7257015109062195,90,FW,Lazio,Bologna,3,0,2022-02-12,17000,2021,512484,0,0,0,0,0.7257015109062195,0.6707059144973755,0.07877109944820404,865,Marko Arnautovic
0,2,0.058603666722774506,90,FW,Bologna,Empoli,0,0,2022-02-06,16987,2021,511524,0.15911178290843964,0,4,0,0.058603666722774506,0.3116770386695862,0.09396159648895264,865,Marko Arnautovic
0,0,0,11,Sub,Verona,Bologna,2,1,2022-01-21,16979,2021,509362,0,0,0,0,0,0,0,865,Marko Arnautovic
0,2,0.3719606399536133,53,FW,Bologna,Napoli,0,2,2022-01-17,16967,2021,508797,0,0,0,0,0.3719606399536133,0.3076431453227997,0,865,Marko Arnautovic
0,2,0.19142407178878784,90,FW,Cagliari,Bologna,2,1,2022-01-11,16956,2021,507725,0.08169390261173248,0,1,0,0.19142407178878784,0.18900184333324432,0,865,Marko Arnautovic
0,0,0,72,FW,Sassuolo,Bologna,0,3,2021-12-22,16943,2021,504561,0.025283580645918846,0,1,0,0,0.07838389277458191,0.07838389277458191,865,Marko Arnautovic
0,1,0.06678581982851028,90,FW,Bologna,Juventus,0,2,2021-12-18,16927,2021,503759,0,0,0,0,0.06678581982851028,0.11044328659772873,0.043657466769218445,865,Marko Arnautovic
0,0,0,76,FW,Torino,Bologna,2,1,2021-12-12,16923,2021,502086,0.027084019035100937,0,1,0,0,0.039286863058805466,0.01220284216105938,865,Marko Arnautovic
0,0,0,16,FW,Bologna,Roma,1,0,2021-12-01,16897,2021,498767,0.015323028899729252,0,1,0,0,0.015323028899729252,0,865,Marko Arnautovic
1,5,1.2732130289077759,90,FW,Spezia,Bologna,0,1,2021-11-28,16893,2021,497920,0.08632767200469971,0,1,0,0.5119141340255737,0.5815984010696411,0.12802819907665253,865,Marko Arnautovic
0,3,0.07194232195615768,90,FW,Bologna,Venezia,0,1,2021-11-21,16877,2021,496334,0,0,0,0,0.07194232195615768,0.2251046746969223,0.1967560350894928,865,Marko Arnautovic
1,2,0.8637797236442566,90,FW,Sampdoria,Bologna,1,2,2021-11-07,16872,2021,494551,0.44763419032096863,0,3,1,0.8637797236442566,1.3114138841629028,0.4675145745277405,865,Marko Arnautovic
1,3,1.2709684371948242,90,FW,Bologna,Cagliari,2,0,2021-11-01,16857,2021,493431,0,0,0,1,1.2709684371948242,1.325885534286499,0.05491698533296585,865,Marko Arnautovic
0,3,0.12849439680576324,85,FW,Bologna,AC Milan,2,4,2021-10-23,16837,2021,490243,0,0,0,0,0.12849439680576324,0.47732603549957275,0.44361352920532227,865,Marko Arnautovic
0,3,0.15774336457252502,90,FW,Udinese,Bologna,1,1,2021-10-17,16834,2021,488812,0.2252637892961502,0,4,0,0.15774336457252502,0.5227890014648438,0.2209119200706482,865,Marko Arnautovic
0,2,0.10948649793863297,86,FW,Bologna,Lazio,3,0,2021-10-03,16817,2021,486883,0.037014439702034,0,1,0,0.10948649793863297,0.22589440643787384,0.07939346879720688,865,Marko Arnautovic
1,7,1.6866886615753174,90,FW,Empoli,Bologna,4,2,2021-09-26,16806,2021,485295,0.09042687714099884,0,2,1,0.9253898859024048,0.9519593119621277,0.09842778742313385,865,Marko Arnautovic
1,6,1.1765493154525757,90,FW,Bologna,Genoa,2,2,2021-09-21,16797,2021,483379,0.08170073479413986,0,1,0,0.4152504503726959,0.2727631628513336,0,865,Marko Arnautovic
0,0,0,90,FW,Inter,Bologna,6,1,2021-09-18,16789,2021,482257,0,0,0,0,0,0.3889099657535553,0.3889099657535553,865,Marko Arnautovic
0,1,0.4587180018424988,90,FW,Bologna,Verona,1,0,2021-09-13,16777,2021,481552,0.36188945174217224,1,2,0,0.4587180018424988,0.3952215313911438,0.08777768909931183,865,Marko Arnautovic
0,1,0.024274414405226707,90,FW,Atalanta,Bologna,0,0,2021-08-28,16769,2021,479139,0,0,0,0,0.024274414405226707,0.10637323558330536,0.0820988193154335,865,Marko Arnautovic
1,5,0.35586509108543396,88,FW,Bologna,Salernitana,3,2,2021-08-22,16760,2021,477896,0.0628586858510971,0,1,1,0.35586509108543396,0.39960378408432007,0.04373868554830551,865,Marko Arnautovic
1,4,1.098130464553833,90,FW,Watford,West Ham,1,4,2019-05-12,9567,2018,332198,0.033023521304130554,0,1,1,1.098130464553833,1.2627899646759033,0.1646595150232315,865,Marko Arnautovic
2,6,1.5338752269744873,90,FW,West Ham,Southampton,3,0,2019-05-04,9558,2018,330241,0.04318833723664284,0,1,2,1.5338752269744873,1.5010019540786743,0.02055703103542328,865,Marko Arnautovic
0,3,0.08868096023797989,80,FW,Tottenham,West Ham,0,1,2019-04-27,9548,2018,328099,0.18387332558631897,1,2,0,0.08868096023797989,0.24886006116867065,0,865,Marko Arnautovic
0,1,0.021787885576486588,79,FW,West Ham,Leicester,2,2,2019-04-20,9538,2018,326014,0.21812184154987335,0,3,0,0.021787885576486588,0.28617992997169495,0.04627019912004471,865,Marko Arnautovic
0,1,0.10810372978448868,90,AMR,Chelsea,West Ham,2,0,2019-04-08,9525,2018,323676,0.11674195528030396,0,1,0,0.10810372978448868,0.18013057112693787,0.06338861584663391,865,Marko Arnautovic
0,1,0.05410159006714821,68,FW,West Ham,Everton,0,2,2019-03-30,9508,2018,318086,0,0,0,0,0.05410159006714821,0.05410159006714821,0,865,Marko Arnautovic
0,1,0.09577125310897827,69,FW,West Ham,Huddersfield,4,3,2019-03-16,9498,2018,316376,0.07266005128622055,0,1,0,0.09577125310897827,0.09577125310897827,0,865,Marko Arnautovic
0,1,0.06267383694648743,40,Sub,Cardiff,West Ham,2,0,2019-03-09,9495,2018,314592,0.023059111088514328,0,1,0,0.06267383694648743,0.08573294430971146,0.08573294430971146,865,Marko Arnautovic
0,0,0,15,Sub,West Ham,Newcastle United,2,0,2019-03-02,9478,2018,305386,0.04649241641163826,0,1,0,0,0.04649241641163826,0,865,Marko Arnautovic
0,2,0.4332764744758606,24,Sub,West Ham,Fulham,3,1,2019-02-22,9457,2018,304724,0.14907310903072357,1,2,0,0.4332764744758606,0.46839261054992676,0,865,Marko Arnautovic
0,0,0,21,Sub,Crystal Palace,West Ham,1,1,2019-02-09,9448,2018,304489,0,0,0,0,0,0,0,865,Marko Arnautovic
0,0,0,80,FW,Wolverhampton Wanderers,West Ham,3,0,2019-01-29,9427,2018,303967,0,0,0,0,0,0,0,865,Marko Arnautovic
0,1,0.06238020211458206,72,FW,West Ham,Arsenal,1,0,2019-01-12,9407,2018,303327,0.04314122721552849,0,1,0,0.06238020211458206,0.17441688477993011,0.13127565383911133,865,Marko Arnautovic
2,5,0.315069317817688,90,FW,West Ham,Brighton,2,2,2019-01-02,9398,2018,303135,0.02026202157139778,0,1,2,0.315069317817688,0.44180649518966675,0.10647515207529068,865,Marko Arnautovic
0,0,0,75,FW,Burnley,West Ham,2,0,2018-12-30,9395,2018,291637,0.044584427028894424,0,1,0,0,0.044584427028894424,0,865,Marko Arnautovic
0,2,0.38017818331718445,39,FW,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277954,0.05162166431546211,0,1,0,0.38017818331718445,0.43179982900619507,0,865,Marko Arnautovic
0,0,0,73,FW,Newcastle United,West Ham,0,3,2018-12-01,9328,2018,277690,1.2543630599975586,1,3,0,0,1.2543630599975586,0.4241611957550049,865,Marko Arnautovic
0,3,0.2060519903898239,90,FW,West Ham,Manchester City,0,4,2018-11-24,9317,2018,277376,0.09393233060836792,0,2,0,0.2060519903898239,0.15992708504199982,0,865,Marko Arnautovic
0,1,0.16050364077091217,90,FW,Huddersfield,West Ham,1,1,2018-11-10,9311,2018,277222,0.14592325687408447,0,2,0,0.16050364077091217,0.32506000995635986,0.01863311603665352,865,Marko Arnautovic
1,4,0.8588207960128784,90,FW,West Ham,Burnley,4,2,2018-11-03,9298,2018,276848,0.43911635875701904,0,2,1,0.8588207960128784,1.6010565757751465,0.30311933159828186,865,Marko Arnautovic
0,5,0.22507520020008087,90,FW,West Ham,Tottenham,0,1,2018-10-20,9279,2018,276323,0.050893642008304596,0,1,0,0.22507520020008087,0.24733789265155792,0.03466310724616051,865,Marko Arnautovic
0,5,0.341182142496109,90,FW,Brighton,West Ham,1,0,2018-10-05,9267,2018,276004,0.25255998969078064,0,3,0,0.341182142496109,0.4552833139896393,0.2055560201406479,865,Marko Arnautovic
1,2,0.5371358394622803,84,FW,West Ham,Manchester United,3,1,2018-09-29,9257,2018,260548,0.02791108936071396,0,1,1,0.5371358394622803,0.5536365509033203,0.01650070957839489,865,Marko Arnautovic
1,1,0.4695644974708557,66,FW,Everton,West Ham,1,3,2018-09-16,9245,2018,259848,0.5891695022583008,1,1,1,0.4695644974708557,1.0587339401245117,0.5891695022583008,865,Marko Arnautovic
0,2,0.374021053314209,90,FW,West Ham,Wolverhampton Wanderers,0,1,2018-09-01,9228,2018,259750,0,0,0,0,0.374021053314209,0.47681447863578796,0.47681447863578796,865,Marko Arnautovic
1,5,0.3404092490673065,62,FW,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259236,0.034997425973415375,0,1,1,0.3404092490673065,0.44959557056427,0.09521973878145218,865,Marko Arnautovic
1,4,0.9578936696052551,90,FW,West Ham,Bournemouth,1,2,2018-08-18,9208,2018,259194,0.0652451366186142,0,3,0,0.19679903984069824,0.26204416155815125,0.0652451366186142,865,Marko Arnautovic
0,2,0.21221712231636047,69,FW,Liverpool,West Ham,4,0,2018-08-12,9205,2018,258789,0,0,0,0,0.21221712231636047,0.21221712231636047,0,865,Marko Arnautovic
1,3,0.14717479050159454,90,FW,West Ham,Everton,3,1,2018-05-13,7489,2017,240128,0.7470967769622803,1,5,1,0.14717479050159454,0.47899770736694336,0.2208637148141861,865,Marko Arnautovic
0,3,0.4698914587497711,90,FW,West Ham,Manchester United,0,0,2018-05-10,7428,2017,238823,0.24265983700752258,0,3,0,0.4698914587497711,0.7251843214035034,0.2998185455799103,865,Marko Arnautovic
0,3,0.2808043956756592,80,FW,Leicester,West Ham,0,2,2018-05-05,7479,2017,237535,0.5930688977241516,1,1,0,0.2808043956756592,0.8234121799468994,0.14340627193450928,865,Marko Arnautovic
0,1,0.03190486878156662,90,FW,West Ham,Manchester City,1,4,2018-04-29,7478,2017,236500,0,0,0,0,0.03190486878156662,0,0,865,Marko Arnautovic
1,4,0.25379472970962524,90,FW,Arsenal,West Ham,4,1,2018-04-22,7459,2017,234814,0.06531699746847153,0,2,1,0.25379472970962524,0.17586427927017212,0,865,Marko Arnautovic
0,2,0.1944422870874405,90,FW,West Ham,Stoke,1,1,2018-04-16,7458,2017,233188,0,0,0,0,0.1944422870874405,0.1944422870874405,0,865,Marko Arnautovic
0,4,0.2194974422454834,90,FW,Chelsea,West Ham,1,1,2018-04-08,7442,2017,230342,0.0830567330121994,1,1,0,0.2194974422454834,0.302554190158844,0,865,Marko Arnautovic
2,6,1.2772297859191895,85,FW,West Ham,Southampton,3,0,2018-03-31,7434,2017,226843,0,0,0,2,1.2772297859191895,1.2772297859191895,0,865,Marko Arnautovic
0,2,0.20325307548046112,90,FW,West Ham,Burnley,0,3,2018-03-10,7418,2017,222331,0,0,0,0,0.20325307548046112,0.22423410415649414,0.1004185751080513,865,Marko Arnautovic
0,1,0.29742687940597534,90,FWR,Swansea,West Ham,4,1,2018-03-03,7406,2017,220989,0,0,0,0,0.29742687940597534,0.29742687940597534,0,865,Marko Arnautovic
0,3,0.11859606206417084,85,FW,Liverpool,West Ham,4,1,2018-02-24,7395,2017,219174,0,0,0,0,0.11859606206417084,0.11859606206417084,0.039908140897750854,865,Marko Arnautovic
1,2,0.9578316807746887,85,FWL,West Ham,Watford,2,0,2018-02-10,7388,2017,215307,0.32336747646331787,0,2,1,0.9578316807746887,0.32336747646331787,0,865,Marko Arnautovic
0,4,0.30400994420051575,90,FW,West Ham,Bournemouth,1,1,2018-01-20,7358,2017,209234,0.043700527399778366,0,1,0,0.30400994420051575,0.8646263480186462,0.5169159173965454,865,Marko Arnautovic
1,1,0.17770357429981232,85,FW,Huddersfield,West Ham,1,4,2018-01-13,7342,2017,207703,0.6585025191307068,2,4,1,0.17770357429981232,0.71396803855896,0.41361889243125916,865,Marko Arnautovic
0,2,0.30600517988204956,90,AMC,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206527,0.10439494997262955,1,2,0,0.30600517988204956,0.49934056401252747,0.36528560519218445,865,Marko Arnautovic
2,3,1.5080804824829102,90,FW,Bournemouth,West Ham,3,3,2017-12-26,7309,2017,205603,0.19631008803844452,0,3,2,1.5080804824829102,1.704390525817871,0,865,Marko Arnautovic
1,3,0.18454518914222717,90,FW,West Ham,Newcastle United,2,3,2017-12-23,7300,2017,205370,0.273357093334198,0,1,1,0.18454518914222717,0.45790228247642517,0,865,Marko Arnautovic
1,6,1.113211750984192,82,FW,Stoke,West Ham,0,3,2017-12-16,7297,2017,202719,0.36263954639434814,0,2,1,1.113211750984192,1.4980814456939697,0.36347028613090515,865,Marko Arnautovic
0,4,0.26561787724494934,90,FW,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202761,0,0,0,0,0.26561787724494934,0.26561787724494934,0,865,Marko Arnautovic
1,3,0.3111972510814667,71,AMC,West Ham,Chelsea,1,0,2017-12-09,7269,2017,199023,0,0,0,1,0.3111972510814667,0.3111972510814667,0,865,Marko Arnautovic
0,0,0,17,Sub,Manchester City,West Ham,2,1,2017-12-03,7262,2017,178624,0.08162626624107361,0,1,0,0,0.08162626624107361,0,865,Marko Arnautovic
0,1,0.06609094887971878,64,MR,Everton,West Ham,4,0,2017-11-29,7256,2017,179221,0,0,0,0,0.06609094887971878,0.06609094887971878,0,865,Marko Arnautovic
0,1,0.09643637388944626,70,AMR,West Ham,Leicester,1,1,2017-11-24,7247,2017,178580,0,0,0,0,0.09643637388944626,0.09643637388944626,0,865,Marko Arnautovic
0,4,0.7887999415397644,78,FWR,Watford,West Ham,2,0,2017-11-19,7230,2017,178952,0.09818543493747711,0,1,0,0.7887999415397644,0.9095777869224548,0.022592397406697273,865,Marko Arnautovic
0,0,0,27,Sub,West Ham,Liverpool,1,4,2017-11-04,7227,2017,179487,0.15175658464431763,0,1,0,0,0.15175658464431763,0,865,Marko Arnautovic
0,1,0.034882161766290665,76,AML,West Ham,Brighton,0,3,2017-10-20,7208,2017,177455,0.02517680451273918,0,1,0,0.034882161766290665,0.12296395003795624,0.06290498375892639,865,Marko Arnautovic
0,0,0,48,ML,Burnley,West Ham,1,1,2017-10-14,7190,2017,178348,0,0,0,0,0,0.040316637605428696,0.040316637605428696,865,Marko Arnautovic
0,0,0,68,FWL,West Ham,Tottenham,2,3,2017-09-23,7169,2017,177783,0,0,0,0,0,0,0,865,Marko Arnautovic
0,0,0,30,Sub,West Bromwich Albion,West Ham,0,0,2017-09-16,7165,2017,176728,0,0,0,0,0,0,0,865,Marko Arnautovic
0,2,0.1333700269460678,32,AML,Southampton,West Ham,3,2,2017-08-19,7130,2017,179829,0.05264809727668762,0,1,0,0.1333700269460678,0.1333700269460678,0,865,Marko Arnautovic
0,2,0.05968376249074936,90,AML,Manchester United,West Ham,4,0,2017-08-13,7128,2017,175951,0.3449343144893646,0,2,0,0.05968376249074936,0.17880186438560486,0.09779145568609238,865,Marko Arnautovic
0,1,0.06649917364120483,82,AML,Stoke,Arsenal,1,4,2017-05-13,3505,2016,133666,0.9420412182807922,1,2,0,0.06649917364120483,0.9791200160980225,0.03707881271839142,865,Marko Arnautovic
0,2,0.7513954639434814,90,AML,Bournemouth,Stoke,2,2,2017-05-06,3491,2016,134754,0.14957204461097717,0,2,0,0.7513954639434814,0.900967538356781,0,865,Marko Arnautovic
0,1,0.3680872917175293,90,AML,Stoke,West Ham,0,0,2017-04-29,3485,2016,134493,0.25308504700660706,0,4,0,0.3680872917175293,0.6359043717384338,0.21226032078266144,865,Marko Arnautovic
0,2,0.8026511669158936,86,ML,Swansea,Stoke,2,0,2017-04-22,3478,2016,134316,0.049384135752916336,0,1,0,0.041482336819171906,0.041482336819171906,0.041482336819171906,865,Marko Arnautovic
1,3,0.9025015234947205,90,AMC,Stoke,Hull,3,1,2017-04-15,3463,2016,134822,0.3525286316871643,1,4,1,0.9025015234947205,1.198827862739563,0.13926343619823456,865,Marko Arnautovic
0,3,0.3771720826625824,90,ML,Stoke,Liverpool,1,2,2017-04-08,3451,2016,133582,0.6285344958305359,0,2,0,0.3771720826625824,1.5133410692214966,0.5885536074638367,865,Marko Arnautovic
0,4,0.5893912315368652,90,AMC,Burnley,Stoke,1,0,2017-04-04,3441,2016,133432,0.18974685668945312,0,3,0,0.5893912315368652,0.7223818898200989,0.03210439160466194,865,Marko Arnautovic
0,3,0.12833163142204285,90,MR,Leicester,Stoke,2,0,2017-04-01,3434,2016,132693,0.5572978258132935,0,2,0,0.12833163142204285,1.0832215547561646,0.6361057758331299,865,Marko Arnautovic
0,1,0.03841348737478256,90,MR,Stoke,Chelsea,1,2,2017-03-18,3424,2016,133607,0.02645178511738777,0,1,0,0.03841348737478256,0.09749598801136017,0.059082500636577606,865,Marko Arnautovic
2,2,1.358111023902893,67,AMR,Stoke,Middlesbrough,2,0,2017-03-04,3403,2016,133007,0.39325788617134094,0,1,2,1.358111023902893,1.027320384979248,0,865,Marko Arnautovic
0,0,0,90,AML,Tottenham,Stoke,4,0,2017-02-26,3397,2016,132009,0,0,0,0,0,0,0,865,Marko Arnautovic
0,2,0.13040389120578766,90,AMR,Stoke,Crystal Palace,1,0,2017-02-11,3383,2016,131048,0.011319749057292938,0,1,0,0.13040389120578766,0.6143255233764648,0.47260192036628723,865,Marko Arnautovic
0,1,0.05940695479512215,90,AML,West Bromwich Albion,Stoke,1,0,2017-02-04,3375,2016,130294,0.31608691811561584,0,1,0,0.05940695479512215,0.3754938840866089,0,865,Marko Arnautovic
0,2,0.738345742225647,90,AML,Stoke,Everton,1,1,2017-02-01,3369,2016,129234,0.6921563148498535,1,2,0,0.738345742225647,1.4305020570755005,0,865,Marko Arnautovic
0,0,0,89,AML,Stoke,Manchester United,1,1,2017-01-21,3354,2016,131967,0.11048294603824615,0,2,0,0,0.11048294603824615,0,865,Marko Arnautovic
2,4,0.6080533266067505,90,AML,Sunderland,Stoke,1,3,2017-01-14,3342,2016,130758,0,0,0,2,0.6080533266067505,0.6853927969932556,0.4395359456539154,865,Marko Arnautovic
0,1,0.0347193218767643,90,FWL,Stoke,Watford,2,0,2017-01-04,3338,2016,129652,0.26179444789886475,0,3,0,0.0347193218767643,0.49996477365493774,0.35916826128959656,865,Marko Arnautovic
0,0,0,22,AML,Stoke,Southampton,0,0,2016-12-15,3133,2016,131411,0,0,0,0,0,0,0,865,Marko Arnautovic
0,2,0.1773083657026291,90,FW,Arsenal,Stoke,3,1,2016-12-10,3118,2016,129499,0.08933011442422867,0,2,0,0.1773083657026291,0.3497956395149231,0.08315715193748474,865,Marko Arnautovic
0,1,0.14571112394332886,73,AML,Stoke,Burnley,2,0,2016-12-03,3107,2016,128735,0.26204341650009155,1,2,0,0.14571112394332886,0.28716546297073364,0.14571112394332886,865,Marko Arnautovic
0,1,0.06257697939872742,85,AML,Watford,Stoke,0,1,2016-11-27,2713,2016,128314,0.011860021390020847,0,1,0,0.06257697939872742,0.0924205556511879,0.017983559519052505,865,Marko Arnautovic
0,3,0.1042698323726654,90,AML,Stoke,Bournemouth,0,1,2016-11-19,2699,2016,128600,0.1039382591843605,0,1,0,0.1042698323726654,0.2082080990076065,0.052095528692007065,865,Marko Arnautovic
0,1,0.3323432207107544,90,AML,Stoke,Swansea,3,1,2016-11-01,2686,2016,127773,0.2610918879508972,0,3,0,0.3323432207107544,0.6376420259475708,0.15297144651412964,865,Marko Arnautovic
0,2,0.4144405126571655,90,AML,Hull,Stoke,0,2,2016-10-22,545,2016,127206,0.22204649448394775,0,2,0,0.4144405126571655,0.7637612223625183,0.12727421522140503,865,Marko Arnautovic
0,4,0.3555033504962921,90,AML,Stoke,Sunderland,2,0,2016-10-15,535,2016,126921,0.7676582932472229,1,2,0,0.3555033504962921,1.209970474243164,0.15913186967372894,865,Marko Arnautovic
0,1,0.025955989956855774,78,AML,Manchester United,Stoke,1,1,2016-10-02,527,2016,127232,0.1286931186914444,0,1,0,0.025955989956855774,0.15464910864830017,0,865,Marko Arnautovic
0,1,0.08478474617004395,90,FWL,Stoke,West Bromwich Albion,1,1,2016-09-24,513,2016,126699,0.09162882715463638,0,1,0,0.08478474617004395,0.5850788950920105,0.40866532921791077,865,Marko Arnautovic
1,1,0.04409975931048393,90,AML,Crystal Palace,Stoke,4,1,2016-09-18,508,2016,126296,0,0,0,1,0.04409975931048393,0.06173711642622948,0.017637355253100395,865,Marko Arnautovic
0,3,0.15520797669887543,90,AML,Stoke,Tottenham,0,4,2016-09-10,493,2016,126144,0.13358664512634277,0,2,0,0.15520797669887543,0.30565115809440613,0.06811007857322693,865,Marko Arnautovic
