goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,1,0.14691706001758575,60,DMR,Cagliari,Inter,1,3,2022-05-15,17117,2021,536642,0.14610673487186432,0,3,1,0.14691706001758575,0.695735514163971,0.423566073179245,557,Matteo Darmian
0,0,0,10,Sub,Inter,Empoli,4,2,2022-05-06,17109,2021,531851,0.14123226702213287,0,1,0,0,0.5388994812965393,0.39766719937324524,557,Matteo Darmian
0,0,0,90,DMR,Udinese,Inter,1,2,2022-05-01,17105,2021,531396,0.06196089833974838,0,1,0,0,0.06196089833974838,0.06196089833974838,557,Matteo Darmian
0,0,0,6,Sub,Bologna,Inter,2,1,2022-04-27,16947,2021,529953,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,13,Sub,Spezia,Inter,1,3,2022-04-15,17084,2021,525938,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,22,Sub,Juventus,Inter,0,1,2022-04-03,17059,2021,523851,0.10113102942705154,0,1,0,0,0.10113102942705154,0,557,Matteo Darmian
0,0,0,90,DMR,Torino,Inter,1,1,2022-03-13,17044,2021,520534,0,0,0,0,0,1.3462755680084229,1.3462755680084229,557,Matteo Darmian
0,0,0,63,DML,Inter,Salernitana,5,0,2022-03-04,17030,2021,517163,0.22576315701007843,0,2,0,0,0.834538996219635,0.6087758541107178,557,Matteo Darmian
0,0,0,47,DMR,Inter,Sassuolo,0,2,2022-02-20,17009,2021,515047,0.5829381942749023,0,1,0,0,0.5829381942749023,0.5829381942749023,557,Matteo Darmian
0,0,0,6,Sub,Inter,AC Milan,1,2,2022-02-05,16989,2021,511222,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,76,DMR,Inter,Venezia,2,1,2022-01-22,16980,2021,509846,0.054706916213035583,0,1,0,0,0.06739330291748047,0.012686386704444885,557,Matteo Darmian
0,0,0,67,DMR,Atalanta,Inter,0,0,2022-01-16,16966,2021,508776,0,0,0,0,0,0.2097751647233963,0.2097751647233963,557,Matteo Darmian
0,0,0,12,Sub,Inter,Lazio,2,1,2022-01-09,16960,2021,507537,0,0,0,0,0,0,0,557,Matteo Darmian
0,1,0.050590451806783676,71,DMR,Venezia,Inter,0,2,2021-11-27,16895,2021,497679,0.031262606382369995,0,1,0,0.050590451806783676,0.4039584994316101,0.35336804389953613,557,Matteo Darmian
0,1,0.01760771870613098,90,DMR,Inter,Napoli,3,2,2021-11-21,16881,2021,496689,0.166392982006073,0,2,0,0.01760771870613098,0.24186751246452332,0.05786681920289993,557,Matteo Darmian
0,0,0,77,DMR,AC Milan,Inter,1,1,2021-11-07,16870,2021,495171,0,0,0,0,0,0.1029902845621109,0.1029902845621109,557,Matteo Darmian
0,1,0.3261449337005615,90,DMR,Empoli,Inter,0,2,2021-10-27,16847,2021,491562,0.6933759450912476,0,3,0,0.3261449337005615,1.9222767353057861,0.9547789096832275,557,Matteo Darmian
0,1,0.01651402935385704,90,DMR,Inter,Juventus,1,1,2021-10-24,16840,2021,490988,0,0,0,0,0.01651402935385704,0.03365930914878845,0.017145277932286263,557,Matteo Darmian
0,1,0.04670156165957451,90,DMR,Lazio,Inter,3,1,2021-10-16,16830,2021,488323,0.0378170870244503,0,1,0,0.04670156165957451,0.3087332248687744,0.2709161341190338,557,Matteo Darmian
0,0,0,33,Sub,Sassuolo,Inter,1,2,2021-10-02,16824,2021,486808,0,0,0,0,0,0.24319882690906525,0.24319882690906525,557,Matteo Darmian
0,0,0,57,DMR,Inter,Atalanta,2,2,2021-09-25,16808,2021,484880,0.0810004249215126,0,1,0,0,0.41838207840919495,0.33738166093826294,557,Matteo Darmian
1,1,0.30797651410102844,66,DMR,Fiorentina,Inter,1,3,2021-09-21,16799,2021,483449,0,0,0,1,0.30797651410102844,0.30797651410102844,0,557,Matteo Darmian
0,0,0,90,DMR,Sampdoria,Inter,2,2,2021-09-12,16783,2021,480727,0,0,0,0,0,0.0440388061106205,0.0440388061106205,557,Matteo Darmian
0,1,0.07802743464708328,90,DMR,Verona,Inter,1,3,2021-08-27,16767,2021,478606,0.0740618109703064,1,2,0,0.07802743464708328,0.15208923816680908,0,557,Matteo Darmian
0,0,0,90,DMR,Inter,Genoa,4,0,2021-08-21,16757,2021,477169,0.1299043446779251,0,1,0,0,0.44429928064346313,0.3143949508666992,557,Matteo Darmian
0,0,0,50,DML,Juventus,Inter,3,2,2021-05-15,15790,2020,471020,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,79,DMR,Inter,Roma,3,1,2021-05-12,15782,2020,470352,0.09596472978591919,1,1,0,0,0.2923927307128906,0.2923927307128906,557,Matteo Darmian
0,1,0.01793345808982849,68,DML,Crotone,Inter,0,2,2021-05-01,15761,2020,467085,0,0,0,0,0.01793345808982849,0.37604573369026184,0.35811227560043335,557,Matteo Darmian
1,1,0.07017477601766586,24,Sub,Inter,Verona,1,0,2021-04-25,15755,2020,465987,0.015763668343424797,0,1,1,0.07017477601766586,0.08593843877315521,0,557,Matteo Darmian
0,0,0,70,DML,Napoli,Inter,1,1,2021-04-18,15729,2020,463966,0,0,0,0,0,0,0,557,Matteo Darmian
1,2,0.7186223864555359,84,DMR,Inter,Cagliari,1,0,2021-04-11,15718,2020,461601,0,0,0,1,0.7186223864555359,0.8082936406135559,0.08967125415802002,557,Matteo Darmian
0,1,0.08781234174966812,90,DC,Inter,Sassuolo,2,1,2021-04-07,15703,2020,460728,0,0,0,0,0.08781234174966812,0.08781234174966812,0,557,Matteo Darmian
0,1,0.09466944634914398,17,Sub,Bologna,Inter,0,1,2021-04-03,15708,2020,459940,0,0,0,0,0.09466944634914398,0.09466944634914398,0,557,Matteo Darmian
0,0,0,1,Sub,Torino,Inter,1,2,2021-03-14,15688,2020,457060,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,4,Sub,Inter,Atalanta,1,0,2021-03-08,15676,2020,455588,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,3,Sub,Parma Calcio 1913,Inter,1,2,2021-03-04,15666,2020,454248,0,0,0,0,0,0,0,557,Matteo Darmian
1,3,0.6037886142730713,85,DMR,Inter,Genoa,3,0,2021-02-28,15660,2020,453025,0,0,0,1,0.6037886142730713,0.9152041077613831,0.7047289609909058,557,Matteo Darmian
0,0,0,11,Sub,AC Milan,Inter,0,3,2021-02-21,15648,2020,451202,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,1,Sub,Inter,Lazio,3,1,2021-02-14,15641,2020,449942,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,10,Sub,Fiorentina,Inter,0,2,2021-02-05,15629,2020,447326,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,16,Sub,Inter,Juventus,2,0,2021-01-17,15600,2020,442956,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,33,DML,Roma,Inter,2,2,2021-01-10,15592,2020,441346,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,14,Sub,Inter,Crotone,6,2,2021-01-03,15571,2020,439348,0.15857987105846405,1,2,0,0,0.15857987105846405,0,557,Matteo Darmian
0,0,0,8,Sub,Inter,Spezia,2,1,2020-12-20,15550,2020,436551,0,0,0,0,0,0.045922376215457916,0.045922376215457916,557,Matteo Darmian
0,0,0,90,DMR,Inter,Napoli,1,0,2020-12-16,15539,2020,435032,0,0,0,0,0,0.03415410965681076,0.03415410965681076,557,Matteo Darmian
0,0,0,59,DMR,Cagliari,Inter,1,3,2020-12-13,15528,2020,433419,0.3551329970359802,0,3,0,0,0.5093247294425964,0.2564062476158142,557,Matteo Darmian
0,0,0,19,Sub,Inter,Bologna,3,1,2020-12-05,15518,2020,431555,0,0,0,0,0,0.08336033672094345,0.08336033672094345,557,Matteo Darmian
0,0,0,90,DMR,Sassuolo,Inter,0,3,2020-11-28,15514,2020,429452,0.22188368439674377,1,2,0,0,0.39449504017829895,0.27847057580947876,557,Matteo Darmian
0,0,0,83,DMR,Atalanta,Inter,1,1,2020-11-08,15486,2020,427038,0.09267539530992508,0,1,0,0,0.48576951026916504,0.39309412240982056,557,Matteo Darmian
0,0,0,70,ML,Inter,Parma Calcio 1913,2,2,2020-10-31,15478,2020,424617,0,0,0,0,0,0.3322523832321167,0.3322523832321167,557,Matteo Darmian
0,0,0,80,MR,Genoa,Inter,0,2,2020-10-24,15470,2020,422987,0.03742997720837593,0,1,0,0,0.13673168420791626,0.09930171072483063,557,Matteo Darmian
0,0,0,25,Sub,Parma Calcio 1913,Verona,1,0,2020-10-04,15453,2020,420081,0.03414800018072128,0,1,0,0,0.03414800018072128,0,557,Matteo Darmian
0,0,0,90,DL,Bologna,Parma Calcio 1913,4,1,2020-09-28,14132,2020,418680,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Napoli,0,2,2020-09-20,14118,2020,416110,0,0,0,0,0,0.04947374016046524,0.04947374016046524,557,Matteo Darmian
0,0,0,90,DL,Lecce,Parma Calcio 1913,3,4,2020-08-02,13468,2019,412289,0.1334431916475296,0,1,0,0,0.24950569868087769,0.24950569868087769,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Atalanta,1,2,2020-07-28,13457,2019,411680,0.03308815881609917,0,1,0,0,0.5036814212799072,0.47059327363967896,557,Matteo Darmian
1,1,0.5220498442649841,90,DL,Brescia,Parma Calcio 1913,1,2,2020-07-25,13448,2019,411126,0.030175546184182167,0,2,1,0.5220498442649841,0.5522254109382629,0,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Napoli,2,1,2020-07-22,13433,2019,410804,0,0,0,0,0,0.05309857428073883,0.05309857428073883,557,Matteo Darmian
0,1,0.07974179834127426,90,DR,AC Milan,Parma Calcio 1913,3,1,2020-07-15,13416,2019,408792,0,0,0,0,0.07974179834127426,0.20636017620563507,0.1266183704137802,557,Matteo Darmian
0,0,0,90,MR,Parma Calcio 1913,Bologna,2,2,2020-07-12,13400,2019,408050,0,0,0,0,0,0.7099571228027344,0.7099571228027344,557,Matteo Darmian
0,0,0,90,DR,Roma,Parma Calcio 1913,2,1,2020-07-08,13395,2019,406886,0,0,0,0,0,0.10798431932926178,0.10798431932926178,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Fiorentina,1,2,2020-07-05,13381,2019,405973,0.07383164763450623,0,1,0,0,0.35473304986953735,0.28090140223503113,557,Matteo Darmian
0,0,0,11,Sub,Verona,Parma Calcio 1913,3,2,2020-07-01,13373,2019,404649,0,0,0,0,0,0.07295157760381699,0.07295157760381699,557,Matteo Darmian
0,0,0,1,Sub,Parma Calcio 1913,Inter,1,2,2020-06-28,13365,2019,403873,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,23,Sub,Genoa,Parma Calcio 1913,1,4,2020-06-23,13352,2019,402270,0,0,0,0,0,0.08302633464336395,0.08302633464336395,557,Matteo Darmian
0,0,0,85,DR,Torino,Parma Calcio 1913,1,1,2020-06-20,13337,2019,401405,0,0,0,0,0,0.015106954611837864,0.015106954611837864,557,Matteo Darmian
0,1,0.01881609670817852,90,DR,Parma Calcio 1913,SPAL 2013,0,1,2020-03-08,13345,2019,397129,0,0,0,0,0.01881609670817852,0.4677080810070038,0.4488919675350189,557,Matteo Darmian
0,0,0,41,DR,Sassuolo,Parma Calcio 1913,0,1,2020-02-16,13327,2019,394154,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Lazio,0,1,2020-02-09,13314,2019,393251,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Cagliari,Parma Calcio 1913,2,2,2020-02-01,13301,2019,391266,0,0,0,0,0,0.5492310523986816,0.5492310523986816,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Udinese,2,0,2020-01-26,13293,2019,390612,0,0,0,0,0,0.04838252067565918,0.04838252067565918,557,Matteo Darmian
0,0,0,90,DR,Juventus,Parma Calcio 1913,2,1,2020-01-19,13283,2019,389792,0,0,0,0,0,0.12282885611057281,0.12282885611057281,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Lecce,2,0,2020-01-13,13274,2019,388972,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Atalanta,Parma Calcio 1913,5,0,2020-01-06,13259,2019,388322,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Brescia,1,1,2019-12-22,13254,2019,372174,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Napoli,Parma Calcio 1913,1,2,2019-12-14,13247,2019,369917,0,0,0,0,0,0.15277151763439178,0.15277151763439178,557,Matteo Darmian
0,0,0,90,DR,Sampdoria,Parma Calcio 1913,0,1,2019-12-08,13234,2019,369284,0,0,0,0,0,0.16354508697986603,0.16354508697986603,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,AC Milan,0,1,2019-12-01,13228,2019,366810,0,0,0,0,0,0.04733681306242943,0.04733681306242943,557,Matteo Darmian
0,1,0.0654326006770134,90,DMR,Bologna,Parma Calcio 1913,2,2,2019-11-24,13210,2019,365283,0.1574319452047348,0,3,0,0.0654326006770134,0.30053937435150146,0.1507340520620346,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Roma,2,0,2019-11-10,13205,2019,364072,0,0,0,0,0,0.19905997812747955,0.19905997812747955,557,Matteo Darmian
0,0,0,90,DR,Fiorentina,Parma Calcio 1913,1,1,2019-11-03,13191,2019,362403,0,0,0,0,0,0.03542520850896835,0.03542520850896835,557,Matteo Darmian
0,3,0.1842021346092224,90,DR,Parma Calcio 1913,Verona,0,1,2019-10-29,13185,2019,360585,0.015752410516142845,0,1,0,0.1842021346092224,0.2776336967945099,0.16571585834026337,557,Matteo Darmian
0,0,0,90,DR,Inter,Parma Calcio 1913,2,2,2019-10-26,13174,2019,359573,0,0,0,0,0,0.14349064230918884,0.14349064230918884,557,Matteo Darmian
0,0,0,90,DR,Parma Calcio 1913,Genoa,5,1,2019-10-20,13165,2019,358753,0.0154580008238554,0,1,0,0,0.1381765753030777,0.12271857261657715,557,Matteo Darmian
0,0,0,90,DMR,Parma Calcio 1913,Sassuolo,1,0,2019-09-25,13135,2019,354056,0.07059697806835175,0,1,0,0,0.09540578722953796,0.024808811023831367,557,Matteo Darmian
0,0,0,90,DR,Lazio,Parma Calcio 1913,2,0,2019-09-22,13123,2019,353262,0,0,0,0,0,0.014096676371991634,0.014096676371991634,557,Matteo Darmian
0,1,0.012741439044475555,90,DR,Parma Calcio 1913,Cagliari,1,3,2019-09-15,13115,2019,349650,0.3553321957588196,1,1,0,0.012741439044475555,0.4562808871269226,0.4562808871269226,557,Matteo Darmian
0,0,0,86,DC,Manchester United,Manchester City,0,2,2019-04-24,9501,2018,327635,0,0,0,0,0,0.15794599056243896,0.15794599056243896,557,Matteo Darmian
0,0,0,1,Sub,Manchester United,Brighton,2,1,2019-01-19,9421,2018,303685,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Liverpool,Manchester United,3,1,2018-12-16,9362,2018,278712,0,0,0,0,0,0.018094655126333237,0.018094655126333237,557,Matteo Darmian
0,0,0,90,ML,Manchester United,Arsenal,2,2,2018-12-05,9344,2018,278119,0.016771040856838226,0,1,0,0,0.049199145287275314,0.03242810443043709,557,Matteo Darmian
0,0,0,90,DR,Manchester United,Crystal Palace,0,0,2018-11-24,9319,2018,277422,0.03364263474941254,0,1,0,0,0.24430683255195618,0.24430683255195618,557,Matteo Darmian
0,1,0.028308825567364693,90,DR,Manchester United,Leicester,2,1,2018-08-10,9197,2018,258794,0,0,0,0,0.028308825567364693,0.10952376574277878,0.08121494203805923,557,Matteo Darmian
0,0,0,90,DR,Manchester United,Watford,1,0,2018-05-13,7496,2017,240259,0,0,0,0,0,0.021331023424863815,0.021331023424863815,557,Matteo Darmian
0,0,0,69,DR,Brighton,Manchester United,1,0,2018-05-04,7484,2017,237026,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,90,DR,Bournemouth,Manchester United,0,2,2018-04-18,7463,2017,233527,0.02125377021729946,0,1,0,0,0.02125377021729946,0.02125377021729946,557,Matteo Darmian
0,0,0,1,Sub,Manchester United,Liverpool,2,1,2018-03-10,7414,2017,222110,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,11,Sub,Arsenal,Manchester United,1,3,2017-12-02,7266,2017,179473,0,0,0,0,0,0,0,557,Matteo Darmian
0,0,0,1,Sub,Manchester United,Tottenham,1,0,2017-10-28,7218,2017,177925,0,0,0,0,0,0,0,557,Matteo Darmian
0,1,0.013473178260028362,90,DL,Liverpool,Manchester United,0,0,2017-10-14,7193,2017,178427,0,0,0,0,0.013473178260028362,0,0,557,Matteo Darmian
0,1,0.015327510423958302,90,DL,Stoke,Manchester United,2,2,2017-09-09,7155,2017,177244,0,0,0,0,0.015327510423958302,0.4896729588508606,0.4896729588508606,557,Matteo Darmian
0,0,0,90,DL,Southampton,Manchester United,0,0,2017-05-17,3412,2016,132963,0,0,0,0,0,0.03909732773900032,0.03909732773900032,557,Matteo Darmian
0,0,0,90,DL,Arsenal,Manchester United,2,0,2017-05-07,3490,2016,134694,0,0,0,0,0,0.0817277729511261,0.0817277729511261,557,Matteo Darmian
0,0,0,26,Sub,Manchester United,Swansea,1,1,2017-04-30,3482,2016,134414,0,0,0,0,0,0.09872694313526154,0.09872694313526154,557,Matteo Darmian
0,0,0,90,DL,Manchester City,Manchester United,0,0,2017-04-27,3398,2016,131865,0,0,0,0,0,0.01911846734583378,0.01911846734583378,557,Matteo Darmian
