goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.09922292828559875,90,AMC,Arsenal,West Ham,1,0,2020-03-07,11923,2019,387760,0.5518965125083923,1,1,0,0.09922292828559875,1.0415858030319214,0.3904663026332855,499,Mesut Özil
0,0,0,87,AMC,Arsenal,Everton,3,2,2020-02-23,11903,2019,387353,0.029940921813249588,0,1,0,0,0.10339948534965515,0.10339948534965515,499,Mesut Özil
1,1,0.6042286157608032,90,AMC,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387050,0.1596089005470276,0,4,1,0.6042286157608032,2.3074731826782227,2.2359371185302734,499,Mesut Özil
0,1,0.018836161121726036,64,AMC,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386816,0.1512596160173416,0,2,0,0.018836161121726036,0.8466518521308899,0.8278157114982605,499,Mesut Özil
0,0,0,57,AMC,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386439,0,0,0,0,0,0,0,499,Mesut Özil
0,0,0,90,AMC,Arsenal,Sheffield United,1,1,2020-01-18,11863,2019,386152,0.10084813833236694,0,4,0,0,0.08828134834766388,0.02573254704475403,499,Mesut Özil
0,0,0,72,AMC,Crystal Palace,Arsenal,1,1,2020-01-11,11859,2019,385788,0,0,0,0,0,0.4340868890285492,0.4340868890285492,499,Mesut Özil
0,0,0,90,AMC,Arsenal,Manchester United,2,0,2020-01-01,11844,2019,385692,0.10934433341026306,0,1,0,0,0.45669421553611755,0.3473498821258545,499,Mesut Özil
0,0,0,81,AMC,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372871,0.1416093409061432,0,2,0,0,0,0,499,Mesut Özil
0,1,0.10856615006923676,76,AMC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372443,0.23061028122901917,0,4,0,0.10856615006923676,0.37582239508628845,0.18783114850521088,499,Mesut Özil
