goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
2,5,1.4791665077209473,81,MR,Manchester United,Cardiff,0,2,2019-05-12,9570,2018,332388,0.06912198662757874,0,2,1,0.717997670173645,0.7761930227279663,0.014788231812417507,6824,Nathaniel Mendez-Laing
0,2,0.15265008807182312,90,MR,Cardiff,Crystal Palace,2,3,2019-05-04,9564,2018,330430,0.46143054962158203,1,5,0,0.15265008807182312,0.6327311396598816,0.018650490790605545,6824,Nathaniel Mendez-Laing
0,2,0.0627637729048729,90,AML,Fulham,Cardiff,1,0,2019-04-27,9553,2018,328347,0.12090867012739182,0,2,0,0.0627637729048729,0.2052796334028244,0.021607184782624245,6824,Nathaniel Mendez-Laing
0,0,0,90,ML,Cardiff,Liverpool,0,2,2019-04-21,9544,2018,326789,0.22622717916965485,0,3,0,0,0.22622717916965485,0.12018309533596039,6824,Nathaniel Mendez-Laing
1,1,0.026409175246953964,82,AMR,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325361,0,0,0,1,0.026409175246953964,0.026409175246953964,0,6824,Nathaniel Mendez-Laing
0,1,0.010835075750946999,15,Sub,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324282,0,0,0,0,0.010835075750946999,0.010835075750946999,0,6824,Nathaniel Mendez-Laing
0,0,0,28,Sub,Manchester City,Cardiff,2,0,2019-04-03,9522,2018,321904,0,0,0,0,0,0.030191386118531227,0.030191386118531227,6824,Nathaniel Mendez-Laing
0,0,0,1,Sub,Cardiff,Chelsea,1,2,2019-03-31,9514,2018,318508,0,0,0,0,0,0,0,6824,Nathaniel Mendez-Laing
0,1,0.023147189989686012,70,MR,Cardiff,Everton,0,3,2019-02-26,9469,2018,304993,0.013057505711913109,0,1,0,0.023147189989686012,0.03620469570159912,0.013057505711913109,6824,Nathaniel Mendez-Laing
0,0,0,21,Sub,Cardiff,Watford,1,5,2019-02-22,9463,2018,304752,0,0,0,0,0,0.009149189107120037,0.009149189107120037,6824,Nathaniel Mendez-Laing
1,1,0.025394445285201073,19,Sub,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303888,0.06733956933021545,0,2,1,0.025394445285201073,0.10511677712202072,0.03781672194600105,6824,Nathaniel Mendez-Laing
0,1,0.052956074476242065,85,MR,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303770,0,0,0,0,0.052956074476242065,0.052956074476242065,0,6824,Nathaniel Mendez-Laing
0,0,0,76,MR,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303433,0.03075426071882248,0,1,0,0,0.03075426071882248,0,6824,Nathaniel Mendez-Laing
0,0,0,17,Sub,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303111,0.04611765593290329,0,1,0,0,0.06346934288740158,0.017351685091853142,6824,Nathaniel Mendez-Laing
0,0,0,41,Sub,Watford,Cardiff,3,2,2018-12-15,9358,2018,278529,0,0,0,0,0,0.0974816232919693,0.0974816232919693,6824,Nathaniel Mendez-Laing
0,2,0.07469084858894348,68,MR,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278258,0.2626628279685974,0,2,0,0.07469084858894348,0.3373536765575409,0,6824,Nathaniel Mendez-Laing
0,1,0.05176607891917229,23,Sub,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277972,0,0,0,0,0.05176607891917229,0.05176607891917229,0,6824,Nathaniel Mendez-Laing
0,1,0.08388380706310272,9,MR,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259316,0,0,0,0,0.08388380706310272,0.08388380706310272,0,6824,Nathaniel Mendez-Laing
0,0,0,9,Sub,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,259001,0,0,0,0,0,0,0,6824,Nathaniel Mendez-Laing
0,2,0.11781388521194458,65,MR,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258702,0,0,0,0,0.11781388521194458,0.1664181798696518,0.04860430210828781,6824,Nathaniel Mendez-Laing
