goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
1,1,0.696946382522583,38,Sub,Lazio,Verona,3,3,2022-05-21,17130,2021,537295,0.34813112020492554,0,1,1,0.696946382522583,1.1028151512145996,0.057737622410058975,687,Pedro
0,1,0.028718218207359314,37,Sub,Juventus,Lazio,2,2,2022-05-16,17120,2021,536715,0,0,0,0,0.028718218207359314,0.06773632019758224,0.03901809826493263,687,Pedro
0,1,0.07538945227861404,17,Sub,Genoa,Lazio,1,4,2022-04-10,17069,2021,525028,0.10270783305168152,1,1,0,0.07538945227861404,0.17809729278087616,0,687,Pedro
0,2,0.03233960270881653,90,FWL,Roma,Lazio,3,0,2022-03-20,17053,2021,522167,0.035469960421323776,0,1,0,0.03233960270881653,0.191947802901268,0.124138243496418,687,Pedro
0,0,0,19,Sub,Lazio,Venezia,1,0,2022-03-14,17039,2021,520622,0,0,0,0,0,0,0,687,Pedro
0,1,0.0369463674724102,20,Sub,Cagliari,Lazio,0,3,2022-03-05,17027,2021,517870,0,0,0,0,0.0369463674724102,0.0369463674724102,0,687,Pedro
1,2,0.08633648604154587,23,Sub,Lazio,Napoli,1,2,2022-02-27,17020,2021,516894,0,0,0,1,0.08633648604154587,0.0346846804022789,0,687,Pedro
0,0,0,22,FWR,Udinese,Lazio,1,1,2022-02-20,17014,2021,515186,0,0,0,0,0,0,0,687,Pedro
0,0,0,67,FWR,Lazio,Bologna,3,0,2022-02-12,17000,2021,512467,0,0,0,0,0,0.611286997795105,0.611286997795105,687,Pedro
0,3,0.4069291949272156,60,FWR,Fiorentina,Lazio,0,3,2022-02-05,16988,2021,511351,0,0,0,0,0.4069291949272156,0.4069291949272156,0,687,Pedro
0,0,0,39,FWR,Salernitana,Lazio,0,3,2022-01-15,16972,2021,508217,1.0039926767349243,1,2,0,0,1.0039926767349243,0.08274222165346146,687,Pedro
0,1,0.026689328253269196,90,FWL,Inter,Lazio,2,1,2022-01-09,16960,2021,507549,0.014130444265902042,0,1,0,0.026689328253269196,0.3614021837711334,0.32058241963386536,687,Pedro
0,2,0.10340062528848648,62,FWR,Lazio,Empoli,3,3,2022-01-06,16950,2021,506371,0.018570469692349434,0,1,0,0.10340062528848648,0.24623528122901917,0.1242641881108284,687,Pedro
1,2,0.26360395550727844,90,FWR,Venezia,Lazio,1,3,2021-12-22,16945,2021,504528,0,0,0,1,0.26360395550727844,0.33156776428222656,0.06796381622552872,687,Pedro
1,3,0.5555278658866882,90,FWR,Lazio,Genoa,3,1,2021-12-17,16930,2021,503392,0.15443089604377747,0,2,1,0.5555278658866882,1.4950270652770996,1.0279585123062134,687,Pedro
0,0,0,47,FWR,Sassuolo,Lazio,2,1,2021-12-12,16922,2021,502690,0.4301513135433197,1,1,0,0,0.4301513135433197,0,687,Pedro
0,0,0,65,FWR,Sampdoria,Lazio,1,3,2021-12-05,16913,2021,500942,0.08346725255250931,0,1,0,0,0.5672560930252075,0.4837888181209564,687,Pedro
1,2,0.12276151776313782,90,FWL,Lazio,Udinese,4,4,2021-12-02,16902,2021,499443,0.035571176558732986,0,2,1,0.12276151776313782,0.25764814019203186,0.12011607736349106,687,Pedro
0,0,0,76,FWL,Napoli,Lazio,4,0,2021-11-28,16890,2021,498451,0.09146475791931152,0,1,0,0,0.1749088168144226,0.08344405889511108,687,Pedro
0,1,0.02043304592370987,90,FW,Lazio,Juventus,0,2,2021-11-20,16882,2021,495909,0.018359912559390068,0,1,0,0.02043304592370987,0.11724276095628738,0.09888284653425217,687,Pedro
