goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.026058342307806015,11,Sub,Parma Calcio 1913,Sassuolo,1,3,2021-05-16,15794,2020,471560,0,0,0,0,0.026058342307806015,0.026058342307806015,0,542,Pedro Obiang
0,1,0.021061843261122704,56,DMC,Sassuolo,Juventus,1,3,2021-05-12,15779,2020,470262,0.029983796179294586,0,2,0,0.021061843261122704,0.0960005447268486,0.04495490714907646,542,Pedro Obiang
0,0,0,15,Sub,Genoa,Sassuolo,1,2,2021-05-09,15774,2020,469050,0,0,0,0,0,0,0,542,Pedro Obiang
0,0,0,61,DMC,Sassuolo,Atalanta,1,1,2021-05-02,15756,2020,467581,0,0,0,0,0,0.019814306870102882,0.019814306870102882,542,Pedro Obiang
0,0,0,12,Sub,Sassuolo,Sampdoria,1,0,2021-04-24,15752,2020,465604,0,0,0,0,0,0,0,542,Pedro Obiang
0,0,0,72,DMC,AC Milan,Sassuolo,1,2,2021-04-21,15744,2020,464204,0,0,0,0,0,0.3377576470375061,0.3377576470375061,542,Pedro Obiang
0,1,0.07829807698726654,90,DMC,Sassuolo,Fiorentina,3,1,2021-04-17,15727,2020,462984,0,0,0,0,0.07829807698726654,0.1214868351817131,0.1214868351817131,542,Pedro Obiang
0,0,0,21,Sub,Benevento,Sassuolo,0,1,2021-04-12,15724,2020,462440,0,0,0,0,0,0.07007503509521484,0.07007503509521484,542,Pedro Obiang
0,2,0.05738271772861481,90,DMC,Inter,Sassuolo,2,1,2021-04-07,15703,2020,460747,0.06674934923648834,0,2,0,0.05738271772861481,0.6459234356880188,0.521791398525238,542,Pedro Obiang
0,1,0.012765975669026375,90,DMC,Sassuolo,Roma,2,2,2021-04-03,15711,2020,459317,0,0,0,0,0.012765975669026375,0.7457524538040161,0.7329864501953125,542,Pedro Obiang
0,4,0.17231839895248413,90,DMC,Torino,Sassuolo,3,2,2021-03-17,15665,2020,457502,0.4504091739654541,0,2,0,0.17231839895248413,0.7119507193565369,0.18992920219898224,542,Pedro Obiang
0,0,0,90,DMC,Sassuolo,Verona,3,2,2021-03-13,15695,2020,456183,0,0,0,0,0,0.12664607167243958,0.12664607167243958,542,Pedro Obiang
0,0,0,11,Sub,Udinese,Sassuolo,2,0,2021-03-06,15684,2020,454747,0,0,0,0,0,0.0396769642829895,0.0396769642829895,542,Pedro Obiang
0,0,0,3,Sub,Sassuolo,Napoli,3,3,2021-03-03,15667,2020,453587,0,0,0,0,0,0,0,542,Pedro Obiang
0,0,0,16,Sub,Crotone,Sassuolo,1,2,2021-02-14,15644,2020,449841,0,0,0,0,0,0.44554468989372253,0.44554468989372253,542,Pedro Obiang
0,0,0,84,DMC,Sassuolo,Spezia,1,2,2021-02-06,15633,2020,447425,0.3910341262817383,1,2,0,0,0.3910341262817383,0,542,Pedro Obiang
0,1,0.02646988444030285,71,DMC,Cagliari,Sassuolo,1,1,2021-01-31,15621,2020,446102,0,0,0,0,0.02646988444030285,0.02646988444030285,0,542,Pedro Obiang
0,0,0,77,DMC,Lazio,Sassuolo,2,1,2021-01-24,15610,2020,444758,0,0,0,0,0,0,0,542,Pedro Obiang
0,1,0.017453879117965698,45,DMC,Juventus,Sassuolo,3,1,2021-01-10,15589,2020,441625,0,0,0,0,0.017453879117965698,0,0,542,Pedro Obiang
0,0,0,14,Sub,Sassuolo,Genoa,2,1,2021-01-06,15584,2020,440164,0,0,0,0,0,0.39041006565093994,0.39041006565093994,542,Pedro Obiang
0,0,0,34,Sub,Atalanta,Sassuolo,5,1,2021-01-03,15566,2020,439430,0,0,0,0,0,0,0,542,Pedro Obiang
0,0,0,29,Sub,Sampdoria,Sassuolo,2,3,2020-12-23,15562,2020,437707,0,0,0,0,0,0.060572389513254166,0.060572389513254166,542,Pedro Obiang
