goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,46,DC,Wolverhampton Wanderers,Cardiff,2,0,2019-03-02,9477,2018,305253,0,0,0,0,0,0.08743832260370255,0.08743832260370255,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Everton,0,3,2019-02-26,9469,2018,304991,0,0,0,0,0,0.040165744721889496,0.040165744721889496,4027,Sol Bamba
1,3,0.6787027716636658,90,DC,Cardiff,Watford,1,5,2019-02-22,9463,2018,304742,0,0,0,1,0.6787027716636658,0.05794225633144379,0.009149189107120037,4027,Sol Bamba
1,1,0.7600962519645691,90,DC,Southampton,Cardiff,1,2,2019-02-09,9453,2018,304536,0,0,0,1,0.7600962519645691,0,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Bournemouth,2,0,2019-02-02,9444,2018,304301,0.05885426327586174,0,1,0,0,0.05885426327586174,0,4027,Sol Bamba
0,1,0.04190560802817345,90,DC,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303878,0,0,0,0,0.04190560802817345,0.14693376421928406,0.10502815991640091,4027,Sol Bamba
0,0,0,90,DC,Newcastle United,Cardiff,3,0,2019-01-19,9420,2018,303768,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Huddersfield,0,0,2019-01-12,9414,2018,303430,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303102,0,0,0,0,0,0.04611765593290329,0.04611765593290329,4027,Sol Bamba
0,0,0,90,DC,Leicester,Cardiff,0,1,2018-12-29,9392,2018,291413,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,Crystal Palace,Cardiff,0,0,2018-12-26,9384,2018,279128,0,0,0,0,0,0.4251285195350647,0.4251285195350647,4027,Sol Bamba
0,2,0.1602865606546402,90,DC,Cardiff,Manchester United,1,5,2018-12-22,9374,2018,278948,0,0,0,0,0.1602865606546402,0.058205123990774155,0.058205123990774155,4027,Sol Bamba
0,1,0.08669114112854004,90,DC,Watford,Cardiff,3,2,2018-12-15,9358,2018,278519,0.019683055579662323,0,1,0,0.08669114112854004,0.10637419670820236,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Southampton,1,0,2018-12-08,9353,2018,278255,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277962,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Wolverhampton Wanderers,2,1,2018-11-30,9335,2018,277643,0,0,0,0,0,0.042765021324157715,0.042765021324157715,4027,Sol Bamba
0,1,0.08356884866952896,90,DC,Everton,Cardiff,1,0,2018-11-24,9321,2018,277492,0,0,0,0,0.08356884866952896,0,0,4027,Sol Bamba
1,2,0.8789846301078796,90,DC,Cardiff,Brighton,2,1,2018-11-10,9307,2018,277091,0,0,0,1,0.8789846301078796,1.0083824396133423,0.12939782440662384,4027,Sol Bamba
0,3,0.1817985475063324,90,DC,Cardiff,Leicester,0,1,2018-11-03,9302,2018,276925,0,0,0,0,0.1817985475063324,0,0,4027,Sol Bamba
0,0,0,90,DC,Liverpool,Cardiff,4,1,2018-10-27,9288,2018,276549,0,0,0,0,0,0,0,4027,Sol Bamba
0,0,0,90,DC,Cardiff,Fulham,4,2,2018-10-20,9282,2018,276398,0.06474955379962921,1,2,0,0,0.13393206894397736,0.0958544909954071,4027,Sol Bamba
0,1,0.013681281358003616,90,DC,Tottenham,Cardiff,1,0,2018-10-06,9269,2018,276053,0,0,0,0,0.013681281358003616,0.26540035009384155,0.26540035009384155,4027,Sol Bamba
0,1,0.05807986110448837,90,DC,Cardiff,Burnley,1,2,2018-09-30,9265,2018,260376,0,0,0,0,0.05807986110448837,0.24631626904010773,0.18823641538619995,4027,Sol Bamba
1,2,0.6995165944099426,90,DC,Chelsea,Cardiff,4,1,2018-09-15,9241,2018,259813,0,0,0,1,0.6995165944099426,0.03539248928427696,0.03539248928427696,4027,Sol Bamba
0,1,0.024187635630369186,90,DC,Cardiff,Arsenal,2,3,2018-09-02,9235,2018,259548,0,0,0,0,0.024187635630369186,0.05103854462504387,0.026850910857319832,4027,Sol Bamba
0,2,0.04740705341100693,90,DC,Huddersfield,Cardiff,0,0,2018-08-25,9219,2018,259313,0,0,0,0,0.04740705341100693,0.04740705341100693,0,4027,Sol Bamba
0,1,0.4065384864807129,90,DC,Cardiff,Newcastle United,0,0,2018-08-18,9207,2018,258992,0,0,0,0,0.4065384864807129,0,0,4027,Sol Bamba
0,0,0,90,DMC,Bournemouth,Cardiff,2,0,2018-08-11,9202,2018,258701,0,0,0,0,0,0.11462777853012085,0.11462777853012085,4027,Sol Bamba
0,0,0,90,DC,Napoli,Palermo,3,3,2014-09-24,5135,2014,47544,0,0,0,0,0,0,0,4027,Sol Bamba
