goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,66,DR,Augsburg,Hoffenheim,1,3,2020-06-17,12689,2019,400504,0,0,0,0,0,0.013819172978401184,0.013819172978401184,1303,Stephan Lichtsteiner
0,0,0,76,DR,Hertha Berlin,Augsburg,2,0,2020-05-30,12658,2019,398914,0,0,0,0,0,0.4814029037952423,0.4814029037952423,1303,Stephan Lichtsteiner
0,0,0,8,Sub,Augsburg,Paderborn,0,0,2020-05-27,12650,2019,398792,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,48,DR,Augsburg,Borussia M.Gladbach,2,3,2020-02-29,12616,2019,395718,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,31,DR,Augsburg,Freiburg,1,1,2020-02-15,12597,2019,393585,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,15,Sub,Eintracht Frankfurt,Augsburg,5,0,2020-02-07,12587,2019,392357,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,1,0.014311340637505054,90,DR,Augsburg,Borussia Dortmund,3,5,2020-01-18,12562,2019,389252,0,0,0,0,0.014311340637505054,0.010580534115433693,0.010580534115433693,1303,Stephan Lichtsteiner
0,0,0,90,DR,RasenBallsport Leipzig,Augsburg,3,1,2019-12-21,12548,2019,371412,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Augsburg,Fortuna Duesseldorf,3,0,2019-12-17,12545,2019,370846,0.14496581256389618,0,2,0,0,0.4717395603656769,0.3267737329006195,1303,Stephan Lichtsteiner
0,0,0,87,DR,Hoffenheim,Augsburg,2,4,2019-12-13,12531,2019,369452,0.047706734389066696,0,1,0,0,0.478034108877182,0.4303273558616638,1303,Stephan Lichtsteiner
0,0,0,73,DR,Augsburg,Mainz 05,2,1,2019-12-07,12527,2019,368191,0.13925054669380188,0,1,0,0,0.13925054669380188,0.13925054669380188,1303,Stephan Lichtsteiner
0,0,0,63,Sub,FC Cologne,Augsburg,1,1,2019-11-30,12516,2019,366093,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Augsburg,Schalke 04,2,3,2019-11-03,12491,2019,362362,0.09989210218191147,0,2,0,0,0.22940871119499207,0.19661648571491241,1303,Stephan Lichtsteiner
0,0,0,90,DR,Wolfsburg,Augsburg,0,0,2019-10-27,12480,2019,360182,0.04508325830101967,0,1,0,0,0.06032050400972366,0.06032050400972366,1303,Stephan Lichtsteiner
0,0,0,90,DR,Augsburg,Bayern Munich,2,2,2019-10-19,12466,2019,357585,0,0,0,0,0,0.802152693271637,0.802152693271637,1303,Stephan Lichtsteiner
0,0,0,47,DR,Borussia M.Gladbach,Augsburg,5,1,2019-10-06,12465,2019,356790,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Augsburg,Bayer Leverkusen,0,3,2019-09-28,12451,2019,354471,0,0,0,0,0,0.012647230178117752,0.012647230178117752,1303,Stephan Lichtsteiner
0,1,0.014025183394551277,90,DR,Freiburg,Augsburg,1,1,2019-09-21,12441,2019,352144,0,0,0,0,0.014025183394551277,0.034235067665576935,0.034235067665576935,1303,Stephan Lichtsteiner
0,0,0,33,DR,Werder Bremen,Augsburg,3,2,2019-09-01,12428,2019,348053,0.06329932063817978,1,1,0,0,0.06329932063817978,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Augsburg,Union Berlin,1,1,2019-08-24,12417,2019,343953,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Burnley,Arsenal,1,3,2019-05-12,9575,2018,332245,0.031834714114665985,0,1,0,0,0.7608546614646912,0.7290199398994446,1303,Stephan Lichtsteiner
0,0,0,79,DR,Arsenal,Brighton,1,1,2019-05-05,9566,2018,331090,0,0,0,0,0,0.0894029289484024,0.0894029289484024,1303,Stephan Lichtsteiner
0,0,0,58,DR,Arsenal,Southampton,2,0,2019-02-24,9466,2018,304905,0,0,0,0,0,0.07975508272647858,0.07975508272647858,1303,Stephan Lichtsteiner
0,0,0,90,DR,Manchester City,Arsenal,3,1,2019-02-03,9439,2018,304368,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,61,DR,Arsenal,Cardiff,2,1,2019-01-29,9431,2018,303862,0,0,0,0,0,0.0348123200237751,0.0348123200237751,1303,Stephan Lichtsteiner
0,0,0,90,DR,Liverpool,Arsenal,5,1,2018-12-29,9391,2018,291520,0.01941094733774662,0,1,0,0,0.05205975100398064,0.032648805528879166,1303,Stephan Lichtsteiner
0,0,0,90,DR,Brighton,Arsenal,1,1,2018-12-26,9386,2018,279234,0,0,0,0,0,0.36702561378479004,0.36702561378479004,1303,Stephan Lichtsteiner
0,0,0,54,Sub,Arsenal,Burnley,3,1,2018-12-22,9376,2018,278765,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,76,DC,Southampton,Arsenal,3,2,2018-12-16,9360,2018,278659,0,0,0,0,0,0.23837237060070038,0.23837237060070038,1303,Stephan Lichtsteiner
0,0,0,49,DC,Arsenal,Huddersfield,1,0,2018-12-08,9356,2018,278310,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,55,Sub,Manchester United,Arsenal,2,2,2018-12-05,9344,2018,278139,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,43,Sub,Crystal Palace,Arsenal,2,2,2018-10-28,9294,2018,276723,0.035209979861974716,0,1,0,0,0,0,1303,Stephan Lichtsteiner
0,1,0.018410898745059967,62,DL,Arsenal,Leicester,3,1,2018-10-22,9286,2018,276509,0,0,0,0,0.018410898745059967,0.018410898745059967,0,1303,Stephan Lichtsteiner
0,0,0,56,Sub,Arsenal,Manchester City,0,2,2018-08-12,9206,2018,258666,0,0,0,0,0,0.019882772117853165,0.019882772117853165,1303,Stephan Lichtsteiner
0,2,0.7722955346107483,90,DR,Juventus,Verona,2,1,2018-05-19,7874,2017,240482,0,0,0,0,0.010996729135513306,0.4343554973602295,0.4233587682247162,1303,Stephan Lichtsteiner
0,0,0,17,Sub,Juventus,Bologna,3,1,2018-05-05,7851,2017,237803,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,80,Sub,Juventus,Napoli,0,1,2018-04-22,7835,2017,235250,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,90,DR,Crotone,Juventus,1,1,2018-04-18,7824,2017,233639,0.017927885055541992,0,1,0,0,0.06584219634532928,0.06584219634532928,1303,Stephan Lichtsteiner
0,0,0,90,DR,Benevento,Juventus,2,4,2018-04-07,7806,2017,231554,0.01879860833287239,0,1,0,0,0.10351649671792984,0.10351649671792984,1303,Stephan Lichtsteiner
0,0,0,47,DMR,Juventus,AC Milan,3,1,2018-03-31,7792,2017,228033,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,50,DR,Juventus,Atalanta,2,0,2018-03-14,7756,2017,223596,0,0,0,0,0,0.11738160252571106,0.11738160252571106,1303,Stephan Lichtsteiner
0,0,0,60,DMR,Lazio,Juventus,0,1,2018-03-03,7765,2017,221152,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,1,Sub,Torino,Juventus,0,1,2018-02-18,7746,2017,218347,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,64,DR,Fiorentina,Juventus,0,2,2018-02-09,7735,2017,217635,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,18,Sub,Chievo,Juventus,0,2,2018-01-28,7715,2017,210882,0,0,0,0,0,0.031881071627140045,0.031881071627140045,1303,Stephan Lichtsteiner
0,0,0,85,DR,Juventus,Genoa,1,0,2018-01-22,7703,2017,210110,0,0,0,0,0,0.0988340899348259,0.0988340899348259,1303,Stephan Lichtsteiner
0,0,0,8,Sub,Cagliari,Juventus,0,1,2018-01-06,7694,2017,207156,0,0,0,0,0,0,0,1303,Stephan Lichtsteiner
0,0,0,74,DR,Verona,Juventus,1,3,2017-12-30,7684,2017,206312,0.2142450511455536,1,2,0,0,0.6753649115562439,0.5456711649894714,1303,Stephan Lichtsteiner
