goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,DMC,Tottenham,Southampton,3,1,2018-12-05,9346,2018,278160,0.45079314708709717,1,3,0,0,0.533798336982727,0.12865033745765686,883,Steven Davis
0,0,0,1,Sub,Southampton,Manchester United,2,2,2018-12-01,9327,2018,277819,0,0,0,0,0,0,0,883,Steven Davis
0,0,0,5,Sub,Southampton,Brighton,2,2,2018-09-17,9246,2018,259946,0,0,0,0,0,0,0,883,Steven Davis
0,0,0,32,Sub,Leicester,Southampton,0,0,2018-04-19,7464,2017,233900,0,0,0,0,0,0.01927271857857704,0.01927271857857704,883,Steven Davis
0,0,0,9,Sub,Southampton,Liverpool,0,2,2018-02-11,7384,2017,215199,0,0,0,0,0,0,0,883,Steven Davis
0,1,0.011437587440013885,90,AMC,Southampton,Brighton,1,1,2018-01-31,7363,2017,215496,0.032807059586048126,0,1,0,0.011437587440013885,0.07697468250989914,0.06553709506988525,883,Steven Davis
0,0,0,9,Sub,Southampton,Tottenham,1,1,2018-01-21,7355,2017,209898,0,0,0,0,0,0.09805186092853546,0.09805186092853546,883,Steven Davis
0,0,0,64,AML,Watford,Southampton,2,2,2018-01-13,7347,2017,207756,0.17084939777851105,0,2,0,0,0.2444590926170349,0.1965349316596985,883,Steven Davis
0,0,0,18,Sub,Southampton,Crystal Palace,1,2,2018-01-02,7336,2017,206559,0,0,0,0,0,0,0,883,Steven Davis
0,1,0.0985245481133461,76,DMC,Southampton,Huddersfield,1,1,2017-12-23,7307,2017,203147,0,0,0,0,0.0985245481133461,0.594875156879425,0.49635058641433716,883,Steven Davis
0,0,0,90,AMC,Southampton,Leicester,1,4,2017-12-13,7285,2017,202981,0,0,0,0,0,0.04658040404319763,0.04658040404319763,883,Steven Davis
0,0,0,1,Sub,Southampton,Arsenal,1,1,2017-12-10,7278,2017,198943,0,0,0,0,0,0,0,883,Steven Davis
0,1,0.035747796297073364,86,DMC,Bournemouth,Southampton,1,1,2017-12-03,7267,2017,179552,0,0,0,0,0.035747796297073364,0.20045994222164154,0.20045994222164154,883,Steven Davis
1,1,0.05547148734331131,90,DMC,Southampton,Everton,4,1,2017-11-26,7241,2017,179593,0.01750246435403824,0,1,1,0.05547148734331131,0.3125264644622803,0.23955251276493073,883,Steven Davis
0,0,0,90,DMC,Liverpool,Southampton,3,0,2017-11-18,7231,2017,178814,0,0,0,0,0,0,0,883,Steven Davis
0,2,0.11866942793130875,90,DMC,Southampton,Burnley,0,1,2017-11-04,7223,2017,179155,0,0,0,0,0.11866942793130875,0.17942295968532562,0.1146346926689148,883,Steven Davis
