goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0777866393327713,90,DC,Lazio,Genoa,4,3,2021-05-02,15760,2020,467275,0.07128071784973145,0,1,0,0.0777866393327713,0.2605510354042053,0.2605510354042053,1203,Wesley Hoedt
0,0,0,2,Sub,Lazio,Benevento,5,3,2021-04-18,15726,2020,463356,0,0,0,0,0,0.11970075964927673,0.11970075964927673,1203,Wesley Hoedt
0,0,0,90,DC,Juventus,Lazio,3,1,2021-03-06,15681,2020,454855,0,0,0,0,0,0.04480162635445595,0.04480162635445595,1203,Wesley Hoedt
0,0,0,90,DC,Bologna,Lazio,2,0,2021-02-27,15662,2020,452424,0,0,0,0,0,0.08233602344989777,0.08233602344989777,1203,Wesley Hoedt
0,0,0,49,DC,Inter,Lazio,3,1,2021-02-14,15641,2020,449947,0,0,0,0,0,0.024428026750683784,0.024428026750683784,1203,Wesley Hoedt
0,0,0,5,Sub,Lazio,Roma,3,0,2021-01-15,15601,2020,442053,0,0,0,0,0,0.03551190719008446,0.03551190719008446,1203,Wesley Hoedt
0,0,0,90,DC,Lazio,Fiorentina,2,1,2021-01-06,15580,2020,440090,0,0,0,0,0,0.3923119008541107,0.3923119008541107,1203,Wesley Hoedt
0,0,0,1,Sub,AC Milan,Lazio,3,2,2020-12-23,15559,2020,437769,0,0,0,0,0,0,0,1203,Wesley Hoedt
0,1,0.05592397227883339,90,DC,Lazio,Napoli,2,0,2020-12-20,15551,2020,436990,0,0,0,0,0.05592397227883339,0,0,1203,Wesley Hoedt
0,0,0,90,DC,Benevento,Lazio,1,1,2020-12-15,15536,2020,434426,0.0152587890625,0,1,0,0,0.2979429364204407,0.2979429364204407,1203,Wesley Hoedt
0,0,0,63,Sub,Lazio,Verona,1,2,2020-12-12,15531,2020,433272,0,0,0,0,0,0.058156754821538925,0.058156754821538925,1203,Wesley Hoedt
0,0,0,1,Sub,Spezia,Lazio,1,2,2020-12-05,15523,2020,431160,0,0,0,0,0,0,0,1203,Wesley Hoedt
0,0,0,10,Sub,Crotone,Lazio,0,2,2020-11-21,15496,2020,427759,0,0,0,0,0,0,0,1203,Wesley Hoedt
0,0,0,34,Sub,Lazio,Juventus,1,1,2020-11-08,15491,2020,426704,0,0,0,0,0,0.07209084928035736,0.07209084928035736,1203,Wesley Hoedt
0,0,0,90,DC,Torino,Lazio,3,4,2020-11-01,15483,2020,425227,0,0,0,0,0,0.17644701898097992,0.17644701898097992,1203,Wesley Hoedt
0,0,0,90,DC,Lazio,Bologna,2,1,2020-10-24,15472,2020,423120,0,0,0,0,0,0.1206713393330574,0.1206713393330574,1203,Wesley Hoedt
