goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.0199369415640831,35,FW,Valencia,Eibar,4,1,2021-05-16,15146,2020,471834,0,0,0,0,0.0199369415640831,0.08662662655115128,0.08662662655115128,47,Yoshinori Muto
0,0,0,10,Sub,Eibar,Real Betis,1,1,2021-05-13,15130,2020,470533,0,0,0,0,0,0,0,47,Yoshinori Muto
0,0,0,6,Sub,Eibar,Alaves,3,0,2021-05-01,15114,2020,466863,0.06337585300207138,0,1,0,0,0.06337585300207138,0,47,Yoshinori Muto
0,1,0.1253768652677536,20,Sub,Eibar,Real Sociedad,0,1,2021-04-26,15090,2020,466565,0,0,0,0,0.1253768652677536,0.1253768652677536,0,47,Yoshinori Muto
0,0,0,9,Sub,Cadiz,Eibar,1,0,2021-03-06,15031,2020,454801,0,0,0,0,0,0,0,47,Yoshinori Muto
0,0,0,17,Sub,Eibar,SD Huesca,1,1,2021-02-27,15020,2020,452047,0,0,0,0,0,0.07548071444034576,0.07548071444034576,47,Yoshinori Muto
0,1,0.5735925436019897,32,Sub,Elche,Eibar,1,0,2021-02-20,15017,2020,450545,0.08987218141555786,0,2,0,0.5735925436019897,0.6634647250175476,0,47,Yoshinori Muto
0,0,0,11,Sub,Eibar,Real Valladolid,1,1,2021-02-13,15000,2020,449205,0,0,0,0,0,0.10483649373054504,0.10483649373054504,47,Yoshinori Muto
0,2,0.058247022330760956,90,MR,Osasuna,Eibar,2,1,2021-02-07,14994,2020,448514,0.12061277776956558,0,1,0,0.058247022330760956,0.2318248748779297,0.05296507105231285,47,Yoshinori Muto
0,1,0.0630360096693039,63,FW,Eibar,Sevilla,0,2,2021-01-30,14980,2020,445414,0,0,0,0,0.0630360096693039,0.1180374026298523,0.0550013929605484,47,Yoshinori Muto
0,1,0.02214311808347702,90,MR,Celta Vigo,Eibar,1,1,2021-01-24,14974,2020,444818,0.2572895288467407,1,1,0,0.02214311808347702,0.27943262457847595,0.2572895288467407,47,Yoshinori Muto
0,1,0.01744232140481472,79,AMR,Eibar,Atletico Madrid,1,2,2021-01-21,14962,2020,443749,0,0,0,0,0.01744232140481472,0.1272161602973938,0.10977383702993393,47,Yoshinori Muto
0,1,0.04492296651005745,17,Sub,Levante,Eibar,2,1,2021-01-10,14953,2020,441383,0.02445894107222557,0,1,0,0.04492296651005745,0.06938190758228302,0,47,Yoshinori Muto
0,1,0.07422828674316406,14,Sub,Eibar,Granada,2,0,2021-01-03,14940,2020,439830,0.38974326848983765,0,1,0,0.07422828674316406,0.4639715552330017,0,47,Yoshinori Muto
0,0,0,13,Sub,Barcelona,Eibar,1,1,2020-12-29,14928,2020,438541,0,0,0,0,0,0,0,47,Yoshinori Muto
0,3,0.4216362535953522,90,FW,Eibar,Real Madrid,1,3,2020-12-20,14911,2020,437029,0,0,0,0,0.4216362535953522,0.45173171162605286,0.03009544499218464,47,Yoshinori Muto
0,2,0.10717791318893433,46,FW,Real Sociedad,Eibar,1,1,2020-12-13,14904,2020,433513,0,0,0,0,0.10717791318893433,0.10717791318893433,0,47,Yoshinori Muto
0,1,0.014129789546132088,84,FW,Eibar,Valencia,0,0,2020-12-07,14894,2020,432529,0.10372643917798996,0,2,0,0.014129789546132088,0.1178562268614769,0.03679295629262924,47,Yoshinori Muto
1,2,0.6882942914962769,80,FW,Real Betis,Eibar,0,2,2020-11-30,14876,2020,430860,0,0,0,1,0.6882942914962769,0.10998725891113281,0.09734658151865005,47,Yoshinori Muto
0,1,0.0479869544506073,77,FW,Eibar,Getafe,0,0,2020-11-22,14868,2020,428416,0,0,0,0,0.0479869544506073,0.11981912702322006,0.07183217257261276,47,Yoshinori Muto
0,0,0,25,Sub,SD Huesca,Eibar,1,1,2020-11-07,14858,2020,426088,0,0,0,0,0,0.030123643577098846,0.030123643577098846,47,Yoshinori Muto
0,0,0,7,Sub,Eibar,Cadiz,0,2,2020-10-30,14849,2020,424141,0,0,0,0,0,0.059831418097019196,0.059831418097019196,47,Yoshinori Muto
0,0,0,59,FW,Eibar,Osasuna,0,0,2020-10-18,14829,2020,421551,0.03467874228954315,0,1,0,0,0.10710950940847397,0.07243076711893082,47,Yoshinori Muto
0,2,0.16781085729599,78,FW,Real Valladolid,Eibar,1,2,2020-10-03,14823,2020,419243,0.010026725940406322,0,1,0,0.16781085729599,0.1778375804424286,0,47,Yoshinori Muto
0,1,0.03191918134689331,65,FW,Eibar,Elche,0,1,2020-09-30,14166,2020,418981,0,0,0,0,0.03191918134689331,0.03191918134689331,0,47,Yoshinori Muto
