goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.05465800315141678,90,DMC,Norwich,Burnley,0,2,2020-07-18,12008,2019,409668,0,0,0,0,0.05465800315141678,0.030022645369172096,0.030022645369172096,791,Alexander Tettey
0,0,0,82,DMC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408490,0,0,0,0,0,0,0,791,Alexander Tettey
0,0,0,90,DMC,Norwich,West Ham,0,4,2020-07-11,11988,2019,407329,0,0,0,0,0,0.3517727851867676,0.3517727851867676,791,Alexander Tettey
0,0,0,57,DMC,Watford,Norwich,2,1,2020-07-07,11981,2019,406232,0,0,0,0,0,0.1683058738708496,0.1683058738708496,791,Alexander Tettey
0,1,0.02274586260318756,80,DMC,Norwich,Brighton,0,1,2020-07-04,11969,2019,405064,0,0,0,0,0.02274586260318756,0.07413875311613083,0.051392894238233566,791,Alexander Tettey
0,0,0,90,DC,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404423,0,0,0,0,0,0,0,791,Alexander Tettey
0,2,0.029247255995869637,81,DMC,Norwich,Everton,0,1,2020-06-24,11948,2019,402338,0,0,0,0,0.029247255995869637,0.1326070874929428,0.10335983335971832,791,Alexander Tettey
0,0,0,67,DMC,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387689,0,0,0,0,0,0.030744271352887154,0.030744271352887154,791,Alexander Tettey
0,1,0.017503859475255013,90,DMC,Norwich,Leicester,1,0,2020-02-28,11919,2019,387405,0,0,0,0,0.017503859475255013,0.06108865886926651,0.04358479753136635,791,Alexander Tettey
0,1,0.017772918567061424,90,DMC,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387336,0,0,0,0,0.017772918567061424,0.25698527693748474,0.23921236395835876,791,Alexander Tettey
0,1,0.02092643454670906,86,DMC,Norwich,Liverpool,0,1,2020-02-15,11899,2019,386991,0,0,0,0,0.02092643454670906,0.0725378543138504,0.05161141976714134,791,Alexander Tettey
0,2,0.039934493601322174,88,DMC,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386624,0,0,0,0,0.039934493601322174,0.8093732595443726,0.7694388031959534,791,Alexander Tettey
0,1,0.02097891829907894,83,DMC,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386491,0.03776523843407631,0,1,0,0.02097891829907894,0.26263776421546936,0.24165885150432587,791,Alexander Tettey
