goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
2,5,1.7460418939590454,72,FW,Villarreal,Valencia,2,0,2022-04-19,17465,2021,527595,0.05003698170185089,0,2,1,1.0027642250061035,1.0265270471572876,0,8066,Arnaut Danjuma Groeneveld
0,1,0.04071982949972153,29,Sub,Getafe,Villarreal,1,2,2022-04-16,17450,2021,526723,0.12643547356128693,0,2,0,0.04071982949972153,0.12643547356128693,0,8066,Arnaut Danjuma Groeneveld
0,1,0.041647981852293015,25,Sub,Villarreal,Athletic Club,1,1,2022-04-09,17444,2021,524824,0.05706646293401718,0,1,0,0.041647981852293015,0.05706646293401718,0,8066,Arnaut Danjuma Groeneveld
0,2,0.16011668741703033,79,FW,Levante,Villarreal,2,0,2022-04-02,17433,2021,522884,0.05300305411219597,0,1,0,0.16011668741703033,0.17885145545005798,0.17885145545005798,8066,Arnaut Danjuma Groeneveld
0,1,0.04335537552833557,44,Sub,Cadiz,Villarreal,1,0,2022-03-20,17419,2021,522019,0,0,0,0,0.04335537552833557,0.04335537552833557,0,8066,Arnaut Danjuma Groeneveld
0,2,0.5919912457466125,81,FW,Villarreal,Celta Vigo,1,0,2022-03-12,17415,2021,519541,0.13395075500011444,0,1,0,0.5919912457466125,0.8480014204978943,0.2560102045536041,8066,Arnaut Danjuma Groeneveld
0,1,0.06055667623877525,90,FW,Osasuna,Villarreal,1,0,2022-03-05,17402,2021,517304,0,0,0,0,0.06055667623877525,0.11094313114881516,0.0503864511847496,8066,Arnaut Danjuma Groeneveld
0,3,0.2642021179199219,77,FW,Villarreal,Espanyol,5,1,2022-02-27,17395,2021,516464,0.7934197187423706,1,1,0,0.2642021179199219,1.0576218366622925,0,8066,Arnaut Danjuma Groeneveld
3,7,3.4308924674987793,90,FW,Granada,Villarreal,1,4,2022-02-19,17380,2021,513988,0.5615853667259216,0,2,1,1.9443371295928955,2.0517802238464355,0,8066,Arnaut Danjuma Groeneveld
0,2,0.2364492267370224,72,FW,Villarreal,Real Madrid,0,0,2022-02-12,17375,2021,512738,0,0,0,0,0.2364492267370224,0.2364492267370224,0,8066,Arnaut Danjuma Groeneveld
0,1,0.5960733890533447,24,Sub,Real Betis,Villarreal,0,2,2022-02-06,17358,2021,511905,0,0,0,0,0.5960733890533447,0.5960733890533447,0,8066,Arnaut Danjuma Groeneveld
