goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,90,AMC,Villarreal,Real Sociedad,1,2,2022-05-15,17505,2021,536615,0.12211970239877701,0,2,0,0,2.007899284362793,1.9509369134902954,617,David Silva
0,1,0.06242690980434418,90,MC,Real Sociedad,Cadiz,3,0,2022-05-12,17491,2021,534953,0.6286985278129578,1,5,0,0.06242690980434418,1.0490983724594116,0.4476572871208191,617,David Silva
1,3,0.9499947428703308,90,AMC,Levante,Real Sociedad,2,1,2022-05-06,17484,2021,531956,0.55124831199646,0,8,1,0.9499947428703308,1.444915771484375,0.3242645263671875,617,David Silva
0,0,0,90,AMC,Real Sociedad,Real Betis,0,0,2022-04-15,17452,2021,525980,0.6487630605697632,0,5,0,0,0.4462006092071533,0.01046539843082428,617,David Silva
0,1,0.04471678286790848,81,AMC,Elche,Real Sociedad,1,2,2022-04-10,17445,2021,525655,0.8761230707168579,2,3,0,0.04471678286790848,1.0158562660217285,0.15718011558055878,617,David Silva
0,1,0.12577416002750397,89,AMC,Real Sociedad,Espanyol,1,0,2022-04-04,17434,2021,523980,0.062362201511859894,0,2,0,0.12577416002750397,0.5842671394348145,0.4584929645061493,617,David Silva
0,2,0.14077536761760712,25,Sub,Sevilla,Real Sociedad,0,0,2022-03-20,17423,2021,522200,0,0,0,0,0.14077536761760712,0.17048001289367676,0.17048001289367676,617,David Silva
0,0,0,47,FW,Real Madrid,Real Sociedad,4,1,2022-03-05,17403,2021,517897,0,0,0,0,0,0,0,617,David Silva
1,2,0.6112627387046814,90,AMC,Mallorca,Real Sociedad,0,2,2022-03-02,17341,2021,517118,0.1366322934627533,0,1,1,0.6112627387046814,0.8375734090805054,0.22631067037582397,617,David Silva
0,0,0,90,AMC,Real Sociedad,Osasuna,1,0,2022-02-27,17392,2021,516856,0.03185117244720459,0,1,0,0,0.08144062012434006,0.049589451402425766,617,David Silva
