goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,3,0.15977561473846436,69,FW,Eintracht Frankfurt,Paderborn,3,2,2020-06-27,12704,2019,403116,0,0,0,0,0.15977561473846436,0.26985278725624084,0.16565212607383728,7822,Dennis Srbeny
0,0,0,75,FW,Paderborn,Borussia M.Gladbach,1,3,2020-06-20,12699,2019,401214,0.05384069308638573,1,1,0,0,0.05384069308638573,0,7822,Dennis Srbeny
0,0,0,21,Sub,Union Berlin,Paderborn,1,0,2020-06-16,12690,2019,400255,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,2,0.05762036144733429,47,FW,Paderborn,Werder Bremen,1,5,2020-06-13,12681,2019,399712,0,0,0,0,0.05762036144733429,0.05762036144733429,0,7822,Dennis Srbeny
0,2,0.11222632229328156,86,AMC,RasenBallsport Leipzig,Paderborn,1,1,2020-06-06,12665,2019,399203,0,0,0,0,0.11222632229328156,0.017355645075440407,0,7822,Dennis Srbeny
0,0,0,66,MC,Paderborn,Borussia Dortmund,1,6,2020-05-31,12663,2019,399063,0.10057102143764496,0,1,0,0,0.15105970203876495,0.0504886768758297,7822,Dennis Srbeny
0,0,0,90,FW,Augsburg,Paderborn,0,0,2020-05-27,12650,2019,398804,0.38450562953948975,0,2,0,0,0.4019802212715149,0.01747460477054119,7822,Dennis Srbeny
1,2,0.023348549380898476,76,FW,Paderborn,Hoffenheim,1,1,2020-05-23,12637,2019,398336,0,0,0,1,0.023348549380898476,0.04094063490629196,0.017592083662748337,7822,Dennis Srbeny
0,2,0.060268573462963104,73,FW,Fortuna Duesseldorf,Paderborn,0,0,2020-05-16,12633,2019,398162,0,0,0,0,0.060268573462963104,0.07892148196697235,0.018652908504009247,7822,Dennis Srbeny
1,4,0.2010357677936554,90,FW,Paderborn,FC Cologne,1,2,2020-03-06,12627,2019,396528,0.01935346983373165,0,1,1,0.2010357677936554,0.2203892320394516,0,7822,Dennis Srbeny
0,1,0.04073169827461243,90,FW,Mainz 05,Paderborn,2,0,2020-02-29,12615,2019,395712,0,0,0,0,0.04073169827461243,0.1800128072500229,0.13928109407424927,7822,Dennis Srbeny
1,1,0.4004218280315399,83,AMC,Bayern Munich,Paderborn,3,2,2020-02-21,12601,2019,394496,0,0,0,1,0.4004218280315399,0.5002796649932861,0.09985782206058502,7822,Dennis Srbeny
1,5,0.2052803933620453,43,Sub,Paderborn,Hertha Berlin,1,2,2020-02-15,12599,2019,393623,0,0,0,1,0.2052803933620453,0.17074447870254517,0.008931498974561691,7822,Dennis Srbeny
0,1,0.03341745212674141,19,Sub,Schalke 04,Paderborn,1,1,2020-02-08,12591,2019,392637,0,0,0,0,0.03341745212674141,0.03341745212674141,0,7822,Dennis Srbeny
0,1,0.10573913902044296,77,FW,Paderborn,Wolfsburg,2,4,2020-02-02,12582,2019,391813,0,0,0,0,0.10573913902044296,0.10573913902044296,0,7822,Dennis Srbeny
0,2,0.11666326969861984,63,FW,Freiburg,Paderborn,0,2,2020-01-25,12572,2019,390134,0,0,0,0,0.11666326969861984,0.11666326969861984,0,7822,Dennis Srbeny
1,2,0.748070240020752,67,FW,Paderborn,Bayer Leverkusen,1,4,2020-01-19,12564,2019,389705,0.10784228146076202,0,2,1,0.748070240020752,0.8788896799087524,0.022977164015173912,7822,Dennis Srbeny
0,0,0,2,Sub,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371518,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,1,0.04873605817556381,7,Sub,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369005,0,0,0,0,0.04873605817556381,0,0,7822,Dennis Srbeny
1,1,0.4334107041358948,1,Sub,Everton,Norwich,0,2,2019-11-23,11768,2019,364819,0,0,0,1,0.4334107041358948,0.4334107041358948,0,7822,Dennis Srbeny
0,0,0,2,Sub,Brighton,Norwich,2,0,2019-11-02,11746,2019,361521,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,0,0,1,Sub,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357942,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,0,0,8,Sub,Norwich,Aston Villa,1,5,2019-10-05,11717,2019,356285,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,0,0,1,Sub,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349271,0,0,0,0,0,0,0,7822,Dennis Srbeny
0,0,0,7,Sub,Norwich,Chelsea,2,3,2019-08-24,11664,2019,343824,0,0,0,0,0,0,0,7822,Dennis Srbeny
