goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,1.158916711807251,84,DC,Sassuolo,AC Milan,0,3,2022-05-22,17132,2021,538050,0,0,0,0,1.158916711807251,0,0,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Atalanta,2,0,2022-05-15,17121,2021,536282,0,0,0,0,0,0.5331005454063416,0.5331005454063416,703,Fikayo Tomori
0,1,0.03160262480378151,90,DC,Verona,AC Milan,1,3,2022-05-08,17108,2021,534070,0,0,0,0,0.03160262480378151,0.42857879400253296,0.42857879400253296,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Fiorentina,1,0,2022-05-01,17100,2021,531102,0,0,0,0,0,0.2709936201572418,0.2709936201572418,703,Fikayo Tomori
0,1,0.06509757041931152,90,DC,Lazio,AC Milan,1,2,2022-04-24,17091,2021,529731,0.014914821833372116,0,1,0,0.06509757041931152,0.7999365329742432,0.7999365329742432,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Genoa,2,0,2022-04-15,17081,2021,525943,0,0,0,0,0,0.4504362940788269,0.4504362940788269,703,Fikayo Tomori
0,0,0,87,DC,Torino,AC Milan,0,0,2022-04-10,17074,2021,525740,0,0,0,0,0,0.08214091509580612,0.08214091509580612,703,Fikayo Tomori
0,2,0.3835104703903198,90,DC,AC Milan,Bologna,0,0,2022-04-04,17061,2021,523915,0.012925375252962112,0,1,0,0.3835104703903198,0.2785932123661041,0.2656678259372711,703,Fikayo Tomori
0,0,0,90,DC,Cagliari,AC Milan,0,1,2022-03-19,17047,2021,521463,0,0,0,0,0,0.14279261231422424,0.14279261231422424,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Empoli,1,0,2022-03-12,17040,2021,519593,0,0,0,0,0,0.3711538314819336,0.3711538314819336,703,Fikayo Tomori
0,1,0.039571598172187805,90,DC,Napoli,AC Milan,0,1,2022-03-06,17032,2021,518574,0,0,0,0,0.039571598172187805,0.02825355716049671,0.02825355716049671,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Udinese,1,1,2022-02-25,17021,2021,515483,0,0,0,0,0,0.21237488090991974,0.21237488090991974,703,Fikayo Tomori
0,0,0,90,DC,Salernitana,AC Milan,2,2,2022-02-19,17012,2021,514512,0.006077365018427372,0,1,0,0,0.38461461663246155,0.37853726744651794,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Sampdoria,1,0,2022-02-13,17001,2021,513004,0,0,0,0,0,0.22680382430553436,0.22680382430553436,703,Fikayo Tomori
0,0,0,90,DC,Empoli,AC Milan,2,4,2021-12-22,16936,2021,504764,0,0,0,0,0,0,0,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Napoli,0,1,2021-12-19,16931,2021,504323,0,0,0,0,0,0.06972137093544006,0.06972137093544006,703,Fikayo Tomori
0,1,0.01021244190633297,90,DC,Udinese,AC Milan,1,1,2021-12-11,16924,2021,502020,0,0,0,0,0.01021244190633297,0.16760069131851196,0.16760069131851196,703,Fikayo Tomori
0,1,0.0194258950650692,90,DC,AC Milan,Salernitana,2,0,2021-12-04,16910,2021,499703,0,0,0,0,0.0194258950650692,0.7087959051132202,0.7087959051132202,703,Fikayo Tomori
0,0,0,90,DC,Genoa,AC Milan,0,3,2021-12-01,16899,2021,499075,0,0,0,0,0,0.29175427556037903,0.29175427556037903,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Inter,1,1,2021-11-07,16870,2021,495154,0.023795681074261665,0,1,0,0,0.11600209027528763,0.09220641106367111,703,Fikayo Tomori
0,0,0,90,DC,Roma,AC Milan,1,2,2021-10-31,16862,2021,493345,0,0,0,0,0,0.38182172179222107,0.38182172179222107,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Torino,1,0,2021-10-26,16850,2021,491233,0,0,0,0,0,0,0,703,Fikayo Tomori
0,0,0,90,DC,Bologna,AC Milan,2,4,2021-10-23,16837,2021,490252,0,0,0,0,0,0.28354254364967346,0.28354254364967346,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Verona,3,2,2021-10-16,16831,2021,488483,0,0,0,0,0,0.015576456673443317,0.015576456673443317,703,Fikayo Tomori
0,0,0,90,DC,Atalanta,AC Milan,2,3,2021-10-03,16816,2021,487667,0,0,0,0,0,0.3886842727661133,0.3886842727661133,703,Fikayo Tomori
0,0,0,90,DC,Spezia,AC Milan,1,2,2021-09-25,16812,2021,484470,0,0,0,0,0,0.3947068452835083,0.3947068452835083,703,Fikayo Tomori
0,0,0,31,Sub,AC Milan,Venezia,2,0,2021-09-22,16800,2021,483888,0,0,0,0,0,1.0380967855453491,1.0380967855453491,703,Fikayo Tomori
0,1,0.013501829467713833,90,DR,Juventus,AC Milan,1,1,2021-09-19,16790,2021,483204,0,0,0,0,0.013501829467713833,0.46856576204299927,0.45506393909454346,703,Fikayo Tomori
0,1,0.13996349275112152,90,DC,AC Milan,Lazio,2,0,2021-09-12,16780,2021,481266,0,0,0,0,0.13996349275112152,0.6196939945220947,0.6196939945220947,703,Fikayo Tomori
0,1,0.08644068241119385,90,DC,AC Milan,Cagliari,4,1,2021-08-29,16774,2021,479900,0,0,0,0,0.08644068241119385,0.4645364582538605,0.4645364582538605,703,Fikayo Tomori
0,0,0,90,DC,Sampdoria,AC Milan,0,1,2021-08-23,16765,2021,478181,0,0,0,0,0,0,0,703,Fikayo Tomori
0,0,0,90,DC,Atalanta,AC Milan,0,2,2021-05-23,15801,2020,473644,0,0,0,0,0,0.023028597235679626,0.023028597235679626,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Cagliari,0,0,2021-05-16,15788,2020,471930,0,0,0,0,0,0.7130826711654663,0.7130826711654663,703,Fikayo Tomori
0,0,0,90,DC,Torino,AC Milan,0,7,2021-05-12,15780,2020,470303,0,0,0,0,0,0.01777082309126854,0.01777082309126854,703,Fikayo Tomori
1,1,0.10861799865961075,90,DC,Juventus,AC Milan,0,3,2021-05-09,15771,2020,469674,0,0,0,1,0.10861799865961075,0.11128909140825272,0.11128909140825272,703,Fikayo Tomori
0,1,0.3716799318790436,90,DC,AC Milan,Benevento,2,0,2021-05-01,15757,2020,467156,0,0,0,0,0.3716799318790436,0.6714407205581665,0.6714407205581665,703,Fikayo Tomori
0,1,0.012714649550616741,90,DC,Lazio,AC Milan,3,0,2021-04-26,15749,2020,466514,0,0,0,0,0.012714649550616741,0.07724381983280182,0.07724381983280182,703,Fikayo Tomori
0,1,0.040705226361751556,90,DC,AC Milan,Sassuolo,1,2,2021-04-21,15744,2020,464185,0,0,0,0,0.040705226361751556,0.49931326508522034,0.49931326508522034,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Genoa,2,1,2021-04-18,15728,2020,463160,0,0,0,0,0,0.15522204339504242,0.15522204339504242,703,Fikayo Tomori
0,0,0,90,DC,Parma Calcio 1913,AC Milan,1,3,2021-04-10,15722,2020,461316,0,0,0,0,0,0.2364811897277832,0.2364811897277832,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Sampdoria,1,1,2021-04-03,15712,2020,459067,0,0,0,0,0,0.02599591389298439,0.02599591389298439,703,Fikayo Tomori
0,0,0,90,DC,Fiorentina,AC Milan,2,3,2021-03-21,15701,2020,458870,0,0,0,0,0,0.7286363244056702,0.7286363244056702,703,Fikayo Tomori
0,0,0,90,DC,AC Milan,Napoli,0,1,2021-03-14,15690,2020,457331,0,0,0,0,0,0.5327660441398621,0.5327660441398621,703,Fikayo Tomori
0,0,0,90,DC,Verona,AC Milan,0,2,2021-03-07,15682,2020,455094,0,0,0,0,0,0.27263033390045166,0.27263033390045166,703,Fikayo Tomori
0,1,0.4432215392589569,90,DC,Roma,AC Milan,1,2,2021-02-28,15663,2020,453369,0,0,0,0,0.4432215392589569,0.30654287338256836,0.30654287338256836,703,Fikayo Tomori
