goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,2,0.08424019813537598,30,Sub,Osasuna,Cadiz,2,0,2022-01-09,17330,2021,507461,0.014942913316190243,0,1,0,0.08424019813537598,0.0991831123828888,0.014942913316190243,4068,Florin Andone
0,1,0.06374722719192505,35,Sub,Cadiz,Sevilla,0,1,2022-01-03,17324,2021,506119,0.01523145753890276,0,1,0,0.06374722719192505,0.07897868752479553,0,4068,Florin Andone
0,0,0,16,Sub,Villarreal,Cadiz,3,3,2021-10-26,17238,2021,491323,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,71,FW,Rayo Vallecano,Cadiz,3,1,2021-09-26,17198,2021,485758,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,20,Sub,Cadiz,Osasuna,2,3,2021-08-29,17163,2021,479782,0.05974185839295387,0,1,0,0,0.16123437881469727,0.1014925166964531,4068,Florin Andone
0,0,0,29,FW,Brighton,Southampton,0,2,2019-08-24,11666,2019,344045,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,15,Sub,Brighton,West Ham,1,1,2019-08-17,11655,2019,341852,0.058196283876895905,0,1,0,0,0,0,4068,Florin Andone
1,1,0.36459624767303467,25,Sub,Watford,Brighton,0,3,2019-08-10,11648,2019,341314,0,0,0,1,0.36459624767303467,0.36459624767303467,0,4068,Florin Andone
0,0,0,21,Sub,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332214,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,10,Sub,Arsenal,Brighton,1,1,2019-05-05,9566,2018,331116,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,48,FW,Brighton,Newcastle United,1,1,2019-04-27,9556,2018,328443,0,0,0,0,0,0,0,4068,Florin Andone
0,0,0,65,FW,Tottenham,Brighton,1,0,2019-04-23,9519,2018,327355,0,0,0,0,0,0,0,4068,Florin Andone
0,1,0.08946621417999268,34,Sub,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325353,0,0,0,0,0.08946621417999268,0.08946621417999268,0,4068,Florin Andone
0,0,0,59,FW,Brighton,Bournemouth,0,5,2019-04-13,9536,2018,324212,0.043282583355903625,0,1,0,0,0.08338668197393417,0.04010409861803055,4068,Florin Andone
0,1,0.12797729671001434,72,FW,Chelsea,Brighton,3,0,2019-04-03,9462,2018,321955,0,0,0,0,0.12797729671001434,0.12797729671001434,0,4068,Florin Andone
1,2,0.5936384797096252,31,Sub,Brighton,Huddersfield,1,0,2019-03-02,9485,2018,305332,0,0,0,1,0.5936384797096252,0.038782574236392975,0,4068,Florin Andone
