goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,1,Sub,Burnley,Brighton,1,2,2020-07-26,12022,2019,411259,0,0,0,0,0,0,0,882,Glenn Murray
0,0,0,13,Sub,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410347,0,0,0,0,0,0,0,882,Glenn Murray
0,3,0.19686861336231232,62,FW,Southampton,Brighton,1,1,2020-07-16,12002,2019,409477,0.06426852941513062,1,1,0,0.19686861336231232,0.26113712787628174,0,882,Glenn Murray
0,0,0,2,Sub,Leicester,Brighton,0,0,2020-06-23,11945,2019,402057,0,0,0,0,0,0,0,882,Glenn Murray
0,1,0.02323455736041069,22,Sub,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387441,0,0,0,0,0.02323455736041069,0.06655669212341309,0.06655669212341309,882,Glenn Murray
0,1,0.11302662640810013,77,FW,Sheffield United,Brighton,1,1,2020-02-22,11909,2019,387176,0,0,0,0,0.11302662640810013,0.019172942265868187,0.019172942265868187,882,Glenn Murray
0,2,0.07203523814678192,90,FW,Brighton,Watford,1,1,2020-02-08,11895,2019,386888,0,0,0,0,0.07203523814678192,0.07203523814678192,0,882,Glenn Murray
1,2,0.41663363575935364,90,FW,West Ham,Brighton,3,3,2020-02-01,11892,2019,386657,0,0,0,1,0.41663363575935364,0.48409757018089294,0.3705637454986572,882,Glenn Murray
0,0,0,7,Sub,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386183,0,0,0,0,0,0,0,882,Glenn Murray
0,2,0.5459227561950684,16,Sub,Everton,Brighton,1,0,2020-01-11,11860,2019,385903,0,0,0,0,0.5459227561950684,0.5459227561950684,0,882,Glenn Murray
0,1,0.13587164878845215,1,Sub,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372683,0,0,0,0,0.13587164878845215,0.13587164878845215,0,882,Glenn Murray
0,0,0,43,Sub,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371464,0,0,0,0,0,0.04358186200261116,0.04358186200261116,882,Glenn Murray
0,0,0,21,Sub,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369226,0,0,0,0,0,0,0,882,Glenn Murray
0,0,0,6,Sub,Brighton,Leicester,0,2,2019-11-23,11766,2019,364749,0,0,0,0,0,0.02055644616484642,0.02055644616484642,882,Glenn Murray
0,0,0,40,Sub,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363819,0,0,0,0,0,0,0,882,Glenn Murray
0,0,0,6,Sub,Brighton,Everton,3,2,2019-10-26,11734,2019,359459,0,0,0,0,0,0,0,882,Glenn Murray
0,0,0,1,Sub,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355981,0,0,0,0,0,0,0,882,Glenn Murray
0,1,0.011688685975968838,10,Sub,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354635,0,0,0,0,0.011688685975968838,0.011688685975968838,0,882,Glenn Murray
0,3,0.6069883108139038,81,FWL,Brighton,Burnley,1,1,2019-09-14,11685,2019,348991,0,0,0,0,0.6069883108139038,0.6339650750160217,0.026976754888892174,882,Glenn Murray
0,0,0,19,Sub,Manchester City,Brighton,4,0,2019-08-31,11678,2019,347536,0,0,0,0,0,0,0,882,Glenn Murray
0,1,0.021529123187065125,13,Sub,Brighton,Southampton,0,2,2019-08-24,11666,2019,344049,0.34161651134490967,0,1,0,0.021529123187065125,0,0,882,Glenn Murray
0,1,0.46232134103775024,75,FW,Brighton,West Ham,1,1,2019-08-17,11655,2019,341848,0.4616422951221466,0,1,0,0.46232134103775024,0.9802121520042419,0.056248512119054794,882,Glenn Murray
0,0,0,65,FW,Watford,Brighton,0,3,2019-08-10,11648,2019,341310,0,0,0,0,0,0,0,882,Glenn Murray
1,1,0.4726797938346863,69,FW,Brighton,Manchester City,1,4,2019-05-12,9576,2018,332212,0,0,0,1,0.4726797938346863,0,0,882,Glenn Murray
1,3,0.9496278166770935,80,FW,Arsenal,Brighton,1,1,2019-05-05,9566,2018,331113,0.05733540281653404,0,1,0,0.18845894932746887,0.18845894932746887,0,882,Glenn Murray
0,3,0.610113799571991,90,FW,Brighton,Newcastle United,1,1,2019-04-27,9556,2018,328444,0.4561724066734314,1,1,0,0.610113799571991,0.5646766424179077,0.008866663090884686,882,Glenn Murray
0,1,0.010805513709783554,25,Sub,Tottenham,Brighton,1,0,2019-04-23,9519,2018,327358,0.040522873401641846,0,1,0,0.010805513709783554,0.0513283871114254,0,882,Glenn Murray
0,0,0,90,FW,Wolverhampton Wanderers,Brighton,0,0,2019-04-20,9537,2018,326000,0,0,0,0,0,0,0,882,Glenn Murray
0,3,0.17315588891506195,90,FW,Brighton,Cardiff,0,2,2019-04-16,9505,2018,325350,0,0,0,0,0.17315588891506195,0.17315588891506195,0,882,Glenn Murray
0,0,0,31,Sub,Brighton,Bournemouth,0,5,2019-04-13,9536,2018,324215,0,0,0,0,0,0.01611834019422531,0.01611834019422531,882,Glenn Murray
0,0,0,18,Sub,Chelsea,Brighton,3,0,2019-04-03,9462,2018,321959,0,0,0,0,0,0.28621527552604675,0.28621527552604675,882,Glenn Murray
0,3,0.20669785141944885,90,FW,Brighton,Southampton,0,1,2019-03-30,9516,2018,317950,0,0,0,0,0.20669785141944885,0.2289416640996933,0.022243818268179893,882,Glenn Murray
1,1,0.06314441561698914,90,FW,Crystal Palace,Brighton,1,2,2019-03-09,9493,2018,314314,0,0,0,1,0.06314441561698914,0.09838263690471649,0.035238221287727356,882,Glenn Murray
0,1,0.381660133600235,59,FW,Brighton,Huddersfield,1,0,2019-03-02,9485,2018,305328,0,0,0,0,0.381660133600235,0.40251821279525757,0.020858077332377434,882,Glenn Murray
0,2,0.6369243860244751,90,FW,Leicester,Brighton,2,1,2019-02-26,9467,2018,304955,0,0,0,0,0.6369243860244751,0.6369243860244751,0,882,Glenn Murray
0,2,0.07440727949142456,90,FW,Brighton,Burnley,1,3,2019-02-09,9449,2018,304612,0,0,0,0,0.07440727949142456,0.024478716775774956,0,882,Glenn Murray
0,1,0.07330777496099472,73,FW,Brighton,Watford,0,0,2019-02-02,9446,2018,304170,0.016330722719430923,0,1,0,0.07330777496099472,0.016330722719430923,0,882,Glenn Murray
2,6,2.077975273132324,90,FW,Fulham,Brighton,4,2,2019-01-29,9429,2018,303912,0,0,0,2,2.077975273132324,1.3799272775650024,0,882,Glenn Murray
0,1,0.1052393987774849,63,FW,Manchester United,Brighton,2,1,2019-01-19,9421,2018,303697,0,0,0,0,0.1052393987774849,0.2231181263923645,0.11787872016429901,882,Glenn Murray
0,1,0.07074711471796036,66,FW,Brighton,Liverpool,0,1,2019-01-12,9416,2018,303383,0,0,0,0,0.07074711471796036,0.07074711471796036,0,882,Glenn Murray
0,2,0.07333947718143463,84,FW,West Ham,Brighton,2,2,2019-01-02,9398,2018,303150,0,0,0,0,0.07333947718143463,0.07333947718143463,0,882,Glenn Murray
0,1,0.11964292824268341,15,Sub,Brighton,Everton,1,0,2018-12-29,9396,2018,291462,0,0,0,0,0.11964292824268341,0.11964292824268341,0,882,Glenn Murray
0,2,0.1600983440876007,81,FW,Brighton,Arsenal,1,1,2018-12-26,9386,2018,279230,0,0,0,0,0.1600983440876007,0.1600983440876007,0,882,Glenn Murray
0,0,0,8,Sub,Bournemouth,Brighton,2,0,2018-12-22,9375,2018,278944,0,0,0,0,0,0,0,882,Glenn Murray
0,0,0,61,FW,Brighton,Chelsea,1,2,2018-12-16,9366,2018,278680,0.03758464753627777,0,1,0,0,0.03758464753627777,0,882,Glenn Murray
0,1,0.27943599224090576,26,Sub,Burnley,Brighton,1,0,2018-12-08,9354,2018,278306,0.26399052143096924,0,1,0,0.27943599224090576,0.26399052143096924,0,882,Glenn Murray
1,2,0.7901433110237122,34,FW,Brighton,Crystal Palace,3,1,2018-12-04,9337,2018,277927,0,0,0,0,0.028974484652280807,0,0,882,Glenn Murray
0,0,0,7,Sub,Huddersfield,Brighton,1,2,2018-12-01,9332,2018,277778,0,0,0,0,0,0,0,882,Glenn Murray
