goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.03317705914378166,57,FW,Udinese,Spezia,2,3,2022-05-14,17125,2021,535575,0,0,0,0,0.03317705914378166,0.03317705914378166,0,6997,Ignacio Pussetto
0,1,0.018185719847679138,61,FW,Sassuolo,Udinese,1,1,2022-05-07,17112,2021,532783,0.2538488209247589,0,2,0,0.018185719847679138,0.5897429585456848,0.34105709195137024,6997,Ignacio Pussetto
1,1,0.9109013080596924,64,Sub,Udinese,Inter,1,2,2022-05-01,17105,2021,531388,0,0,0,1,0.9109013080596924,0,0,6997,Ignacio Pussetto
0,1,0.6255151629447937,23,Sub,Fiorentina,Udinese,0,4,2022-04-27,16948,2021,529920,0.3083302974700928,1,2,0,0.6255151629447937,0.9338454604148865,0,6997,Ignacio Pussetto
0,0,0,3,Sub,Bologna,Udinese,2,2,2022-04-24,17086,2021,529232,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,1,0.07718212157487869,66,FW,Udinese,Salernitana,0,1,2022-04-20,16944,2021,527626,0,0,0,0,0.07718212157487869,0.07718212157487869,0,6997,Ignacio Pussetto
1,1,0.25609880685806274,15,Sub,Udinese,Empoli,4,1,2022-04-16,17085,2021,526194,0.03061499074101448,1,1,1,0.25609880685806274,0.2867138087749481,0,6997,Ignacio Pussetto
0,1,0.05658497288823128,26,Sub,Udinese,Cagliari,5,1,2022-04-03,17065,2021,523296,0.7199249863624573,1,2,0,0.05658497288823128,0.5078310370445251,0.39424368739128113,6997,Ignacio Pussetto
0,1,0.013323040679097176,21,Sub,Napoli,Udinese,2,1,2022-03-19,17052,2021,521133,0,0,0,0,0.013323040679097176,0.013323040679097176,0,6997,Ignacio Pussetto
0,0,0,2,Sub,Udinese,Roma,1,1,2022-03-13,17045,2021,520400,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,5,Sub,Udinese,Sampdoria,2,1,2022-03-05,17034,2021,517321,0,0,0,0,0,0.04372836649417877,0.04372836649417877,6997,Ignacio Pussetto
0,1,0.027817748486995697,17,Sub,Verona,Udinese,4,0,2022-02-13,16999,2021,513179,0,0,0,0,0.027817748486995697,0,0,6997,Ignacio Pussetto
1,1,0.7612988352775574,19,Sub,Udinese,Torino,2,0,2022-02-06,16994,2021,511863,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,3,0.05154772475361824,22,Sub,Juventus,Udinese,2,0,2022-01-15,16969,2021,508311,0,0,0,0,0.05154772475361824,0.08650735765695572,0.05679953843355179,6997,Ignacio Pussetto
0,2,0.03665023669600487,75,MR,Udinese,Atalanta,2,6,2022-01-09,16964,2021,507293,0,0,0,0,0.03665023669600487,0.03665023669600487,0,6997,Ignacio Pussetto
0,1,0.07157774269580841,13,Sub,Cagliari,Udinese,0,4,2021-12-18,16928,2021,503899,0,0,0,0,0.07157774269580841,0.07157774269580841,0,6997,Ignacio Pussetto
0,0,0,25,Sub,Empoli,Udinese,3,1,2021-12-06,16908,2021,501101,0.09687621146440506,0,2,0,0,0.09488578885793686,0.05581360682845116,6997,Ignacio Pussetto
0,0,0,25,Sub,Lazio,Udinese,4,4,2021-12-02,16902,2021,499458,0,0,0,0,0,0.02462296187877655,0.02462296187877655,6997,Ignacio Pussetto
0,0,0,76,Sub,Udinese,Genoa,0,0,2021-11-28,16894,2021,497792,0.11461401730775833,0,1,0,0,0.11461401730775833,0,6997,Ignacio Pussetto
0,1,0.04472687840461731,60,AMC,Torino,Udinese,2,1,2021-11-22,16885,2021,496885,0,0,0,0,0.04472687840461731,0.06347909569740295,0.018752219155430794,6997,Ignacio Pussetto
0,1,0.03268013894557953,77,ML,Atalanta,Udinese,1,1,2021-10-24,16836,2021,490349,0,0,0,0,0.03268013894557953,0.207423597574234,0.17474345862865448,6997,Ignacio Pussetto
0,0,0,20,Sub,Udinese,Bologna,1,1,2021-10-17,16834,2021,488799,0.5425543785095215,1,2,0,0,0.09310516715049744,0.09310516715049744,6997,Ignacio Pussetto
0,1,0.06895711272954941,41,Sub,Udinese,Fiorentina,0,1,2021-09-26,16813,2021,485344,0,0,0,0,0.06895711272954941,0.1356857270002365,0.1356857270002365,6997,Ignacio Pussetto
0,1,0.5230652689933777,63,FW,Roma,Udinese,1,0,2021-09-23,16801,2021,484268,0,0,0,0,0.5230652689933777,0.5230652689933777,0,6997,Ignacio Pussetto
0,3,0.0842788890004158,90,FW,Udinese,Napoli,0,4,2021-09-20,16794,2021,483346,0,0,0,0,0.0842788890004158,0.044815585017204285,0.010144514963030815,6997,Ignacio Pussetto
0,1,0.06488476693630219,68,FW,Spezia,Udinese,0,1,2021-09-12,16784,2021,480982,0,0,0,0,0.06488476693630219,0.1580590456724167,0.0931742787361145,6997,Ignacio Pussetto
1,6,1.2091434001922607,80,FW,Udinese,Venezia,3,0,2021-08-27,16766,2021,478476,0.05425383150577545,0,2,1,1.2091434001922607,1.2504692077636719,0,6997,Ignacio Pussetto
0,2,0.1971365362405777,83,FW,Udinese,Juventus,2,2,2021-08-22,16761,2021,477928,0.017713092267513275,0,1,0,0.1971365362405777,0.09425492584705353,0.07654183357954025,6997,Ignacio Pussetto
0,1,0.017798637971282005,48,FW,Juventus,Udinese,4,1,2021-01-03,15572,2020,439873,0,0,0,0,0.017798637971282005,0,0,6997,Ignacio Pussetto
0,1,0.0863284319639206,90,FW,Udinese,Benevento,0,2,2020-12-23,15564,2020,437655,0.5590164065361023,0,2,0,0.0863284319639206,0.6950752139091492,0.5973168611526489,6997,Ignacio Pussetto
0,4,0.45307621359825134,78,FW,Cagliari,Udinese,1,1,2020-12-20,15548,2020,436531,0.3429314196109772,1,2,0,0.45307621359825134,0.8084717392921448,0.02750266343355179,6997,Ignacio Pussetto
0,3,0.5225071310997009,90,FW,Udinese,Crotone,0,0,2020-12-15,15544,2020,434272,0,0,0,0,0.5225071310997009,0.6308508515357971,0.108343705534935,6997,Ignacio Pussetto
1,2,0.5710151195526123,83,FW,Torino,Udinese,2,3,2020-12-12,15535,2020,433166,0.0969124510884285,0,2,1,0.5710151195526123,0.768836259841919,0.10090865939855576,6997,Ignacio Pussetto
1,2,0.6063550114631653,90,FW,Lazio,Udinese,1,3,2020-11-29,15511,2020,430083,0,0,0,1,0.6063550114631653,0.48134514689445496,0.48134514689445496,6997,Ignacio Pussetto
0,1,0.01478263083845377,70,FW,Udinese,Genoa,1,0,2020-11-22,15504,2020,428856,0,0,0,0,0.01478263083845377,0,0,6997,Ignacio Pussetto
0,0,0,66,FW,Sassuolo,Udinese,0,0,2020-11-06,15494,2020,425915,0.0710548609495163,0,1,0,0,0.0710548609495163,0,6997,Ignacio Pussetto
0,0,0,90,FWR,Udinese,AC Milan,1,2,2020-11-01,15484,2020,424887,0.020139794796705246,0,1,0,0,0.05498823896050453,0.034848444163799286,6997,Ignacio Pussetto
0,0,0,34,Sub,Fiorentina,Udinese,3,2,2020-10-25,15469,2020,423745,0,0,0,0,0,0,0,6997,Ignacio Pussetto
1,3,0.11026472598314285,22,Sub,Udinese,Parma Calcio 1913,3,2,2020-10-18,15463,2020,422143,0,0,0,1,0.11026472598314285,0.11026472598314285,0,6997,Ignacio Pussetto
0,0,0,7,Sub,Watford,Southampton,1,3,2020-06-28,11961,2019,403688,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,13,Sub,Crystal Palace,Watford,1,0,2020-03-07,11926,2019,387667,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,3,Sub,Watford,Liverpool,3,0,2020-02-29,11921,2019,387545,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,7,Sub,Brighton,Watford,1,1,2020-02-08,11895,2019,386903,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,4,Sub,Watford,Everton,2,3,2020-02-01,11891,2019,386671,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,13,Sub,Aston Villa,Watford,2,1,2020-01-21,11873,2019,386414,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,0,0,1,Sub,Watford,Tottenham,0,0,2020-01-18,11871,2019,386022,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,1,0.08340190351009369,28,Sub,Udinese,Sassuolo,3,0,2020-01-12,13278,2019,388734,0.10565599054098129,0,1,0,0.08340190351009369,0.41837650537490845,0.22931861877441406,6997,Ignacio Pussetto
0,0,0,14,Sub,Lecce,Udinese,0,1,2020-01-06,13264,2019,388415,0,0,0,0,0,0.030623657628893852,0.030623657628893852,6997,Ignacio Pussetto
0,0,0,10,Sub,Udinese,Cagliari,2,1,2019-12-21,13258,2019,371270,0,0,0,0,0,0,0,6997,Ignacio Pussetto
1,2,0.4983524978160858,29,Sub,Juventus,Udinese,3,1,2019-12-15,13245,2019,370397,0.07337668538093567,0,2,1,0.4983524978160858,0.5717291831970215,0.0528615266084671,6997,Ignacio Pussetto
0,0,0,15,Sub,Udinese,Napoli,1,1,2019-12-07,13238,2019,368504,0.022490665316581726,0,1,0,0,0.034715622663497925,0.012224957346916199,6997,Ignacio Pussetto
0,1,0.01755896769464016,7,Sub,Sampdoria,Udinese,2,1,2019-11-24,13215,2019,365650,0,0,0,0,0.01755896769464016,0.01755896769464016,0,6997,Ignacio Pussetto
0,1,0.017104361206293106,9,Sub,Udinese,Roma,0,4,2019-10-30,13188,2019,360957,0.016764653846621513,0,1,0,0.017104361206293106,0.03386901319026947,0,6997,Ignacio Pussetto
0,0,0,39,Sub,Atalanta,Udinese,7,1,2019-10-27,13169,2019,360109,0,0,0,0,0,0,0,6997,Ignacio Pussetto
0,1,0.016276603564620018,70,AMC,Udinese,Brescia,0,1,2019-09-21,13128,2019,352054,0.07560122758150101,0,1,0,0.016276603564620018,0.09187782555818558,0,6997,Ignacio Pussetto
