goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,65,DML,Augsburg,Greuther Fuerth,2,1,2022-05-14,17814,2021,535493,0,0,0,0,0,0.029967010021209717,0.029967010021209717,6143,Jetro Willems
0,1,0.032053496688604355,74,ML,Union Berlin,Greuther Fuerth,1,1,2022-04-29,17801,2021,530038,0,0,0,0,0.032053496688604355,0.051706794649362564,0.01965329796075821,6143,Jetro Willems
1,1,0.3694082200527191,71,ML,Greuther Fuerth,Bayer Leverkusen,1,4,2022-04-23,17786,2021,528618,0,0,0,1,0.3694082200527191,0.47192931175231934,0.10252111405134201,6143,Jetro Willems
0,1,0.04743126407265663,43,Sub,Hoffenheim,Greuther Fuerth,0,0,2022-04-17,17780,2021,527212,0.019358456134796143,0,1,0,0.04743126407265663,0.06678972393274307,0,6143,Jetro Willems
0,0,0,85,ML,Eintracht Frankfurt,Greuther Fuerth,0,0,2022-04-02,17766,2021,522591,0.3521726727485657,0,1,0,0,0.3521726727485657,0.3521726727485657,6143,Jetro Willems
0,0,0,46,DL,Greuther Fuerth,RasenBallsport Leipzig,1,6,2022-03-13,17741,2021,520455,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,43,Sub,Bochum,Greuther Fuerth,2,1,2022-03-05,17732,2021,517489,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,81,DL,Wolfsburg,Greuther Fuerth,4,1,2022-02-06,17702,2021,511839,0.02511538565158844,0,1,0,0,0.08315709978342056,0.05804171785712242,6143,Jetro Willems
0,2,0.12477868795394897,71,DL,Greuther Fuerth,Mainz 05,2,1,2022-01-22,17687,2021,509673,0,0,0,0,0.12477868795394897,0.06838548183441162,0,6143,Jetro Willems
0,0,0,23,Sub,Arminia Bielefeld,Greuther Fuerth,2,2,2022-01-16,17679,2021,508698,0,0,0,0,0,0.2365327924489975,0.2365327924489975,6143,Jetro Willems
0,0,0,13,Sub,Greuther Fuerth,VfB Stuttgart,0,0,2022-01-08,17669,2021,506758,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,90,DL,Greuther Fuerth,Augsburg,0,0,2021-12-18,17660,2021,503694,0,0,0,0,0,0.016992585733532906,0.016992585733532906,6143,Jetro Willems
0,0,0,81,DL,Borussia Dortmund,Greuther Fuerth,3,0,2021-12-15,17659,2021,503141,0.09045494347810745,0,1,0,0,0.16343580186367035,0.0729808509349823,6143,Jetro Willems
0,0,0,90,DL,Greuther Fuerth,Union Berlin,1,0,2021-12-12,17642,2021,502433,0.02414056658744812,0,1,0,0,0.10339783132076263,0.07925726473331451,6143,Jetro Willems
0,0,0,64,DL,Bayer Leverkusen,Greuther Fuerth,7,1,2021-12-04,17640,2021,499781,0.048926450312137604,0,1,0,0,0.06802722066640854,0.06802722066640854,6143,Jetro Willems
0,0,0,82,DL,Borussia M.Gladbach,Greuther Fuerth,4,0,2021-11-20,17620,2021,495571,0,0,0,0,0,0,0,6143,Jetro Willems
0,2,0.10731799155473709,77,DL,Greuther Fuerth,Eintracht Frankfurt,1,2,2021-11-07,17606,2021,495096,0.19468356668949127,0,2,0,0.10731799155473709,0.4354496896266937,0.23780441284179688,6143,Jetro Willems
0,0,0,78,DL,Freiburg,Greuther Fuerth,3,1,2021-10-30,17600,2021,492077,0,0,0,0,0,0.019239062443375587,0.019239062443375587,6143,Jetro Willems
0,1,0.00977076031267643,74,DL,RasenBallsport Leipzig,Greuther Fuerth,4,1,2021-10-23,17595,2021,489835,0.7263640761375427,0,2,0,0.00977076031267643,0.4191072881221771,0.40933653712272644,6143,Jetro Willems
0,1,0.03152228146791458,84,DL,Greuther Fuerth,Bochum,0,1,2021-10-16,17579,2021,487924,0.0789007917046547,0,2,0,0.03152228146791458,0.40165063738822937,0.3227498531341553,6143,Jetro Willems
0,0,0,90,DL,FC Cologne,Greuther Fuerth,3,1,2021-10-01,17570,2021,486057,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,77,DL,Greuther Fuerth,Bayern Munich,1,3,2021-09-24,17561,2021,484310,0,0,0,0,0,0.07916651666164398,0.07916651666164398,6143,Jetro Willems
0,2,0.08744024485349655,66,DL,Hertha Berlin,Greuther Fuerth,2,1,2021-09-17,17552,2021,481652,0,0,0,0,0.08744024485349655,0.09892809391021729,0.08432906121015549,6143,Jetro Willems
0,0,0,69,DL,Greuther Fuerth,Wolfsburg,0,2,2021-09-11,17543,2021,480083,0,0,0,0,0,0.027684275060892105,0.027684275060892105,6143,Jetro Willems
0,0,0,11,DL,Newcastle United,Chelsea,1,0,2020-01-18,11868,2019,386203,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,90,DL,Wolverhampton Wanderers,Newcastle United,1,1,2020-01-11,11853,2019,385811,0.04203445464372635,0,2,0,0,0.14225146174430847,0.10021701455116272,6143,Jetro Willems
0,0,0,44,DML,Newcastle United,Leicester,0,3,2020-01-01,11849,2019,385580,0,0,0,0,0,0.10760548710823059,0.10760548710823059,6143,Jetro Willems
0,2,0.05806620419025421,86,DML,Newcastle United,Everton,1,2,2019-12-28,11838,2019,372704,0.27306538820266724,0,3,0,0.05806620419025421,0.47215741872787476,0.15469802916049957,6143,Jetro Willems
0,0,0,90,DML,Manchester United,Newcastle United,4,1,2019-12-26,11829,2019,372606,0,0,0,0,0,0.020244959741830826,0.020244959741830826,6143,Jetro Willems
0,0,0,74,DL,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369867,0,0,0,0,0,0.34449121356010437,0.34449121356010437,6143,Jetro Willems
0,0,0,90,DL,Newcastle United,Southampton,2,1,2019-12-08,11798,2019,369027,0.10346025973558426,0,1,0,0,0.13940787315368652,0.03594760596752167,6143,Jetro Willems
0,0,0,90,DL,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367821,0,0,0,0,0,0.051601480692625046,0.051601480692625046,6143,Jetro Willems
1,1,0.0647362545132637,90,DL,Newcastle United,Manchester City,2,2,2019-11-30,11777,2019,365961,0,0,0,1,0.0647362545132637,0.0647362545132637,0.0647362545132637,6143,Jetro Willems
0,0,0,90,DL,Aston Villa,Newcastle United,2,0,2019-11-25,11764,2019,365810,0,0,0,0,0,0.10564522445201874,0.10564522445201874,6143,Jetro Willems
0,4,0.15947578847408295,90,DL,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363194,0,0,0,0,0.15947578847408295,0.4138452410697937,0.25436943769454956,6143,Jetro Willems
0,0,0,89,DL,West Ham,Newcastle United,2,3,2019-11-02,11752,2019,361627,0.5140918493270874,1,4,0,0,0.4546107351779938,0.0843845084309578,6143,Jetro Willems
0,2,0.05217013880610466,90,DL,Newcastle United,Wolverhampton Wanderers,1,1,2019-10-27,11738,2019,360145,0.056846052408218384,0,1,0,0.05217013880610466,0.12757110595703125,0.052416689693927765,6143,Jetro Willems
0,1,0.03883553668856621,90,DL,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357799,0,0,0,0,0.03883553668856621,0.06528297811746597,0.026447443291544914,6143,Jetro Willems
0,1,0.01969093084335327,90,DL,Newcastle United,Manchester United,1,0,2019-10-06,11721,2019,357144,0.06025111302733421,1,3,0,0.01969093084335327,0.3766116499900818,0.296669602394104,6143,Jetro Willems
0,1,0.03780195116996765,83,DL,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352441,0,0,0,0,0.03780195116996765,0.06359291821718216,0.025790967047214508,6143,Jetro Willems
1,1,0.04237329959869385,90,DL,Liverpool,Newcastle United,3,1,2019-09-14,11683,2019,348751,0.007184008602052927,0,1,1,0.04237329959869385,0.24670957028865814,0.1971522569656372,6143,Jetro Willems
0,1,0.012160114012658596,90,DL,Newcastle United,Watford,1,1,2019-08-31,11679,2019,347543,0,0,0,0,0.012160114012658596,0.030765175819396973,0.030765175819396973,6143,Jetro Willems
0,0,0,34,Sub,Newcastle United,Arsenal,0,1,2019-08-11,11650,2019,341523,0.025801951065659523,0,1,0,0,0.03797624260187149,0.012174292467534542,6143,Jetro Willems
0,1,0.020525626838207245,36,MC,Bayer Leverkusen,Eintracht Frankfurt,6,1,2019-05-05,10618,2018,331193,0.05457828566431999,0,2,0,0.020525626838207245,0.020525626838207245,0,6143,Jetro Willems
0,0,0,28,Sub,Eintracht Frankfurt,Hertha Berlin,0,0,2019-04-27,10611,2018,328170,0.09186594188213348,0,1,0,0,0.09186594188213348,0,6143,Jetro Willems
0,2,0.040999848395586014,90,AMC,Schalke 04,Eintracht Frankfurt,1,2,2019-04-06,10581,2018,323756,0.19611021876335144,0,5,0,0.040999848395586014,0.03609374165534973,0.01953931897878647,6143,Jetro Willems
0,0,0,1,Sub,Eintracht Frankfurt,VfB Stuttgart,3,0,2019-03-31,10574,2018,318732,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,3,Sub,Eintracht Frankfurt,Nuernberg,1,0,2019-03-17,10570,2018,317017,0,0,0,0,0,0.12317651510238647,0.12317651510238647,6143,Jetro Willems
0,0,0,1,Sub,Fortuna Duesseldorf,Eintracht Frankfurt,0,3,2019-03-11,10558,2018,315702,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,17,Sub,Eintracht Frankfurt,Hoffenheim,3,2,2019-03-02,10547,2018,308882,0.1005125567317009,0,2,0,0,0.430620014667511,0.3301074504852295,6143,Jetro Willems
0,0,0,15,Sub,Hannover 96,Eintracht Frankfurt,0,3,2019-02-24,10540,2018,308759,0,0,0,0,0,0.09874183684587479,0.09874183684587479,6143,Jetro Willems
0,0,0,12,Sub,Eintracht Frankfurt,Borussia M.Gladbach,1,1,2019-02-17,10529,2018,308496,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,13,Sub,RasenBallsport Leipzig,Eintracht Frankfurt,0,0,2019-02-09,10519,2018,308204,0,0,0,0,0,0.33251455426216125,0.33251455426216125,6143,Jetro Willems
0,0,0,21,Sub,Eintracht Frankfurt,Freiburg,3,1,2019-01-19,10492,2018,307475,0,0,0,0,0,0,0,6143,Jetro Willems
0,1,0.015438235364854336,90,MC,Eintracht Frankfurt,Bayern Munich,0,3,2018-12-22,10487,2018,285051,0,0,0,0,0.015438235364854336,0.05985032021999359,0.04441208392381668,6143,Jetro Willems
0,0,0,17,Sub,Mainz 05,Eintracht Frankfurt,2,2,2018-12-19,10476,2018,284821,0,0,0,0,0,0,0,6143,Jetro Willems
0,1,0.11962821334600449,87,MC,Eintracht Frankfurt,Bayer Leverkusen,2,1,2018-12-16,10467,2018,284605,0.20142421126365662,0,3,0,0.11962821334600449,1.5331549644470215,1.2731068134307861,6143,Jetro Willems
0,0,0,17,Sub,Hertha Berlin,Eintracht Frankfurt,1,0,2018-12-08,10458,2018,284404,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,25,Sub,Eintracht Frankfurt,Wolfsburg,1,2,2018-12-02,10449,2018,284167,0.09636227786540985,0,1,0,0,0.09636227786540985,0,6143,Jetro Willems
0,0,0,1,Sub,Augsburg,Eintracht Frankfurt,1,3,2018-11-24,10441,2018,283762,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,2,Sub,VfB Stuttgart,Eintracht Frankfurt,0,3,2018-11-02,10425,2018,283181,0.5744004845619202,1,1,0,0,0.5744004845619202,0,6143,Jetro Willems
0,0,0,9,Sub,Hoffenheim,Eintracht Frankfurt,1,2,2018-10-07,10392,2018,282623,0,0,0,0,0,0,0,6143,Jetro Willems
0,0,0,10,Sub,Eintracht Frankfurt,Hannover 96,4,1,2018-09-30,10389,2018,254233,0.30113524198532104,0,1,0,0,0.312872052192688,0.011736799962818623,6143,Jetro Willems
0,0,0,90,DL,Borussia M.Gladbach,Eintracht Frankfurt,3,1,2018-09-26,10380,2018,252207,0.3988300561904907,0,1,0,0,0.014569061808288097,0.014569061808288097,6143,Jetro Willems
