goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,47,FW,Norwich,Burnley,0,2,2020-07-18,12008,2019,409673,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,82,FW,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408495,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.030554499477148056,5,Sub,Watford,Norwich,2,1,2020-07-07,11981,2019,406238,0.6259735822677612,0,1,0,0.030554499477148056,0.6565280556678772,0,209,Josip Drmic
0,1,0.05310031771659851,69,FW,Norwich,Brighton,0,1,2020-07-04,11969,2019,405069,0,0,0,0,0.05310031771659851,0.05310031771659851,0,209,Josip Drmic
0,1,0.014084350317716599,42,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404436,0,0,0,0,0.014084350317716599,0.02910573035478592,0.01502138003706932,209,Josip Drmic
0,1,0.02903068996965885,90,FW,Norwich,Everton,0,1,2020-06-24,11948,2019,402343,0.04788205400109291,0,1,0,0.02903068996965885,0.11796638369560242,0.0700843334197998,209,Josip Drmic
0,1,0.13386040925979614,90,FW,Norwich,Southampton,0,3,2020-06-19,11937,2019,400723,0.19277016818523407,0,1,0,0.13386040925979614,0.3603770434856415,0.03374645486474037,209,Josip Drmic
0,4,1.7325242757797241,43,Sub,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387697,0,0,0,0,1.7325242757797241,0.0636814534664154,0,209,Josip Drmic
0,2,0.10064183920621872,8,Sub,Norwich,Leicester,1,0,2020-02-28,11919,2019,387413,0,0,0,0,0.10064183920621872,0.0782746970653534,0,209,Josip Drmic
0,0,0,29,Sub,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387344,0.08253630995750427,0,1,0,0,0.10366050899028778,0.02112419530749321,209,Josip Drmic
0,0,0,4,Sub,Norwich,Liverpool,0,1,2020-02-15,11899,2019,386998,0,0,0,0,0,0.10447901487350464,0.10447901487350464,209,Josip Drmic
0,0,0,3,Sub,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386499,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,3,Sub,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386128,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,25,Sub,Norwich,Watford,0,2,2019-11-08,11757,2019,362815,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,11,Sub,Brighton,Norwich,2,0,2019-11-02,11746,2019,361522,0,0,0,0,0,0,0,209,Josip Drmic
1,1,0.3284913897514343,4,Sub,Norwich,Aston Villa,1,5,2019-10-05,11717,2019,356286,0,0,0,1,0.3284913897514343,0.3284913897514343,0,209,Josip Drmic
0,1,0.028085872530937195,21,Sub,Crystal Palace,Norwich,2,0,2019-09-28,11709,2019,354745,0,0,0,0,0.028085872530937195,0,0,209,Josip Drmic
0,0,0,13,Sub,Burnley,Norwich,2,0,2019-09-21,11696,2019,352267,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,6,Sub,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349272,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.4837823510169983,10,Sub,West Ham,Norwich,2,0,2019-08-31,11674,2019,347424,0,0,0,0,0.4837823510169983,0.4837823510169983,0,209,Josip Drmic
0,0,0,4,Sub,Liverpool,Norwich,4,1,2019-08-09,11643,2019,341179,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.08652201294898987,90,FW,Borussia M.Gladbach,Borussia Dortmund,0,2,2019-05-18,10639,2018,333376,0.016246726736426353,0,1,0,0.08652201294898987,0.10276874154806137,0,209,Josip Drmic
1,2,0.4659860134124756,90,FW,Nuernberg,Borussia M.Gladbach,0,4,2019-05-11,10633,2018,331612,0,0,0,1,0.4659860134124756,1.3298368453979492,0.8638508915901184,209,Josip Drmic
1,1,0.4848591387271881,8,Sub,Borussia M.Gladbach,Hoffenheim,2,2,2019-05-04,10619,2018,330161,0,0,0,1,0.4848591387271881,0.4848591387271881,0,209,Josip Drmic
0,1,0.05843498185276985,6,Sub,Borussia M.Gladbach,Wolfsburg,0,3,2019-02-23,10538,2018,308609,0,0,0,0,0.05843498185276985,0.05843498185276985,0,209,Josip Drmic
0,2,0.30388325452804565,23,Sub,Eintracht Frankfurt,Borussia M.Gladbach,1,1,2019-02-17,10529,2018,308512,0,0,0,0,0.30388325452804565,0.30388325452804565,0,209,Josip Drmic
1,3,0.4831240177154541,90,FW,Hamburger SV,Borussia M.Gladbach,2,1,2018-05-12,8562,2017,239057,0.04526795446872711,0,1,1,0.4831240177154541,1.1413664817810059,0.6129745244979858,209,Josip Drmic
1,4,0.2507886290550232,74,FW,Borussia M.Gladbach,Freiburg,3,1,2018-05-05,8554,2017,237437,0,0,0,1,0.2507886290550232,0.2752947509288788,0.06245975196361542,209,Josip Drmic
1,2,0.13679757714271545,65,FW,Bayern Munich,Borussia M.Gladbach,5,1,2018-04-14,8520,2017,232312,0,0,0,1,0.13679757714271545,0.18684710562229156,0.05004952847957611,209,Josip Drmic
0,1,0.1088113859295845,20,Sub,Borussia M.Gladbach,Hertha Berlin,2,1,2018-04-07,8515,2017,230799,0.09104616194963455,1,1,0,0.1088113859295845,0.19985754787921906,0,209,Josip Drmic
0,0,0,27,Sub,Mainz 05,Borussia M.Gladbach,0,0,2018-04-01,8508,2017,227386,0,0,0,0,0,0,0,209,Josip Drmic
1,2,0.617710292339325,70,Sub,Borussia M.Gladbach,Hoffenheim,3,3,2018-03-17,8496,2017,223829,0,0,0,1,0.617710292339325,0.6947686672210693,0.11003383994102478,209,Josip Drmic
0,1,0.34350261092185974,11,Sub,Bayer Leverkusen,Borussia M.Gladbach,2,0,2018-03-10,8492,2017,222537,0,0,0,0,0.34350261092185974,0.371207594871521,0.027704983949661255,209,Josip Drmic
0,2,0.12158133089542389,8,Sub,Borussia M.Gladbach,Borussia Dortmund,0,1,2018-02-18,8460,2017,218555,0,0,0,0,0.12158133089542389,0.102742999792099,0,209,Josip Drmic
0,1,0.0740196630358696,27,Sub,VfB Stuttgart,Borussia M.Gladbach,1,0,2018-02-11,8450,2017,216533,0,0,0,0,0.0740196630358696,0,0,209,Josip Drmic
0,1,0.10493356734514236,61,FW,Freiburg,Borussia M.Gladbach,1,0,2017-12-12,8397,2017,204026,0,0,0,0,0.10493356734514236,0.13007287681102753,0.02513931691646576,209,Josip Drmic
0,0,0,5,Sub,Wolfsburg,Borussia M.Gladbach,3,0,2017-12-03,8384,2017,187832,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.3115835189819336,1,Sub,Borussia M.Gladbach,Bayern Munich,2,1,2017-11-25,8371,2017,187178,0,0,0,0,0.3115835189819336,0.3115835189819336,0,209,Josip Drmic
0,0,0,1,Sub,Hertha Berlin,Borussia M.Gladbach,2,4,2017-11-18,8360,2017,186579,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.08867259323596954,15,Sub,Hoffenheim,Borussia M.Gladbach,5,3,2017-04-15,3838,2016,148364,0.05042988806962967,0,1,0,0.08867259323596954,0.41879335045814514,0.27969086170196533,209,Josip Drmic
0,1,0.12492121756076813,15,Sub,FC Cologne,Borussia M.Gladbach,2,3,2017-04-08,3825,2016,149977,0,0,0,0,0.12492121756076813,0.12492121756076813,0,209,Josip Drmic
0,1,0.09607061743736267,17,Sub,Borussia M.Gladbach,Bayern Munich,0,1,2017-03-19,3802,2016,149656,0.1281183511018753,0,1,0,0.09607061743736267,0.22418896853923798,0,209,Josip Drmic
0,5,0.9170609712600708,90,FW,Hamburger SV,Borussia M.Gladbach,2,1,2017-03-12,3793,2016,149169,0,0,0,0,0.9170609712600708,0.837727427482605,0,209,Josip Drmic
0,2,0.17591480910778046,80,FW,Ingolstadt,Borussia M.Gladbach,0,2,2017-02-26,3774,2016,147307,0,0,0,0,0.17591480910778046,0.21675296127796173,0.040838148444890976,209,Josip Drmic
0,0,0,9,Sub,Borussia M.Gladbach,RasenBallsport Leipzig,1,2,2017-02-19,3765,2016,147020,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,18,Sub,Werder Bremen,Borussia M.Gladbach,0,1,2017-02-11,3754,2016,147863,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,2,Sub,Borussia M.Gladbach,Freiburg,3,0,2017-02-04,3744,2016,146602,0,0,0,0,0,0.08344786614179611,0.08344786614179611,209,Josip Drmic
0,0,0,1,Sub,Bayer Leverkusen,Borussia M.Gladbach,2,3,2017-01-28,3737,2016,145947,0.32304471731185913,0,1,0,0,0.32304471731185913,0,209,Josip Drmic
0,0,0,7,Sub,Borussia M.Gladbach,Wolfsburg,1,2,2016-12-20,3220,2016,144911,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,15,Sub,Augsburg,Borussia M.Gladbach,1,0,2016-12-17,3211,2016,146589,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,1,Sub,Borussia M.Gladbach,Mainz 05,1,0,2016-12-11,3208,2016,145822,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,29,Sub,Bayer Leverkusen,Hamburger SV,1,0,2016-03-13,1253,2015,91051,0.12050829082727432,0,1,0,0,0,0,209,Josip Drmic
0,1,0.0744510218501091,47,AML,Schalke 04,Hamburger SV,3,2,2016-03-02,1234,2015,90525,0,0,0,0,0.0744510218501091,0.0744510218501091,0,209,Josip Drmic
1,1,0.6283214688301086,90,AML,Hamburger SV,Ingolstadt,1,1,2016-02-27,1222,2015,90292,0.06489020586013794,0,1,1,0.6283214688301086,0.6932116746902466,0,209,Josip Drmic
0,0,0,80,AML,Eintracht Frankfurt,Hamburger SV,0,0,2016-02-19,1210,2015,90113,0.4923335611820221,0,2,0,0,0.5649518966674805,0.07261832058429718,209,Josip Drmic
0,4,0.5179733037948608,90,AML,Hamburger SV,Borussia M.Gladbach,3,2,2016-02-14,1208,2015,89794,0,0,0,0,0.5179733037948608,0.6445512175559998,0.1265779584646225,209,Josip Drmic
0,0,0,85,AML,Hamburger SV,FC Cologne,1,1,2016-02-07,1199,2015,89575,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,3,Sub,Mainz 05,Borussia M.Gladbach,1,0,2016-01-29,1183,2015,89453,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,1,Sub,Borussia M.Gladbach,Borussia Dortmund,1,3,2016-01-23,1180,2015,89025,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,1,Sub,Borussia M.Gladbach,Darmstadt,3,2,2015-12-20,1173,2015,88776,0,0,0,0,0,0,0,209,Josip Drmic
0,2,0.1436733454465866,90,FW,Bayer Leverkusen,Borussia M.Gladbach,5,0,2015-12-12,1162,2015,88566,0,0,0,0,0.1436733454465866,0.1436733454465866,0,209,Josip Drmic
0,1,0.13404612243175507,1,Sub,Borussia M.Gladbach,Bayern Munich,3,1,2015-12-05,1148,2015,88279,0,0,0,0,0.13404612243175507,0.13404612243175507,0,209,Josip Drmic
1,1,0.38682490587234497,83,MR,Hoffenheim,Borussia M.Gladbach,3,3,2015-11-28,1141,2015,88175,0,0,0,1,0.38682490587234497,0.8775860667228699,0.4907611608505249,209,Josip Drmic
0,1,0.04650557413697243,12,Sub,Borussia M.Gladbach,Hannover 96,2,1,2015-11-21,1133,2015,87780,0,0,0,0,0.04650557413697243,0.16488680243492126,0.16488680243492126,209,Josip Drmic
0,0,0,39,Sub,Borussia M.Gladbach,Ingolstadt,0,0,2015-11-07,1124,2015,87588,0.1468900591135025,0,1,0,0,0.16815753281116486,0.021267473697662354,209,Josip Drmic
0,1,0.05777572840452194,90,FW,FC Cologne,Borussia M.Gladbach,1,0,2015-09-19,1062,2015,85932,0,0,0,0,0.05777572840452194,0.13173474371433258,0.07395900785923004,209,Josip Drmic
0,0,0,35,Sub,Borussia M.Gladbach,Hamburger SV,0,3,2015-09-11,1048,2015,85585,0,0,0,0,0,0.0169532373547554,0.0169532373547554,209,Josip Drmic
0,0,0,8,Sub,Werder Bremen,Borussia M.Gladbach,2,1,2015-08-30,1047,2015,85404,0,0,0,0,0,0,0,209,Josip Drmic
0,0,0,9,Sub,Borussia M.Gladbach,Mainz 05,1,2,2015-08-23,1038,2015,85027,0,0,0,0,0,0,0,209,Josip Drmic
0,2,0.114946149289608,66,FW,Borussia Dortmund,Borussia M.Gladbach,4,0,2015-08-15,1027,2015,84788,0,0,0,0,0.114946149289608,0.03362239524722099,0,209,Josip Drmic
0,0,0,23,Sub,Eintracht Frankfurt,Bayer Leverkusen,2,1,2015-05-23,5188,2014,35097,0,0,0,0,0,0.034023694694042206,0.034023694694042206,209,Josip Drmic
0,1,0.08190406858921051,24,Sub,Borussia M.Gladbach,Bayer Leverkusen,3,0,2015-05-09,5171,2014,35069,0,0,0,0,0.08190406858921051,0.08190406858921051,0,209,Josip Drmic
0,1,0.15131136775016785,15,Sub,Bayer Leverkusen,Bayern Munich,2,0,2015-05-02,5165,2014,33944,0,0,0,0,0.15131136775016785,0.15131136775016785,0,209,Josip Drmic
0,0,0,28,Sub,FC Cologne,Bayer Leverkusen,1,1,2015-04-25,5226,2014,33626,0,0,0,0,0,0.07045686990022659,0.07045686990022659,209,Josip Drmic
0,0,0,9,Sub,Mainz 05,Bayer Leverkusen,2,3,2015-04-11,5208,2014,34568,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.4699160158634186,17,Sub,Bayer Leverkusen,Hamburger SV,4,0,2015-04-04,5199,2014,35883,0.0894094929099083,0,1,0,0.4699160158634186,0.5593255162239075,0,209,Josip Drmic
2,2,0.7230321168899536,83,FW,Bayer Leverkusen,VfB Stuttgart,4,0,2015-03-13,5242,2014,34246,0,0,0,2,0.7230321168899536,1.1556943655014038,0.4326622784137726,209,Josip Drmic
0,1,0.0401487834751606,68,FW,Paderborn,Bayer Leverkusen,0,3,2015-03-08,5241,2014,34039,0,0,0,0,0.0401487834751606,0.03062983602285385,0.03062983602285385,209,Josip Drmic
0,1,0.05476627126336098,12,Sub,Bayer Leverkusen,Freiburg,1,0,2015-02-28,5300,2014,32318,0.07550142705440521,0,1,0,0.05476627126336098,0.15935522317886353,0.02908751741051674,209,Josip Drmic
1,3,0.8534132242202759,89,FW,Augsburg,Bayer Leverkusen,2,2,2015-02-21,5291,2014,32607,0.04033144935965538,0,1,1,0.8534132242202759,0.9385437965393066,0.04479910433292389,209,Josip Drmic
0,1,0.07007932662963867,44,Sub,Bayer Leverkusen,Wolfsburg,4,5,2015-02-14,5282,2014,32346,0.007217901758849621,0,1,0,0.07007932662963867,0.07729722559452057,0,209,Josip Drmic
0,0,0,21,Sub,Werder Bremen,Bayer Leverkusen,2,1,2015-02-08,5278,2014,33155,0,0,0,0,0,0.029620621353387833,0.029620621353387833,209,Josip Drmic
0,0,0,69,FW,Bayer Leverkusen,Borussia Dortmund,0,0,2015-01-31,5311,2014,31734,0,0,0,0,0,0,0,209,Josip Drmic
0,1,0.07269302755594254,14,Sub,Bayer Leverkusen,Eintracht Frankfurt,1,1,2014-12-20,5343,2014,31320,0,0,0,0,0.07269302755594254,0.11514338105916977,0.042450349777936935,209,Josip Drmic
0,0,0,27,Sub,Bayern Munich,Bayer Leverkusen,1,0,2014-12-06,5318,2014,30536,0,0,0,0,0,0,0,209,Josip Drmic
