goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,11,Sub,Elche,Alaves,0,2,2021-05-11,15137,2020,469950,0.00803548377007246,0,1,0,0,0,0,2132,Jota
0,2,0.18319550156593323,70,MC,Alaves,Levante,2,2,2021-05-08,15118,2020,468421,0.0264825951308012,0,1,0,0.18319550156593323,0.20967809855937958,0,2132,Jota
0,0,0,65,ML,Eibar,Alaves,3,0,2021-05-01,15114,2020,466874,0,0,0,0,0,0,0,2132,Jota
0,0,0,74,MR,Valencia,Alaves,1,1,2021-04-24,15094,2020,465521,0,0,0,0,0,0.10151224583387375,0.10151224583387375,2132,Jota
0,1,0.06686722487211227,83,MR,Alaves,Villarreal,2,1,2021-04-21,15078,2020,464676,0.5942000150680542,1,2,0,0.06686722487211227,0.5844986438751221,0,2132,Jota
0,1,0.01696024462580681,89,MR,Alaves,SD Huesca,1,0,2021-04-18,15098,2020,463647,0.07974479347467422,0,3,0,0.01696024462580681,0.11717148125171661,0.06298698484897614,2132,Jota
0,1,0.019779613241553307,76,MR,Athletic Club,Alaves,0,0,2021-04-10,15068,2020,461227,0.04103561118245125,0,1,0,0.019779613241553307,0.019779613241553307,0,2132,Jota
0,4,0.14541664719581604,90,FW,Alaves,Celta Vigo,1,3,2021-04-04,15058,2020,460094,0.3822809159755707,0,3,0,0.14541664719581604,0.46938347816467285,0.0368899367749691,2132,Jota
0,0,0,72,MC,Atletico Madrid,Alaves,1,0,2021-03-21,15049,2020,458902,0.0235060453414917,0,1,0,0,0,0,2132,Jota
0,0,0,1,Sub,Getafe,Alaves,0,0,2021-01-31,14981,2020,446079,0,0,0,0,0,0,0,2132,Jota
0,0,0,20,Sub,Alaves,Sevilla,1,2,2021-01-19,14960,2020,443310,0,0,0,0,0,0.13360784947872162,0.13360784947872162,2132,Jota
0,0,0,62,MR,Cadiz,Alaves,3,1,2021-01-10,14950,2020,441530,0,0,0,0,0,0,0,2132,Jota
0,0,0,90,MC,Alaves,Atletico Madrid,1,2,2021-01-03,14937,2020,439674,0,0,0,0,0,0,0,2132,Jota
0,2,0.04490671306848526,10,Sub,Osasuna,Alaves,1,1,2020-12-31,14936,2020,438838,0,0,0,0,0.04490671306848526,0.11865004897117615,0.09522172808647156,2132,Jota
0,0,0,1,Sub,Alaves,Eibar,2,1,2020-12-23,14917,2020,437999,0,0,0,0,0,0,0,2132,Jota
0,1,0.062464553862810135,77,MR,Celta Vigo,Alaves,2,0,2020-12-20,14910,2020,436465,0,0,0,0,0.062464553862810135,0.062464553862810135,0,2132,Jota
0,0,0,90,MC,SD Huesca,Alaves,1,0,2020-12-12,14902,2020,433247,0,0,0,0,0,0,0,2132,Jota
0,0,0,90,MR,Alaves,Real Sociedad,0,0,2020-12-06,14891,2020,432350,0,0,0,0,0,0,0,2132,Jota
0,0,0,90,MR,Real Madrid,Alaves,1,2,2020-11-28,14880,2020,429927,0.4744555652141571,0,2,0,0,0.5417762398719788,0.06732068955898285,2132,Jota
0,1,0.07392477989196777,56,MC,Alaves,Valencia,2,2,2020-11-22,14865,2020,429035,0,0,0,0,0.07392477989196777,0.07392477989196777,0,2132,Jota
0,0,0,64,MC,Alaves,Barcelona,1,1,2020-10-31,14845,2020,424767,0,0,0,0,0,0.06413377821445465,0.06413377821445465,2132,Jota
0,2,0.13556122779846191,87,ML,Real Valladolid,Alaves,0,2,2020-10-25,14843,2020,423319,0.3943086564540863,1,2,0,0.13556122779846191,0.5298698544502258,0.4259544014930725,2132,Jota
0,1,0.08149905502796173,64,AMC,Alaves,Elche,0,2,2020-10-18,14825,2020,422199,0.2303391396999359,0,1,0,0.08149905502796173,0.31183820962905884,0,2132,Jota
0,1,0.05210880935192108,13,Sub,Liverpool,Aston Villa,2,0,2020-07-05,11966,2019,405781,0,0,0,0,0.05210880935192108,0.05210880935192108,0,2132,Jota
0,1,0.06229376420378685,1,Sub,Aston Villa,Chelsea,1,2,2020-06-21,11933,2019,401670,0,0,0,0,0.06229376420378685,0,0,2132,Jota
0,1,0.06358537822961807,49,AMR,Watford,Aston Villa,3,0,2019-12-28,11841,2019,372773,0,0,0,0,0.06358537822961807,0.06358537822961807,0,2132,Jota
0,0,0,3,Sub,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372545,0,0,0,0,0,0,0,2132,Jota
0,1,0.03570324182510376,12,Sub,Chelsea,Aston Villa,2,1,2019-12-04,11789,2019,367690,0,0,0,0,0.03570324182510376,0.062043845653533936,0.062043845653533936,2132,Jota
0,1,0.025626683607697487,68,FWR,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350185,0,0,0,0,0.025626683607697487,0.7881687879562378,0.7625421285629272,2132,Jota
0,0,0,60,FWR,Crystal Palace,Aston Villa,1,0,2019-08-31,11676,2019,347476,0.03400504216551781,0,1,0,0,0.03400504216551781,0,2132,Jota
0,0,0,80,MR,Aston Villa,Everton,2,0,2019-08-23,11663,2019,343736,0.4824782609939575,1,2,0,0,0.4824782609939575,0,2132,Jota
0,1,0.024482369422912598,12,Sub,Aston Villa,Bournemouth,1,2,2019-08-17,11654,2019,341825,0.051748126745224,0,1,0,0.024482369422912598,0.0762304961681366,0.024482369422912598,2132,Jota
0,0,0,30,Sub,Tottenham,Aston Villa,3,1,2019-08-10,11649,2019,341370,0,0,0,0,0,0,0,2132,Jota
0,0,0,1,Sub,Athletic Club,Eibar,3,1,2016-12-04,3168,2016,154120,0,0,0,0,0,0,0,2132,Jota
0,1,0.009343480691313744,20,Sub,Eibar,Osasuna,2,3,2016-10-17,1858,2016,152804,0,0,0,0,0.009343480691313744,0.009343480691313744,0,2132,Jota
0,1,0.14261381328105927,69,AMC,Malaga,Eibar,2,1,2016-09-20,1819,2016,151754,0.13670600950717926,0,2,0,0.14261381328105927,0.18064327538013458,0.013492054305970669,2132,Jota
0,0,0,33,AMC,Granada,Eibar,1,2,2016-09-11,1807,2016,151170,0,0,0,0,0,0,0,2132,Jota
0,1,0.02136167883872986,80,AMC,Eibar,Valencia,1,0,2016-08-27,1792,2016,150848,0,0,0,0,0.02136167883872986,0.04515467584133148,0.023792997002601624,2132,Jota
0,0,0,46,AMC,Eibar,Real Betis,1,1,2016-05-08,1766,2015,103693,0,0,0,0,0,0.012637493200600147,0.012637493200600147,2132,Jota
0,2,0.730411171913147,90,AMR,Sporting Gijon,Eibar,2,0,2016-04-29,1749,2015,102813,0.03101196698844433,0,1,0,0.730411171913147,0.7757301330566406,0.04531897231936455,2132,Jota
0,0,0,22,Sub,Eibar,Deportivo La Coruna,1,1,2016-04-24,1743,2015,103029,0.016772596165537834,0,1,0,0,0,0,2132,Jota
0,0,0,3,Sub,Eibar,Real Sociedad,2,1,2016-04-16,1722,2015,100778,0,0,0,0,0,0,0,2132,Jota
0,1,0.008472372777760029,47,AML,Real Madrid,Eibar,4,0,2016-04-09,1710,2015,101289,0.25160184502601624,0,1,0,0.008472372777760029,0.008472372777760029,0,2132,Jota
0,2,0.05271724611520767,90,AMC,Eibar,Villarreal,1,2,2016-04-03,1706,2015,101774,0.11280053108930588,0,2,0,0.05271724611520767,0.1423867642879486,0,2132,Jota
0,0,0,14,Sub,Getafe,Eibar,1,1,2016-03-18,1689,2015,101737,0,0,0,0,0,0,0,2132,Jota
0,0,0,47,MR,Eibar,Las Palmas,0,1,2016-02-26,1649,2015,100188,0,0,1,0,0,0,0,2132,Jota
0,1,0.03325140103697777,90,AMR,Celta Vigo,Eibar,3,2,2016-02-21,1643,2015,99954,0.0470021516084671,0,1,0,0.03325140103697777,0.05344802513718605,0.020196622237563133,2132,Jota
0,3,0.6534537672996521,90,AMR,Eibar,Levante,2,0,2016-02-14,1636,2015,99579,0.853948712348938,0,4,0,0.6534537672996521,2.130728006362915,0.737673282623291,2132,Jota
0,2,0.15104515850543976,90,ML,Atletico Madrid,Eibar,3,1,2016-02-06,1619,2015,99232,0.012711657211184502,0,1,0,0.15104515850543976,0.13379551470279694,0,2132,Jota
0,2,0.05661962553858757,28,Sub,Eibar,Malaga,1,2,2016-01-30,1609,2015,99140,0,0,0,0,0.05661962553858757,0.13913480937480927,0.12659001350402832,2132,Jota
0,0,0,32,Sub,Athletic Club,Eibar,5,2,2016-01-24,1603,2015,98906,0.01582224853336811,0,1,0,0,0,0,2132,Jota
