goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.023521866649389267,16,Sub,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401631,0,0,0,0,0.023521866649389267,0.023521866649389267,0.023521866649389267,7713,Luke Freeman
0,0,0,20,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400350,0,0,0,0,0,0,0,7713,Luke Freeman
0,0,0,54,MC,Brighton,Sheffield United,0,1,2019-12-21,11815,2019,371472,0,0,0,0,0,0,0,7713,Luke Freeman
0,0,0,13,Sub,Sheffield United,Newcastle United,0,2,2019-12-05,11786,2019,367815,0.07612130790948868,0,1,0,0,0.11161146312952042,0.03549015149474144,7713,Luke Freeman
0,0,0,1,Sub,Wolverhampton Wanderers,Sheffield United,1,1,2019-12-01,11780,2019,366781,0,0,0,0,0,0,0,7713,Luke Freeman
0,0,0,1,Sub,Tottenham,Sheffield United,1,1,2019-11-09,11759,2019,363160,0,0,0,0,0,0,0,7713,Luke Freeman
0,0,0,10,Sub,Sheffield United,Arsenal,1,0,2019-10-21,11730,2019,358959,0,0,0,0,0,0,0,7713,Luke Freeman
0,1,0.01744084805250168,80,MC,Chelsea,Sheffield United,2,2,2019-08-31,11675,2019,347446,0.015682801604270935,0,1,0,0.01744084805250168,0.3973698318004608,0.3642461895942688,7713,Luke Freeman
0,0,0,90,MC,Sheffield United,Leicester,1,2,2019-08-24,11665,2019,344014,0,0,0,0,0,0.03886888176202774,0.03886888176202774,7713,Luke Freeman
0,1,0.016717176884412766,62,Sub,Sheffield United,Crystal Palace,1,0,2019-08-18,11660,2019,342463,0.09375692903995514,0,1,0,0.016717176884412766,0.1104741021990776,0,7713,Luke Freeman
0,0,0,11,Sub,Bournemouth,Sheffield United,1,1,2019-08-10,11645,2019,341232,0,0,0,0,0,0,0,7713,Luke Freeman
