goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,3,0.30827850103378296,71,FW,West Ham,Aston Villa,1,1,2020-07-26,12013,2019,411466,0,0,0,0,0.30827850103378296,0.5454541444778442,0.3690696656703949,8287,Mbwana Samatta
0,0,0,75,FW,Aston Villa,Arsenal,1,0,2020-07-21,12003,2019,410516,0,0,0,0,0,0,0,8287,Mbwana Samatta
0,2,0.15828774869441986,66,FW,Everton,Aston Villa,1,1,2020-07-16,11997,2019,409109,0.019622376188635826,0,1,0,0.15828774869441986,0.3179873824119568,0.15969961881637573,8287,Mbwana Samatta
0,1,0.3391232490539551,87,FW,Aston Villa,Crystal Palace,2,0,2020-07-12,11983,2019,407817,0.037277523428201675,0,1,0,0.3391232490539551,0.4745706021785736,0.09816983342170715,8287,Mbwana Samatta
0,0,0,64,FW,Aston Villa,Manchester United,0,3,2020-07-09,11974,2019,407180,0.020684342831373215,0,1,0,0,0.03655221685767174,0.03655221685767174,8287,Mbwana Samatta
0,0,0,13,Sub,Liverpool,Aston Villa,2,0,2020-07-05,11966,2019,405782,0.05210880935192108,0,1,0,0,0.05210880935192108,0,8287,Mbwana Samatta
0,1,0.026355259120464325,90,FW,Aston Villa,Wolverhampton Wanderers,0,1,2020-06-27,11954,2019,402914,0,0,0,0,0.026355259120464325,0.05468972399830818,0.028334464877843857,8287,Mbwana Samatta
0,2,0.32066893577575684,90,FW,Newcastle United,Aston Villa,1,1,2020-06-24,11949,2019,402419,0.021248793229460716,0,1,0,0.32066893577575684,0.7860051393508911,0.4440873861312866,8287,Mbwana Samatta
0,0,0,30,Sub,Aston Villa,Chelsea,1,2,2020-06-21,11933,2019,401671,0,0,0,0,0,0,0,8287,Mbwana Samatta
0,0,0,20,Sub,Aston Villa,Sheffield United,0,0,2020-06-17,11913,2019,400335,0,0,0,0,0,0,0,8287,Mbwana Samatta
0,1,0.47001421451568604,90,FW,Leicester,Aston Villa,4,0,2020-03-09,11927,2019,387887,0,0,0,0,0.47001421451568604,0,0,8287,Mbwana Samatta
0,1,0.07759085297584534,90,FW,Southampton,Aston Villa,2,0,2020-02-22,11908,2019,387258,0,0,0,0,0.07759085297584534,0.07759085297584534,0,8287,Mbwana Samatta
0,3,0.1932695508003235,86,FW,Aston Villa,Tottenham,2,3,2020-02-16,11894,2019,387023,0.08709592372179031,0,2,0,0.1932695508003235,0.27550578117370605,0.12147391587495804,8287,Mbwana Samatta
1,3,0.6342931985855103,90,FW,Bournemouth,Aston Villa,2,1,2020-02-01,11883,2019,386736,0.07353881746530533,0,2,1,0.6342931985855103,0.79798424243927,0.09015224128961563,8287,Mbwana Samatta
