goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.03213880956172943,9,Sub,VfB Stuttgart,FC Cologne,2,1,2022-05-14,17816,2021,535376,0.017419856041669846,0,1,0,0.03213880956172943,0.06514643877744675,0.06514643877744675,5240,Ondrej Duda
0,0,0,1,Sub,FC Cologne,Wolfsburg,0,1,2022-05-07,17806,2021,532337,0.12064015865325928,0,2,0,0,0,0,5240,Ondrej Duda
0,0,0,8,Sub,Borussia M.Gladbach,FC Cologne,1,3,2022-04-16,17782,2021,526662,0,0,0,0,0,0,0,5240,Ondrej Duda
0,1,0.06437873840332031,60,AMR,FC Cologne,Mainz 05,3,2,2022-04-09,17770,2021,524520,0.02465098723769188,0,1,0,0.06437873840332031,0.0890297219157219,0,5240,Ondrej Duda
0,3,0.18228024244308472,90,MC,FC Cologne,Borussia Dortmund,1,1,2022-03-20,17752,2021,522211,0.017665544524788857,0,1,0,0.18228024244308472,0.18228024244308472,0,5240,Ondrej Duda
0,1,0.01999894715845585,69,MC,Bayer Leverkusen,FC Cologne,0,1,2022-03-13,17747,2021,520176,0.04659794270992279,0,1,0,0.01999894715845585,0.2669122517108917,0.20031537115573883,5240,Ondrej Duda
0,0,0,1,Sub,FC Cologne,Hoffenheim,0,1,2022-03-06,17733,2021,518427,0.04063795506954193,0,1,0,0,0,0,5240,Ondrej Duda
0,0,0,4,Sub,Greuther Fuerth,FC Cologne,1,1,2022-02-26,17723,2021,515990,0.01177213340997696,0,1,0,0,0,0,5240,Ondrej Duda
0,0,0,2,Sub,FC Cologne,Eintracht Frankfurt,1,0,2022-02-19,17714,2021,514420,0,0,0,0,0,0,0,5240,Ondrej Duda
0,1,0.017902009189128876,63,AMC,RasenBallsport Leipzig,FC Cologne,3,1,2022-02-11,17713,2021,512332,0,0,0,0,0.017902009189128876,0,0,5240,Ondrej Duda
0,1,0.02762538008391857,24,Sub,FC Cologne,Freiburg,1,0,2022-02-05,17696,2021,511006,0,0,0,0,0.02762538008391857,0.14219500124454498,0.11456961929798126,5240,Ondrej Duda
0,0,0,62,FW,Bochum,FC Cologne,2,2,2022-01-22,17688,2021,509958,0,0,0,0,0,0,0,5240,Ondrej Duda
0,1,0.11811962723731995,60,MC,FC Cologne,Bayern Munich,0,4,2022-01-15,17678,2021,507968,0.03628651052713394,0,1,0,0.11811962723731995,0.21542105078697205,0.06101491302251816,5240,Ondrej Duda
1,3,0.49978193640708923,86,MC,Hertha Berlin,FC Cologne,1,3,2022-01-09,17671,2021,507251,0.05134832113981247,0,1,1,0.49978193640708923,0.5164903402328491,0.043537262827157974,5240,Ondrej Duda
0,2,0.11160875111818314,58,MC,FC Cologne,VfB Stuttgart,1,0,2021-12-19,17662,2021,504177,0,0,0,0,0.11160875111818314,0.11160875111818314,0,5240,Ondrej Duda
0,1,0.013635694980621338,74,MC,Wolfsburg,FC Cologne,2,3,2021-12-14,17658,2021,502963,0.47156569361686707,0,1,0,0.013635694980621338,0.47156569361686707,0,5240,Ondrej Duda
0,1,0.08495745062828064,90,MC,FC Cologne,Augsburg,0,2,2021-12-10,17644,2021,501202,0.13098843395709991,0,1,0,0.08495745062828064,0.8664193153381348,0.650473415851593,5240,Ondrej Duda
