goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,1,0.3338720202445984,90,AML,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411374,0,0,0,0,0.3338720202445984,0.3338720202445984,0,7697,Onel Hernández
0,1,0.030022645369172096,90,AML,Norwich,Burnley,0,2,2020-07-18,12008,2019,409672,0,0,0,0,0.030022645369172096,0.030022645369172096,0,7697,Onel Hernández
0,0,0,82,ML,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408494,0.02564656175673008,0,1,0,0,0,0,7697,Onel Hernández
0,2,0.22142335772514343,73,AML,Norwich,West Ham,0,4,2020-07-11,11988,2019,407332,0.13771815598011017,0,1,0,0.22142335772514343,0.3591415286064148,0,7697,Onel Hernández
0,2,0.11576342582702637,85,AML,Watford,Norwich,2,1,2020-07-07,11981,2019,406235,0.08302363753318787,1,2,0,0.11576342582702637,0.18274328112602234,0.014437404461205006,7697,Onel Hernández
0,4,0.25513869524002075,69,AML,Norwich,Brighton,0,1,2020-07-04,11969,2019,405068,0.07584618031978607,0,2,0,0.25513869524002075,0.2778845429420471,0.04144731163978577,7697,Onel Hernández
0,1,0.01502138003706932,42,Sub,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404433,0.014084350317716599,0,1,0,0.01502138003706932,0.03824955224990845,0.009143821895122528,7697,Onel Hernández
0,2,0.155985027551651,82,AML,Norwich,Everton,0,1,2020-06-24,11948,2019,402342,0.014606550335884094,0,1,0,0.155985027551651,0.1705915778875351,0,7697,Onel Hernández
0,1,0.014835641719400883,26,Sub,Norwich,Southampton,0,3,2020-06-19,11937,2019,400725,0,0,0,0,0.014835641719400883,0.2667689025402069,0.2667689025402069,7697,Onel Hernández
0,0,0,2,Sub,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386632,0,0,0,0,0,0,0,7697,Onel Hernández
0,0,0,7,Sub,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386497,0,0,0,0,0,0.047359220683574677,0.047359220683574677,7697,Onel Hernández
0,1,0.02862708456814289,24,Sub,Manchester United,Norwich,4,0,2020-01-11,11862,2019,385846,0,0,0,0,0.02862708456814289,0.02862708456814289,0,7697,Onel Hernández
0,0,0,11,Sub,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385641,0,0,0,0,0,0,0,7697,Onel Hernández
0,1,0.04690750315785408,90,AML,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372789,0,0,0,0,0.04690750315785408,0.04690750315785408,0,7697,Onel Hernández
0,1,0.0888463705778122,11,Sub,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372560,0,0,0,0,0.0888463705778122,0.0888463705778122,0,7697,Onel Hernández
0,0,0,2,Sub,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371519,0,0,0,0,0,0,0,7697,Onel Hernández
0,0,0,1,Sub,Leicester,Norwich,1,1,2019-12-14,11807,2019,369821,0.05935836210846901,0,1,0,0,0.05935836210846901,0,7697,Onel Hernández
0,1,0.022754700854420662,74,AML,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,369003,0.03267153352499008,0,2,0,0.022754700854420662,0.055426232516765594,0,7697,Onel Hernández
0,1,0.05333951860666275,90,AML,Southampton,Norwich,2,1,2019-12-04,11790,2019,367714,0.143374964594841,0,3,0,0.05333951860666275,0.21858566999435425,0.021871177479624748,7697,Onel Hernández
0,0,0,90,AML,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366792,0.09872549027204514,1,2,0,0,0.3409740924835205,0.24224859476089478,7697,Onel Hernández
0,3,0.20559772849082947,90,AML,Everton,Norwich,0,2,2019-11-23,11768,2019,364815,0.12299156934022903,0,2,0,0.20559772849082947,0.4075425863265991,0.07895328849554062,7697,Onel Hernández
0,1,0.06461130082607269,90,AML,Norwich,Watford,0,2,2019-11-08,11757,2019,362812,0.04339823126792908,0,1,0,0.06461130082607269,0.21912480890750885,0.15451350808143616,7697,Onel Hernández
0,0,0,90,AML,Brighton,Norwich,2,0,2019-11-02,11746,2019,361519,0.06478632986545563,0,1,0,0,0.06478632986545563,0,7697,Onel Hernández
1,5,0.2101641595363617,41,Sub,Norwich,Manchester United,1,3,2019-10-27,11739,2019,360344,0,0,0,1,0.2101641595363617,0.19728924334049225,0,7697,Onel Hernández
0,0,0,8,Sub,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357943,0,0,0,0,0,0.012716051191091537,0.012716051191091537,7697,Onel Hernández
0,1,0.049240197986364365,17,Sub,Liverpool,Norwich,4,1,2019-08-09,11643,2019,341178,0,0,0,0,0.049240197986364365,0.058238666504621506,0.008998467586934566,7697,Onel Hernández
