goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,49,DC,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409800,0,0,0,0,0,0.09515675157308578,0.09515675157308578,787,Ryan Bennett
0,0,0,90,DC,Leicester,Sheffield United,2,0,2020-07-16,11998,2019,409115,0,0,0,0,0,1.0269619226455688,1.0269619226455688,787,Ryan Bennett
0,0,0,75,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408226,0,0,0,0,0,0.12520168721675873,0.12520168721675873,787,Ryan Bennett
0,0,0,80,DC,Arsenal,Leicester,1,1,2020-07-07,11973,2019,406380,0,0,0,0,0,0.09820639342069626,0.09820639342069626,787,Ryan Bennett
0,0,0,41,Sub,Leicester,Crystal Palace,3,0,2020-07-04,11965,2019,405169,0,0,0,0,0,0.12727652490139008,0.12727652490139008,787,Ryan Bennett
0,0,0,58,DC,Watford,Wolverhampton Wanderers,2,1,2020-01-01,11852,2019,385537,0,0,0,0,0,0.08186490088701248,0.08186490088701248,787,Ryan Bennett
0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29,11836,2019,372906,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,1,Sub,Wolverhampton Wanderers,Manchester City,3,2,2019-12-27,11832,2019,372656,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,1,Sub,Wolverhampton Wanderers,West Ham,2,0,2019-12-04,11787,2019,367649,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,1,Sub,Wolverhampton Wanderers,Aston Villa,2,1,2019-11-10,11760,2019,363890,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,17,DC,Wolverhampton Wanderers,Southampton,1,1,2019-10-19,11732,2019,357866,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,78,Sub,Manchester City,Wolverhampton Wanderers,0,2,2019-10-06,11716,2019,356858,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,90,DC,Everton,Wolverhampton Wanderers,3,2,2019-09-01,11681,2019,347998,0.025151504203677177,0,1,0,0,0.5011937022209167,0.4760421812534332,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,Burnley,1,1,2019-08-25,11668,2019,344677,0.06539096683263779,0,1,0,0,0.1306835561990738,0.065292589366436,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,Manchester United,1,1,2019-08-19,11662,2019,342733,0,0,0,0,0,0.019186047837138176,0.019186047837138176,787,Ryan Bennett
0,1,0.02391529269516468,90,DC,Leicester,Wolverhampton Wanderers,0,0,2019-08-11,11651,2019,341554,0,0,0,0,0.02391529269516468,0.06395632028579712,0.06395632028579712,787,Ryan Bennett
0,0,0,90,DC,Liverpool,Wolverhampton Wanderers,2,0,2019-05-12,9571,2018,332358,0,0,0,0,0,0.4738556146621704,0.4738556146621704,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,Fulham,1,0,2019-05-04,9557,2018,330207,0,0,0,0,0,0.011868353933095932,0.011868353933095932,787,Ryan Bennett
0,0,0,90,DC,Watford,Wolverhampton Wanderers,1,2,2019-04-27,9547,2018,328286,0,0,0,0,0,0,0,787,Ryan Bennett
0,1,0.012665556743741035,90,DC,Wolverhampton Wanderers,Arsenal,3,1,2019-04-24,9497,2018,327608,0,0,0,0,0.012665556743741035,0.20651467144489288,0.20651467144489288,787,Ryan Bennett
0,2,0.14930889010429382,90,DC,Wolverhampton Wanderers,Brighton,0,0,2019-04-20,9537,2018,325980,0,0,0,0,0.14930889010429382,0.47854068875312805,0.47854068875312805,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,Manchester United,2,1,2019-04-02,9517,2018,321578,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,Cardiff,2,0,2019-03-02,9477,2018,305239,0,0,0,0,0,0.4536423087120056,0.4536423087120056,787,Ryan Bennett
0,0,0,90,DC,Huddersfield,Wolverhampton Wanderers,1,0,2019-02-26,9468,2018,304976,0,0,0,0,0,0.36915257573127747,0.36915257573127747,787,Ryan Bennett
0,0,0,90,DC,Bournemouth,Wolverhampton Wanderers,1,1,2019-02-23,9465,2018,304809,0,0,0,0,0,0.12812435626983643,0.12812435626983643,787,Ryan Bennett
0,1,0.024474594742059708,90,DC,Wolverhampton Wanderers,Newcastle United,1,1,2019-02-11,9450,2018,304686,0,0,0,0,0.024474594742059708,0.041740354150533676,0.041740354150533676,787,Ryan Bennett
0,0,0,90,DC,Everton,Wolverhampton Wanderers,1,3,2019-02-02,9441,2018,304259,0,0,0,0,0,0,0,787,Ryan Bennett
0,0,0,90,DC,Wolverhampton Wanderers,West Ham,3,0,2019-01-29,9427,2018,303947,0,0,0,0,0,0.09108930826187134,0.09108930826187134,787,Ryan Bennett
1,1,0.1024302989244461,90,DC,Wolverhampton Wanderers,Leicester,4,3,2019-01-19,9417,2018,303593,0,0,0,1,0.1024302989244461,0.6800684928894043,0.6800684928894043,787,Ryan Bennett
0,0,0,90,DC,Manchester City,Wolverhampton Wanderers,3,0,2019-01-14,9409,2018,303578,0.021084152162075043,0,1,0,0,0.021084152162075043,0,787,Ryan Bennett
