goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,51,DC,Norwich,Burnley,0,2,2020-07-18,12008,2019,409665,0,0,0,0,0,0,0,162,Timm Klose
0,0,0,90,DC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408487,0,0,0,0,0,0,0,162,Timm Klose
0,0,0,90,DC,Norwich,West Ham,0,4,2020-07-11,11988,2019,407325,0,0,0,0,0,0.22260034084320068,0.22260034084320068,162,Timm Klose
0,1,0.07122992724180222,90,DC,Watford,Norwich,2,1,2020-07-07,11981,2019,406228,0,0,0,0,0.07122992724180222,0.09971964359283447,0.09971964359283447,162,Timm Klose
0,0,0,90,DC,Norwich,Brighton,0,1,2020-07-04,11969,2019,405061,0,0,0,0,0,0.14311644434928894,0.14311644434928894,162,Timm Klose
0,0,0,90,DC,Norwich,Everton,0,1,2020-06-24,11948,2019,402335,0,0,0,0,0,0,0,162,Timm Klose
0,2,0.16725851595401764,90,DC,Norwich,Southampton,0,3,2020-06-19,11937,2019,400715,0,0,0,0,0.16725851595401764,0,0,162,Timm Klose
0,0,0,39,DC,Crystal Palace,Norwich,1,0,2016-04-09,399,2015,66706,0,0,0,0,0,0,0,162,Timm Klose
1,2,0.5065154433250427,90,DC,Norwich,Newcastle United,3,2,2016-04-02,387,2015,66142,0,0,0,1,0.5065154433250427,0,0,162,Timm Klose
0,0,0,90,DC,West Bromwich Albion,Norwich,0,1,2016-03-19,378,2015,67094,0,0,0,0,0,0,0,162,Timm Klose
0,0,0,90,DC,Norwich,Manchester City,0,0,2016-03-12,369,2015,65642,0,0,0,0,0,0,0,162,Timm Klose
0,0,0,90,DC,Swansea,Norwich,1,0,2016-03-05,361,2015,66402,0,0,0,0,0,0.10795613378286362,0.10795613378286362,162,Timm Klose
0,1,0.036949049681425095,90,DC,Norwich,Chelsea,1,2,2016-03-01,353,2015,67107,0,0,0,0,0.036949049681425095,0.036949049681425095,0,162,Timm Klose
0,0,0,90,DC,Leicester,Norwich,1,0,2016-02-27,343,2015,62159,0,0,0,0,0,0,0,162,Timm Klose
0,0,0,90,DC,Norwich,West Ham,2,2,2016-02-13,333,2015,61759,0,0,0,0,0,0,0,162,Timm Klose
