goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,48,DMC,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404426,0.013341730460524559,0,1,0,0,0.013341730460524559,0,7692,Tom Trybull
0,0,0,64,MC,Norwich,Southampton,0,3,2020-06-19,11937,2019,400719,0,0,0,0,0,0.15778784453868866,0.15778784453868866,7692,Tom Trybull
0,0,0,13,Sub,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372791,0,0,0,0,0,0,0,7692,Tom Trybull
0,1,0.08023019134998322,78,DMC,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372552,0,0,0,0,0.08023019134998322,0.09927063435316086,0.09927063435316086,7692,Tom Trybull
0,0,0,87,DMC,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371511,0,0,0,0,0,0.5476368069648743,0.5476368069648743,7692,Tom Trybull
0,0,0,90,DMC,Leicester,Norwich,1,1,2019-12-14,11807,2019,369813,0,0,0,0,0,0.746015191078186,0.746015191078186,7692,Tom Trybull
0,0,0,47,DMC,Southampton,Norwich,2,1,2019-12-04,11790,2019,367711,0,0,0,0,0,0.021871177479624748,0.021871177479624748,7692,Tom Trybull
0,1,0.022925864905118942,90,DMC,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366789,0.08642208576202393,0,1,0,0.022925864905118942,0.12501654028892517,0.015668591484427452,7692,Tom Trybull
0,2,0.11621458828449249,90,DMC,Everton,Norwich,0,2,2019-11-23,11768,2019,364811,0,0,0,0,0.11621458828449249,0.07895328849554062,0.07895328849554062,7692,Tom Trybull
0,2,0.018735742196440697,90,DMC,Norwich,Watford,0,2,2019-11-08,11757,2019,362808,0,0,0,0,0.018735742196440697,0.08260451257228851,0.06386876851320267,7692,Tom Trybull
0,2,0.13833127915859222,88,DMC,Brighton,Norwich,2,0,2019-11-02,11746,2019,361515,0,0,0,0,0.13833127915859222,0.04516752436757088,0.04516752436757088,7692,Tom Trybull
0,1,0.012716051191091537,39,Sub,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357944,0,0,0,0,0.012716051191091537,0.14661309123039246,0.13389703631401062,7692,Tom Trybull
0,0,0,90,DMC,West Ham,Norwich,2,0,2019-08-31,11674,2019,347418,0,0,0,0,0,0.49969401955604553,0.49969401955604553,7692,Tom Trybull
0,0,0,83,DMC,Norwich,Chelsea,2,3,2019-08-24,11664,2019,343818,0,0,0,0,0,0.09935839474201202,0.09935839474201202,7692,Tom Trybull
0,1,0.033558014780282974,89,DMC,Norwich,Newcastle United,3,1,2019-08-17,11657,2019,341901,0.05025540664792061,0,1,0,0.033558014780282974,0.7246530652046204,0.7246530652046204,7692,Tom Trybull
0,1,0.021541999652981758,73,DMC,Liverpool,Norwich,4,1,2019-08-09,11643,2019,341171,0,0,0,0,0.021541999652981758,0.09957214444875717,0.09957214444875717,7692,Tom Trybull
