goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,4,Sub,Espanyol,Real Betis,1,4,2022-01-21,17349,2021,509428,0,0,0,0,0,0.0375094972550869,0.0375094972550869,2390,Víctor Camarasa
0,0,0,7,Sub,Real Betis,Alaves,4,0,2022-01-18,17339,2021,508895,0,0,0,0,0,0.07132256031036377,0.07132256031036377,2390,Víctor Camarasa
0,0,0,16,Sub,Villarreal,Real Betis,2,0,2021-10-03,17209,2021,487613,0,0,0,0,0,0.01876453496515751,0.01876453496515751,2390,Víctor Camarasa
0,0,0,1,Sub,Real Betis,Getafe,2,0,2021-09-26,17205,2021,485871,0,0,0,0,0,0,0,2390,Víctor Camarasa
0,0,0,19,Sub,Real Betis,Espanyol,2,2,2021-09-19,17179,2021,483080,0,0,0,0,0,0.028425954282283783,0.028425954282283783,2390,Víctor Camarasa
0,0,0,24,Sub,Granada,Real Betis,1,2,2021-09-13,17169,2021,481631,0,0,0,0,0,0.043921973556280136,0.043921973556280136,2390,Víctor Camarasa
0,1,0.012270641513168812,17,Sub,Real Betis,Real Madrid,0,1,2021-08-28,17161,2021,479343,0,0,0,0,0.012270641513168812,0.012270641513168812,0,2390,Víctor Camarasa
0,0,0,66,MC,Alaves,Barcelona,0,5,2020-07-19,12393,2019,409821,0,0,0,0,0,0.01651626266539097,0.01651626266539097,2390,Víctor Camarasa
0,0,0,90,MC,Real Betis,Alaves,1,2,2020-07-16,12384,2019,409381,1.0292049646377563,1,3,0,0,1.1279938220977783,1.1279938220977783,2390,Víctor Camarasa
0,0,0,7,Sub,Alaves,Getafe,0,0,2020-07-13,12373,2019,408334,0,0,0,0,0,0,0,2390,Víctor Camarasa
0,0,0,90,MC,Real Madrid,Alaves,2,0,2020-07-10,12372,2019,407314,0.021958475932478905,0,1,0,0,0.9389761090278625,0.9170176386833191,2390,Víctor Camarasa
0,1,0.0940818041563034,90,AMC,Real Valladolid,Alaves,1,0,2020-07-04,12362,2019,405386,0.019241314381361008,0,1,0,0.0940818041563034,0.1203826516866684,0.007059535011649132,2390,Víctor Camarasa
