Understat_ID, FPL_ID, Understat_Name, FPL_Name
647,388,Harry Kane,Harry Kane
1250,254,Mohamed Salah,Mohamed Salah
1228,-1,Bruno Fernandes,
453,-1,Son Heung-Min,
822,202,Patrick Bamford,Patrick Bamford
5555,164,Dominic Calvert-Lewin,Dominic Calvert-Lewin
755,224,Jamie Vardy,Jamie Vardy
8865,514,Ollie Watkins,Ollie Watkins
314,271,Ilkay Gündogan,Ilkay Gündogan
3277,6,Alexandre Lacazette,Alexandre Lacazette
468,506,Callum Wilson,Callum Wilson
620,233,Kelechi Iheanacho,Kelechi Iheanacho
986,366,Danny Ings,Danny Ings
4456,91,Chris Wood,Chris Wood
522,141,Wilfried Zaha,Wilfried Zaha
556,306,Marcus Rashford,Marcus Rashford
838,251,Sadio Mané,Sadio Mané
2251,543,Gareth Bale,Gareth Bale
7153,481,Matheus Pereira,Matheus Pereira
318,4,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang
531,437,Michail Antonio,Michail Antonio
606,132,Christian Benteke,Christian Benteke
618,276,Raheem Sterling,Raheem Sterling
3294,569,Edinson Cavani,Edinson Cavani
5612,45,Anwar El Ghazi,Anwar El Ghazi
5656,-1,Nicolas Pepe,
8288,449,Tomas Soucek,Tomas Soucek
482,249,Roberto Firmino,Roberto Firmino
558,301,Jesse Lingard,Jesse Lingard
750,275,Riyad Mahrez,Riyad Mahrez
5543,-1,Gabriel Jesus,
6055,284,Phil Foden,Phil Foden
6681,235,Harvey Barnes,Harvey Barnes
6854,468,Diogo Jota,Diogo Jota
7700,377,Che Adams,Che Adams
843,370,James Ward-Prowse,James Ward-Prowse
1776,445,Jarrod Bowen,Jarrod Bowen
3621,68,Neal Maupay,Neal Maupay
6630,-1,Joe Willock,
6818,231,James Maddison,James Maddison
7711,344,David McGoldrick,David McGoldrick
8718,200,Stuart Dallas,Stuart Dallas
8720,203,Jack Harrison,Jack Harrison
695,540,Bertrand Traoré,Bertrand Traoré
1389,-1,Jorginho,
2381,-1,Rodrigo,
6026,-1,Richarlison,
6441,-1,Ferrán Torres,
7490,315,Mason Greenwood,Mason Greenwood
65,117,Timo Werner,Timo Werner
447,272,Kevin De Bruyne,Kevin De Bruyne
501,588,Danny Welbeck,Danny Welbeck
675,37,Jack Grealish,Jack Grealish
702,118,Tammy Abraham,Tammy Abraham
714,150,Gylfi Sigurdsson,Gylfi Sigurdsson
2249,508,James Rodríguez,James Rodríguez
5956,228,Youri Tielemans,Youri Tielemans
7768,120,Mason Mount,Mason Mount
8026,-1,Raphinha,
935,110,Kurt Zouma,Kurt Zouma
2335,450,Pablo Fornals,Pablo Fornals
4476,358,Callum Robinson,Callum Robinson
6048,62,Lewis Dunk,Lewis Dunk
6382,-1,Pedro Neto,
6827,-1,Bobby Reid,
6853,-1,Rúben Neves,
7322,24,Bukayo Saka,Bukayo Saka
7698,69,Leandro Trossard,Leandro Trossard
87,-1,Joelinton,
502,103,Olivier Giroud,Olivier Giroud
553,303,Anthony Martial,Anthony Martial
586,273,John Stones,John Stones
619,268,Sergio Agüero,Sergio Agüero
2662,119,Christian Pulisic,Christian Pulisic
4105,460,Raúl Jiménez,Raúl Jiménez
4381,198,Mateusz Klich,Mateusz Klich
5220,500,Kai Havertz,Kai Havertz
5556,557,Ademola Lookman,Ademola Lookman
5560,309,Scott McTominay,Scott McTominay
6893,368,Stuart Armstrong,Stuart Armstrong
7420,339,Miguel Almirón,Miguel Almirón
8706,489,Eberechi Eze,Eberechi Eze
8778,504,Fabio Silva,Fabio Silva
101,338,Allan Saint-Maximin,Allan Saint-Maximin
111,369,Jannik Vestergaard,Jannik Vestergaard
239,57,Pascal Groß,Pascal Groß
503,148,Theo Walcott,Theo Walcott
528,432,Angelo Ogbonna,Angelo Ogbonna
592,106,Ross Barkley,Ross Barkley
669,89,Ashley Westwood,Ashley Westwood
773,-1,Aleksandar Mitrovic,
782,-1,Ben Chilwell,
804,576,Craig Dawson,Craig Dawson
964,412,Kyle Bartley,Kyle Bartley
1017,93,Matej Vydra,Matej Vydra
1653,156,Michael Keane,Michael Keane
1740,296,Paul Pogba,Paul Pogba
3293,-1,Lucas Moura,
3428,-1,Hélder Costa,
3491,-1,Romain Saiss,
3683,-1,Ivan Cavaleiro,
4422,87,Ashley Barnes,Ashley Barnes
5587,665,Josh Maja,Josh Maja
5595,311,Daniel James,Daniel James
5962,-1,Tanguy NDombele Alvaro,
6144,441,Sébastien Haller,Sébastien Haller
7712,343,Billy Sharp,Billy Sharp
7723,38,John McGinn,John McGinn
8239,258,Takumi Minamino,Takumi Minamino
8291,-1,Daniel Podence,
9290,648,Mbaye Diagne,Mbaye Diagne
343,396,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg
725,562,Ola Aina,Ola Aina
757,142,Jeffrey Schlupp,Jeffrey Schlupp
