goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,Understat_ID,player_name
0,0,0,9,Sub,RasenBallsport Leipzig,Augsburg,4,0,2022-05-08,17811,2021,533992,0,0,0,0,0,0,0,9099,Andi Zeqiri
0,1,0.043637119233608246,3,Sub,Augsburg,Hertha Berlin,0,1,2022-04-16,17778,2021,526350,0,0,0,0,0.043637119233608246,0.05627978593111038,0.012642664834856987,9099,Andi Zeqiri
0,1,0.03010852448642254,33,Sub,Bayern Munich,Augsburg,1,0,2022-04-09,17776,2021,524479,0,0,0,0,0.03010852448642254,0.03010852448642254,0,9099,Andi Zeqiri
0,1,0.035187624394893646,16,Sub,Augsburg,Wolfsburg,3,0,2022-04-03,17760,2021,523505,0,0,0,0,0.035187624394893646,0.035187624394893646,0,9099,Andi Zeqiri
0,1,0.05356463044881821,15,Sub,VfB Stuttgart,Augsburg,3,2,2022-03-19,17755,2021,521166,0,0,0,0,0.05356463044881821,0.06615874171257019,0.012594111263751984,9099,Andi Zeqiri
0,2,0.1178395077586174,11,Sub,Borussia M.Gladbach,Augsburg,3,2,2022-02-12,17709,2021,512612,0,0,0,0,0.1178395077586174,0.3759119510650635,0.2580724358558655,9099,Andi Zeqiri
0,1,0.046240195631980896,16,Sub,Augsburg,Union Berlin,2,0,2022-02-05,17699,2021,511102,0,0,0,0,0.046240195631980896,0.046240195631980896,0,9099,Andi Zeqiri
0,2,0.08802315592765808,44,Sub,Bayer Leverkusen,Augsburg,5,1,2022-01-22,17693,2021,509576,0.12959830462932587,0,2,0,0.08802315592765808,0.23705710470676422,0.019435640424489975,9099,Andi Zeqiri
0,0,0,49,ML,Augsburg,Eintracht Frankfurt,1,1,2022-01-16,17680,2021,508623,0,0,0,0,0,0.051720552146434784,0.051720552146434784,9099,Andi Zeqiri
0,2,0.04708670452237129,64,FW,Hoffenheim,Augsburg,3,1,2022-01-08,17672,2021,506802,0,0,0,0,0.04708670452237129,0.04708670452237129,0,9099,Andi Zeqiri
0,1,0.09747806936502457,59,FW,Greuther Fuerth,Augsburg,0,0,2021-12-18,17660,2021,503713,0,0,0,0,0.09747806936502457,0.09747806936502457,0,9099,Andi Zeqiri
0,1,0.09959198534488678,40,FW,Augsburg,Bochum,2,3,2021-12-04,17634,2021,499865,0,0,0,0,0.09959198534488678,0.09959198534488678,0,9099,Andi Zeqiri
0,5,0.8385529518127441,78,FW,Hertha Berlin,Augsburg,1,1,2021-11-27,17627,2021,497305,0,0,0,0,0.8385529518127441,0.9006496071815491,0.08221946656703949,9099,Andi Zeqiri
0,0,0,83,FW,Augsburg,Bayern Munich,2,1,2021-11-19,17616,2021,495256,0,0,0,0,0,0.05332355946302414,0.05332355946302414,9099,Andi Zeqiri
0,2,0.5164768099784851,90,FW,Wolfsburg,Augsburg,1,0,2021-11-06,17612,2021,493866,0.04242474585771561,0,1,0,0.5164768099784851,0.6032270789146423,0.04432552307844162,9099,Andi Zeqiri
0,3,0.20306161046028137,90,FW,Augsburg,VfB Stuttgart,4,1,2021-10-31,17598,2021,493067,0.23220661282539368,1,4,0,0.20306161046028137,0.43526822328567505,0.05362270027399063,9099,Andi Zeqiri
1,1,0.29759475588798523,42,Sub,Mainz 05,Augsburg,4,1,2021-10-22,17592,2021,489513,0,0,0,1,0.29759475588798523,0.29759475588798523,0,9099,Andi Zeqiri
0,2,0.0847434252500534,67,FW,Augsburg,Arminia Bielefeld,1,1,2021-10-17,17580,2021,489042,0.03725958243012428,0,1,0,0.0847434252500534,0.12200301140546799,0,9099,Andi Zeqiri
1,1,0.4342135488986969,78,FW,Borussia Dortmund,Augsburg,2,1,2021-10-02,17576,2021,486334,0,0,0,1,0.4342135488986969,0.4342135488986969,0,9099,Andi Zeqiri
0,1,0.00782222580164671,44,Sub,Freiburg,Augsburg,3,0,2021-09-26,17569,2021,485671,0,0,0,0,0.00782222580164671,0.022151514887809753,0.014329289086163044,9099,Andi Zeqiri
0,0,0,67,FW,Augsburg,Borussia M.Gladbach,1,0,2021-09-18,17553,2021,482037,0.041965410113334656,0,1,0,0,0.041965410113334656,0,9099,Andi Zeqiri
0,2,0.0738295242190361,26,Sub,Union Berlin,Augsburg,0,0,2021-09-11,17546,2021,480203,0,0,0,0,0.0738295242190361,0.12892405688762665,0.07895606756210327,9099,Andi Zeqiri
0,1,0.14055126905441284,20,Sub,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472359,0.11249309778213501,0,1,0,0.14055126905441284,0.25304436683654785,0.11249309778213501,9099,Andi Zeqiri
0,0,0,6,Sub,Brighton,West Ham,1,1,2021-05-15,14785,2020,471073,0,0,0,0,0,0,0,9099,Andi Zeqiri
0,0,0,11,Sub,Wolverhampton Wanderers,Brighton,2,1,2021-05-09,14784,2020,469108,0,0,0,0,0,0,0,9099,Andi Zeqiri
0,0,0,1,Sub,Manchester United,Brighton,2,1,2021-04-04,14731,2020,460522,0,0,0,0,0,0,0,9099,Andi Zeqiri
0,0,0,1,Sub,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458334,0,0,0,0,0,0,0,9099,Andi Zeqiri
0,1,0.0705689862370491,42,Sub,Southampton,Brighton,1,2,2021-03-14,14713,2020,456767,0,0,0,0,0.0705689862370491,0.4433514475822449,0.372782438993454,9099,Andi Zeqiri
