team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
159801,1,92,3,1002972,0,0,92,1002969,100.0,
159801,2,64,0,2117810,0,0,156,973395,100.4,
159801,3,68,1,1009652,1,0,224,714289,100.8,
159801,4,61,7,3229501,3,4,281,855318,100.5,
159801,5,58,3,3268931,0,0,339,917644,100.4,
159801,6,64,14,252377,2,0,403,486497,100.9,
159801,7,57,13,375369,1,0,460,248632,101.0,
159801,8,69,3,343737,0,0,529,120307,100.7,wildcard
159801,9,107,5,174189,1,0,636,38910,101.2,
159801,10,60,17,660411,0,0,696,21518,102.1,
159801,11,69,20,163477,1,0,765,13537,102.4,
159801,12,73,9,1268989,1,0,838,14694,103.1,
159801,13,54,0,1968491,1,0,892,17245,103.5,
159801,14,47,3,6952130,1,0,939,47651,103.8,
159801,15,40,12,5307705,1,0,979,71775,104.0,
159801,16,75,4,1007376,2,0,1054,54199,104.4,
159801,17,84,0,24946,2,4,1134,23577,104.9,
159801,18,99,0,966,2,4,1229,3128,105.2,
159801,19,67,0,265602,1,0,1296,1238,105.6,
159801,20,51,0,1274079,1,0,1347,888,105.8,
159801,21,91,10,84212,2,4,1434,562,105.7,
159801,22,97,2,72021,1,0,1531,113,106.4,
159801,23,30,9,5990152,0,0,1561,144,106.7,
159801,24,74,10,1200702,3,4,1631,197,106.9,
159801,25,80,1,170040,0,0,1711,118,107.2,
159801,26,157,6,46946,3,4,1864,33,106.6,3xc
159801,27,54,0,1422137,1,0,1918,32,106.6,
159801,28,85,10,2142285,2,4,1999,198,105.9,
159801,29,95,4,989860,3,8,2086,371,106.0,
159801,30,55,0,1272999,1,0,2141,382,105.9,
159801,31,46,3,3793034,2,4,2183,586,105.3,
159801,32,69,2,1160446,1,0,2252,586,105.2,
159801,33,66,13,3856317,0,0,2318,1114,105.0,freehit
159801,34,77,10,470296,0,0,2395,701,104.1,wildcard
159801,35,66,4,647889,0,0,2461,393,104.3,
159801,36,201,0,310,2,0,2662,10,105.0,bboost
159801,37,110,10,61689,0,0,2772,1,105.5,freehit
2547,1,101,7,316057,0,0,101,316055,100.0,
2547,2,94,1,21218,0,0,195,24756,100.4,
2547,3,76,1,250618,2,0,271,7311,101.0,
2547,4,79,7,325877,2,4,346,3148,101.2,
2547,5,60,1,2910875,1,0,406,5465,101.2,
2547,6,53,6,1414859,1,0,459,4705,101.7,
2547,7,42,6,2918976,1,0,501,8157,101.9,
2547,8,63,1,956967,0,0,564,5545,102.2,
2547,9,83,15,2070140,3,4,643,24446,102.4,
2547,10,43,13,3921557,0,0,686,42269,103.3,
2547,11,68,25,213763,2,0,754,27929,103.0,
2547,12,77,0,780688,1,0,831,23155,103.4,
2547,13,67,0,356919,1,0,898,12568,104.0,
2547,14,75,1,1041934,1,0,973,7214,104.4,
2547,15,53,2,1662065,1,0,1026,5932,104.3,
2547,16,70,13,1616182,0,0,1096,5438,104.1,wildcard
2547,17,75,1,177823,4,12,1159,6046,104.4,
2547,18,55,0,1561896,1,0,1214,7697,104.3,
2547,19,52,0,1412882,1,0,1266,7517,104.3,
2547,20,61,7,346588,1,0,1327,3175,104.4,
2547,21,83,12,339224,2,4,1406,3112,104.7,
2547,22,102,13,30131,1,0,1508,500,105.2,
2547,23,51,11,581989,2,4,1555,224,105.6,
2547,24,72,16,1358480,1,0,1627,255,106.3,
2547,25,69,4,778314,0,0,1696,323,106.7,
2547,26,137,6,523651,3,4,1829,333,106.6,3xc
2547,27,64,10,387340,3,8,1885,326,106.4,
2547,28,78,10,2882834,1,0,1963,1296,106.3,
2547,29,117,16,50521,3,8,2072,759,106.0,
2547,30,69,9,453281,0,0,2141,385,105.9,freehit
2547,31,56,3,1383901,0,0,2197,298,106.2,
2547,32,66,3,1404305,0,0,2263,362,106.2,
2547,33,90,14,464279,0,0,2353,250,106.2,freehit
2547,34,71,7,944184,1,0,2424,199,106.0,
2547,35,88,5,19472,0,0,2512,34,105.4,wildcard
2547,36,180,0,9793,0,0,2692,2,105.7,bboost
2547,37,79,2,711947,1,0,2771,2,106.2,
207377,1,100,8,377647,0,0,100,377644,100.0,
207377,2,76,1,639116,0,0,176,253646,100.3,
207377,3,70,3,734527,1,0,246,152809,100.8,
207377,4,79,6,341146,4,8,317,113573,101.0,
207377,5,53,1,4500309,0,0,370,215180,101.2,
207377,6,47,4,2938318,2,0,417,240500,101.9,
207377,7,37,2,4435601,1,0,454,341370,102.2,
207377,8,73,12,163325,0,0,527,139334,102.5,wildcard
207377,9,113,36,73451,1,0,640,29943,103.0,
207377,10,63,18,462107,1,0,703,13767,104.1,
207377,11,65,10,319143,0,0,768,11346,104.9,
207377,12,83,6,316080,1,0,851,6324,105.8,
207377,13,48,8,3343560,1,0,899,11483,106.2,
207377,14,62,5,4004373,2,0,961,15414,106.5,
207377,15,42,3,4473091,0,0,1003,23230,106.6,
207377,16,59,1,3807899,2,0,1062,37759,106.7,
207377,17,100,5,339,1,0,1162,4863,107.0,
207377,18,67,0,383959,1,0,1229,3089,107.3,
207377,19,53,10,1291263,1,0,1282,2892,107.8,
207377,20,59,1,474657,2,4,1337,1739,107.6,
207377,21,95,1,35571,2,4,1428,846,107.1,
207377,22,66,3,1672656,3,8,1486,1793,107.2,
