Understat_ID,FPL_ID,Understat_Name,FPL_Name,season
647,403,Harry Kane,Harry Kane,2016-17
594,143,Romelu Lukaku,Romelu Lukaku,2016-17
498,12,Alexis Sánchez,Alexis Sánchez,2016-17
619,239,Sergio Agüero,Sergio Agüero,2016-17
802,97,Diego Costa,Diego Da Silva Costa,2016-17
645,388,Dele Alli,Bamidele Alli,2016-17
1741,272,Zlatan Ibrahimovic,Zlatan Ibrahimovic,2016-17
465,48,Joshua King,Joshua King,2016-17
701,82,Eden Hazard,Eden Hazard,2016-17
606,213,Christian Benteke,Christian Benteke,2016-17
735,355,Jermain Defoe,Jermain Defoe,2016-17
1728,500,Fernando Llorente,Fernando Llorente,2016-17
453,390,Son Heung-Min,Heung-Min Son,2016-17
488,203,Philippe Coutinho,Philippe Coutinho,2016-17
755,184,Jamie Vardy,Jamie Vardy,2016-17
838,212,Sadio Mané,Sadio Mané,2016-17
502,25,Olivier Giroud,Olivier Giroud,2016-17
482,209,Roberto Firmino,Roberto Firmino,2016-17
503,13,Theo Walcott,Theo Walcott,2016-17
574,425,Troy Deeney,Troy Deeney,2016-17
1661,67,Sam Vokes,Sam Vokes,2016-17
531,464,Michail Antonio,Michail Antonio,2016-17
687,109,Pedro,Pedro Rodríguez Ledesma,2016-17
714,368,Gylfi Sigurdsson,Gylfi Sigurdsson,2016-17
1660,68,Andre Gray,Andre Gray,2016-17
1715,478,Álvaro Negredo,Álvaro Negredo,2016-17
486,205,Adam Lallana,Adam Lallana,2016-17
499,14,Mesut Özil,Mesut Özil,2016-17
535,462,Manuel Lanzini,Manuel Lanzini,2016-17
646,394,Christian Eriksen,Christian Eriksen,2016-17
700,106,Willian,Willian Borges Da Silva,2016-17
813,449,Salomón Rondón,Salomón Rondón,2016-17
463,42,Junior Stanislas,Junior Stanislas,2016-17
484,217,Divock Origi,Divock Origi,2016-17
489,208,James Milner,James Milner,2016-17
522,111,Wilfried Zaha,Wilfried Zaha,2016-17
537,468,Andy Carroll,Andy Carroll,2016-17
572,416,Etienne Capoue,Etienne Capoue,2016-17
618,228,Raheem Sterling,Raheem Sterling,2016-17
790,304,Nathan Redmond,Nathan Redmond,2016-17
872,336,Peter Crouch,Peter Crouch,2016-17
1682,567,Islam Slimani,Islam Slimani,2016-17
1691,155,Robert Snodgrass,Robert Snodgrass,2016-17
5543,259,Gabriel Jesus,Gabriel Fernando de Jesus,2016-17
447,235,Kevin De Bruyne,Kevin De Bruyne,2016-17
468,49,Callum Wilson,Callum Wilson,2016-17
480,202,Joe Allen,Joe Allen,2016-17
554,256,Juan Mata,Juan Mata,2016-17
699,78,Gary Cahill,Gary Cahill,2016-17
711,375,Leroy Fer,Leroy Fer,2016-17
713,374,André Ayew,André Ayew,2016-17
750,176,Riyad Mahrez,Riyad Mahrez,2016-17
771,485,Georginio Wijnaldum,Georginio Wijnaldum,2016-17
806,436,Gareth McAuley,Gareth McAuley,2016-17
826,52,Benik Afobe,Benik Afobe,2016-17
848,314,Charlie Austin,Charlie Austin,2016-17
865,331,Marko Arnautovic,Marko Arnautovic,2016-17
1621,561,Marcos Alonso,Marcos Alonso,2016-17
4422,70,Ashley Barnes,Ashley Barnes,2016-17
337,489,Leroy Sané,Leroy Sané,2016-17
556,271,Marcus Rashford,Marcus Rashford,2016-17
592,134,Ross Barkley,Ross Barkley,2016-17
604,204,Emre Can,Emre Can,2016-17
629,269,Wayne Rooney,Wayne Rooney,2016-17
633,114,James McArthur,James McArthur,2016-17
648,392,Nacer Chadli,Nacer Chadli,2016-17
686,83,Cesc Fàbregas,Cesc Fàbregas,2016-17
730,344,Patrick van Aanholt,Patrick van Aanholt,2016-17
844,311,Jay Rodriguez,Jay Rodriguez,2016-17
878,249,Yaya Touré,Gnegneri Yaya Touré,2016-17
990,441,James Morrison,James Morrison,2016-17
1678,96,Michy Batshuayi,Michy Batshuayi,2016-17
1740,503,Paul Pogba,Paul Pogba,2016-17
317,268,Henrikh Mkhitaryan,Henrikh Mkhitaryan,2016-17
459,33,Charlie Daniels,Charlie Daniels,2016-17
516,118,Yohan Cabaye,Yohan Cabaye,2016-17
553,267,Anthony Martial,Anthony Martial,2016-17
585,126,Seamus Coleman,Seamus Coleman,2016-17
595,133,Kevin Mirallas,Kevin Mirallas,2016-17
599,145,Oumar Niasse,Oumar Niasse,2016-17
617,230,David Silva,David Silva,2016-17
620,241,Kelechi Iheanacho,Kelechi Iheanacho,2016-17
804,433,Craig Dawson,Craig Dawson,2016-17
836,400,Victor Wanyama,Victor Wanyama,2016-17
843,306,James Ward-Prowse,James Ward-Prowse,2016-17
863,330,Jonathan Walters,Jonathan Walters,2016-17
888,333,Xherdan Shaqiri,Xherdan Shaqiri,2016-17
1383,643,Manolo Gabbiadini,Manolo Gabbiadini,2016-17
1698,163,Abel Hernández,Abel Hernández,2016-17
1709,293,Cristhian Stuani,Cristhian Stuani,2016-17
1710,290,Marten de Roon,Marten de Roon,2016-17
1727,558,Alfie Mawson,Alfie Mawson,2016-17
1732,237,Nolito,Manuel Agudo Durán,2016-17
1737,446,Matt Phillips,Matt Phillips,2016-17
1763,552,Stefano Okaka,Stefano Okaka,2016-17
314,236,Ilkay Gündogan,Ilkay Gündogan,2016-17
483,214,Daniel Sturridge,Daniel Sturridge,2016-17
500,21,Alex Iwobi,Alex Iwobi,2016-17
512,104,Scott Dann,Scott Dann,2016-17
530,103,James Tomkins,James Tomkins,2016-17
533,458,Mark Noble,Mark Noble,2016-17
539,469,Enner Valencia,Enner Valencia,2016-17
541,92,Victor Moses,Victor Moses,2016-17
579,36,Nathan Aké,Nathan Aké,2016-17
587,127,Phil Jagielka,Phil Jagielka,2016-17
612,222,Vincent Kompany,Vincent Kompany,2016-17
719,369,Wayne Routledge,Wayne Routledge,2016-17
754,186,Shinji Okazaki,Shinji Okazaki,2016-17
775,120,Andros Townsend,Andros Townsend,2016-17
818,575,Victor Anichebe,Victor Anichebe,2016-17
