player,season,chance_of_playing_this_round,date,element
Aaron Cresswell,2019-20,100.0,10/08/2019,376
Aaron Lennon,2019-20,100.0,10/08/2019,430
Aaron Mooy,2019-20,,10/08/2019,516
Aaron Ramsdale,2019-20,100.0,10/08/2019,494
Aaron Wan-Bissaka,2019-20,100.0,11/08/2019,122
Abdoulaye Doucouré,2019-20,100.0,10/08/2019,368
Adama Traoré,2019-20,100.0,11/08/2019,417
Adam Lallana,2019-20,100.0,09/08/2019,195
Adam Masina,2019-20,100.0,10/08/2019,355
Adam Smith,2019-20,100.0,10/08/2019,63
Adam Webster,2019-20,100.0,10/08/2019,493
Ademola Lookman,2019-20,,10/08/2019,155
Adrian Mariappa,2019-20,100.0,10/08/2019,356
Adrián San Miguel del Castillo,2019-20,,09/08/2019,526
Ahmed El Mohamady,2019-20,100.0,10/08/2019,22
Ainsley Maitland-Niles,2019-20,100.0,11/08/2019,4
Albian Ajeti,2019-20,100.0,10/08/2019,514
Alexander Tettey,2019-20,,09/08/2019,289
Alexandre Nascimento Costa Silva,2019-20,100.0,10/08/2019,387
Alexandre Lacazette,2019-20,75.0,11/08/2019,12
Alexis Sánchez,2019-20,100.0,11/08/2019,240
Alex Iwobi,2019-20,100.0,10/08/2019,17
Alex McCarthy,2019-20,100.0,10/08/2019,318
Alex Oxlade-Chamberlain,2019-20,100.0,09/08/2019,193
Alireza Jahanbakhsh,2019-20,100.0,10/08/2019,50
Alisson Ramses Becker,2019-20,100.0,09/08/2019,189
Allan Saint-Maximin,2019-20,100.0,11/08/2019,500
Andreas Christensen,2019-20,100.0,11/08/2019,108
Andreas Pereira,2019-20,100.0,11/08/2019,246
Andrew Robertson,2019-20,100.0,09/08/2019,181
Andrew Surman,2019-20,100.0,10/08/2019,80
Andre Gray,2019-20,100.0,10/08/2019,364
Andre Green,2019-20,,10/08/2019,32
Andriy Yarmolenko,2019-20,100.0,10/08/2019,392
Andros Townsend,2019-20,100.0,10/08/2019,135
André Filipe Tavares Gomes,2019-20,100.0,10/08/2019,422
Andy Carroll,2019-20,,11/08/2019,520
Andy King,2019-20,100.0,11/08/2019,480
Angelo Ogbonna,2019-20,100.0,10/08/2019,377
Angel Gomes,2019-20,100.0,11/08/2019,245
Angus Gunn,2019-20,100.0,10/08/2019,319
Anthony Knockaert,2019-20,,10/08/2019,52
Anthony Martial,2019-20,100.0,11/08/2019,239
Antonio Rüdiger,2019-20,,11/08/2019,104
Anwar El Ghazi,2019-20,100.0,10/08/2019,30
