name,value,relative_market_value,season
Chelsea FC,686.7,2.324384886,2016-17
Manchester City,606.7,2.053595908,2016-17
Tottenham Hotspur,543.65,1.840180345,2016-17
Arsenal FC,542.0,1.834595323,2016-17
Manchester United,531.45,1.798885026,2016-17
Liverpool FC,425.65,1.440766604,2016-17
Everton FC,311.25,1.053538366,2016-17
West Ham United,273.05,0.924236629,2016-17
Southampton FC,263.75,0.89275741,2016-17
Crystal Palace,228.43,0.773204077,2016-17
Leicester City,218.65,0.740100124,2016-17
Stoke City,186.0,0.629584373,2016-17
Watford FC,175.65,0.594551049,2016-17
Swansea City,157.1,0.531761855,2016-17
Hull City,135.85,0.459833532,2016-17
Sunderland AFC,132.0,0.446801813,2016-17
AFC Bournemouth,131.6,0.445447868,2016-17
Middlesbrough FC,128.8,0.435970254,2016-17
West Bromwich Albion,123.2,0.417015025,2016-17
Burnley FC,107.18,0.362789533,2016-17
Manchester City,1010.0,2.49848483,2017-18
Chelsea FC,884.25,2.1874111,2017-18
Liverpool FC,857.5,2.121238358,2017-18
Manchester United,849.5,2.101448379,2017-18
Tottenham Hotspur,829.6,2.052220807,2017-18
Arsenal FC,694.0,1.716780665,2017-18
Everton FC,381.25,0.94311618,2017-18
Leicester City,304.25,0.752637633,2017-18
Southampton FC,297.0,0.734702965,2017-18
West Ham United,260.6,0.644658561,2017-18
Crystal Palace,220.73,0.546030254,2017-18
Newcastle United,208.28,0.515232099,2017-18
Watford FC,196.0,0.484854482,2017-18
Stoke City,192.45,0.476072679,2017-18
Burnley FC,169.3,0.418805427,2017-18
West Bromwich Albion,165.95,0.410518374,2017-18
Swansea City,165.49,0.40938045,2017-18
Brighton  Hove Albion,148.2,0.366609358,2017-18
AFC Bournemouth,144.5,0.357456493,2017-18
Huddersfield Town,106.05,0.262340907,2017-18
Manchester City,1200.0,2.447780679,2018-19
Liverpool FC,1170.0,2.386586162,2018-19
Chelsea FC,1170.0,2.386586162,2018-19
Tottenham Hotspur,898.6,1.832979765,2018-19
Manchester United,797.6,1.626958225,2018-19
Arsenal FC,659.05,1.344341547,2018-19
Everton FC,529.1,1.079267298,2018-19
Leicester City,434.1,0.885484661,2018-19
West Ham United,359.0,0.732294386,2018-19
AFC Bournemouth,310.0,0.632343342,2018-19
Southampton FC,305.4,0.622960183,2018-19
Wolverhampton Wanderers,302.9,0.61786064,2018-19
Crystal Palace,289.0,0.58950718,2018-19
Fulham FC,254.25,0.518623531,2018-19
Newcastle United,244.65,0.499041286,2018-19
Watford FC,239.1,0.4877203,2018-19
Burnley FC,197.25,0.402353949,2018-19
Brighton  Hove Albion,194.35,0.396438479,2018-19
Huddersfield Town,137.45,0.280372879,2018-19
Cardiff City,113.0,0.230499347,2018-19
Manchester City,1050.0,2.529904068,2019-20
Liverpool FC,1000.0,2.409432446,2019-20
Tottenham Hotspur,806.8,1.943930098,2019-20
Chelsea FC,705.85,1.700697892,2019-20
Manchester United,670.45,1.615403984,2019-20
Arsenal FC,607.65,1.464091626,2019-20
Everton FC,420.3,1.012684457,2019-20
Leicester City,411.1,0.990517679,2019-20
Wolverhampton Wanderers,320.33,0.771813495,2019-20
West Ham United,303.6,0.731503691,2019-20
AFC Bournemouth,272.18,0.655799323,2019-20
Newcastle United,252.48,0.608333504,2019-20
Aston Villa,231.7,0.558265498,2019-20
Southampton FC,210.75,0.507787888,2019-20
Brighton  Hove Albion,200.78,0.483765847,2019-20
Watford FC,199.6,0.480922716,2019-20
Crystal Palace,189.33,0.456177845,2019-20
Burnley FC,163.88,0.394857789,2019-20
Norwich City,145.33,0.350162817,2019-20
Sheffield United,138.6,0.333947337,2019-20
Manchester City,1040.0,2.272466555,2020-21
Liverpool FC,969.65,2.118747303,2020-21
Chelsea FC,889.2,1.942958904,2020-21
Manchester United,770.05,1.682608529,2020-21
Tottenham Hotspur,703.5,1.537192521,2020-21
Arsenal FC,619.25,1.353100879,2020-21
Everton FC,511.2,1.117004714,2020-21
Leicester City,510.7,1.115912182,2020-21
Wolverhampton Wanderers,450.3,0.983934317,2020-21
Aston Villa,430.75,0.941216316,2020-21
West Ham United,334.9,0.731777932,2020-21
Brighton  Hove Albion,290.4,0.634542584,2020-21
Southampton FC,282.8,0.617936098,2020-21
Newcastle United,255.35,0.557956091,2020-21
Fulham FC,239.75,0.523869093,2020-21
Leeds United,238.1,0.520263737,2020-21
Crystal Palace,193.85,0.423574655,2020-21
Sheffield United,149.85,0.32743184,2020-21
West Bromwich Albion,141.15,0.308421783,2020-21
Burnley FC,132.3,0.289083967,2020-21
Manchester City,924.8,2.145757442,2021-22
Liverpool FC,911.2,2.114202186,2021-22
Chelsea FC,817.8,1.897491821,2021-22
Manchester United,726.05,1.684609852,2021-22
Tottenham Hotspur,595.8,1.382398664,2021-22
Arsenal FC,533.5,1.237847746,2021-22
Leicester City,511.05,1.18575837,2021-22
Aston Villa,446.4,1.03575489,2021-22
Everton FC,392.55,0.910809996,2021-22
West Ham United,352.25,0.817304346,2021-22
Wolverhampton Wanderers,351.35,0.81521613,2021-22
Newcastle United,296.7,0.688415044,2021-22
Brighton  Hove Albion,293.9,0.681918374,2021-22
Leeds United,293.1,0.680062182,2021-22
Brentford FC,267.5,0.620664053,2021-22
Southampton FC,248.55,0.576695515,2021-22
Crystal Palace,245.1,0.568690689,2021-22
Watford FC,145.8,0.338290912,2021-22
Norwich City,139.0,0.322513283,2021-22
Burnley FC,127.4,0.295598506,2021-22
